image,response,pred_label,pred_conf
airplane1-bicycle2,airplane,airplane,0.97998046875
airplane1-chair2,chair,chair,0.9931640625
airplane1-clock1,clock,clock,0.525390625
airplane1-elephant1,airplane,airplane,0.7705078125
airplane10-airplane1,airplane,airplane,0.80224609375
airplane10-bear3,bear,bear,0.5771484375
airplane10-boat3,airplane,airplane,0.98828125
airplane10-car3,airplane,airplane,0.98876953125
airplane10-cat2,cat,cat,0.8203125
airplane10-dog3,cat,cat,0.381591796875
airplane10-elephant1,elephant,elephant,0.953125
airplane10-knife3,knife,knife,0.9931640625
airplane10-oven2,airplane,airplane,0.95849609375
airplane10-truck1,airplane,airplane,0.98779296875
airplane2-bear1,bear,bear,0.97802734375
airplane2-bicycle1,bicycle,bicycle,0.9912109375
airplane2-bird3,bird,bird,0.77880859375
airplane2-bottle1,bottle,bottle,0.9970703125
airplane2-cat1,cat,cat,0.84423828125
airplane2-dog1,bear,bear,0.51611328125
airplane3-airplane2,airplane,airplane,0.9951171875
airplane3-car1,airplane,airplane,0.96142578125
airplane3-cat1,bear,bear,0.56982421875
airplane3-chair3,chair,chair,0.994140625
airplane3-clock1,clock,clock,0.85400390625
airplane3-dog1,bear,bear,0.4833984375
airplane3-elephant1,elephant,elephant,0.9833984375
airplane3-keyboard2,keyboard,keyboard,1.0
airplane3-oven1,boat,boat,0.80322265625
airplane4-airplane1,airplane,airplane,0.9970703125
airplane4-bear3,bear,bear,0.8916015625
airplane4-bicycle2,bicycle,bicycle,0.849609375
airplane4-bird3,airplane,airplane,0.99462890625
airplane4-boat3,airplane,airplane,0.9267578125
airplane4-bottle1,bottle,bottle,0.99853515625
airplane4-car1,airplane,airplane,0.88916015625
airplane4-cat3,bear,bear,0.315673828125
airplane4-dog2,cat,cat,0.315185546875
airplane4-elephant1,elephant,elephant,0.984375
airplane4-keyboard3,keyboard,keyboard,0.962890625
airplane4-knife1,boat,boat,0.384765625
airplane4-truck2,truck,truck,0.94189453125
airplane5-bear2,bear,bear,0.5107421875
airplane5-bicycle1,airplane,airplane,0.7060546875
airplane5-bird2,airplane,airplane,0.82666015625
airplane5-boat3,boat,boat,0.6376953125
airplane5-bottle3,bottle,bottle,0.95751953125
airplane5-chair3,chair,chair,0.98388671875
airplane5-dog3,dog,dog,0.433349609375
airplane5-knife1,knife,knife,0.283935546875
airplane5-oven3,airplane,airplane,0.350830078125
airplane6-bear3,bear,bear,0.98046875
airplane6-bottle2,bottle,bottle,0.99853515625
airplane6-chair3,chair,chair,0.99755859375
airplane6-keyboard3,airplane,airplane,0.426513671875
airplane6-knife1,knife,knife,0.9091796875
airplane7-airplane3,airplane,airplane,0.99609375
airplane7-bird3,bird,bird,0.88525390625
airplane7-boat2,airplane,airplane,0.9765625
airplane7-bottle3,airplane,airplane,0.775390625
airplane7-car1,car,car,0.87841796875
airplane7-cat3,dog,dog,0.343505859375
airplane7-clock3,clock,clock,0.98974609375
airplane7-keyboard1,airplane,airplane,0.89111328125
airplane7-truck1,airplane,airplane,0.94189453125
airplane8-bicycle3,bicycle,bicycle,0.90185546875
airplane8-bird1,airplane,airplane,0.91455078125
airplane8-chair1,chair,chair,0.62451171875
airplane8-clock2,clock,clock,0.9921875
airplane8-elephant3,elephant,elephant,0.99365234375
airplane8-oven2,boat,boat,0.40625
airplane8-truck3,airplane,airplane,0.2568359375
airplane9-airplane2,airplane,airplane,0.99755859375
airplane9-boat1,airplane,airplane,0.990234375
airplane9-car2,car,car,0.8759765625
airplane9-clock1,clock,clock,0.99755859375
airplane9-keyboard2,keyboard,keyboard,0.99951171875
airplane9-knife3,knife,knife,0.86669921875
airplane9-oven2,boat,boat,0.5263671875
airplane9-truck1,airplane,airplane,0.998046875
bear1-airplane3,bear,bear,0.9970703125
bear1-bear3,bear,bear,0.9990234375
bear1-bicycle3,bear,bear,0.9990234375
bear1-bird2,bear,bear,0.9951171875
bear1-chair2,chair,chair,0.99853515625
bear1-clock2,bear,bear,0.990234375
bear1-elephant1,elephant,elephant,0.98095703125
bear10-bear2,bear,bear,0.96630859375
bear10-bottle1,bottle,bottle,0.9560546875
bear10-car2,car,car,0.892578125
bear10-cat2,bear,bear,0.90185546875
bear10-chair2,chair,chair,0.9970703125
bear10-clock1,clock,clock,0.9541015625
bear10-elephant1,elephant,elephant,0.9990234375
bear10-keyboard3,keyboard,keyboard,0.9052734375
bear10-knife2,bear,bear,0.9892578125
bear10-oven1,bear,bear,0.9326171875
bear10-truck1,truck,truck,0.642578125
bear2-airplane1,bear,bear,0.9970703125
bear2-bird3,bear,bear,1.0
bear2-car2,car,car,0.86474609375
bear2-cat2,bear,bear,0.99951171875
bear2-dog1,bear,bear,1.0
bear2-elephant1,elephant,elephant,0.84521484375
bear2-keyboard2,keyboard,keyboard,0.99951171875
bear2-knife2,bear,bear,0.99853515625
bear2-oven1,bear,bear,0.9990234375
bear3-airplane1,bear,bear,0.9404296875
bear3-bicycle2,bicycle,bicycle,0.9921875
bear3-bird3,bear,bear,0.99951171875
bear3-car2,car,car,0.92333984375
bear3-cat1,cat,cat,0.93994140625
bear3-chair2,chair,chair,0.9990234375
bear3-dog3,bear,bear,0.91064453125
bear3-keyboard2,keyboard,keyboard,1.0
bear3-truck3,bear,bear,0.93115234375
bear4-boat2,elephant,elephant,0.71630859375
bear4-car3,bear,bear,0.5361328125
bear4-cat3,bear,bear,1.0
bear4-clock3,bear,bear,0.8134765625
bear4-elephant2,bear,bear,0.82177734375
bear4-keyboard3,bottle,bottle,0.280029296875
bear4-knife1,bear,bear,0.994140625
bear4-oven2,elephant,elephant,0.80078125
bear4-truck3,elephant,elephant,0.79638671875
bear5-airplane3,bear,bear,1.0
bear5-bicycle3,bear,bear,0.99951171875
bear5-bird1,bear,bear,1.0
bear5-boat2,bear,bear,0.99951171875
bear5-bottle1,bear,bear,0.82666015625
bear5-chair1,chair,chair,0.98876953125
bear5-oven3,elephant,elephant,0.70263671875
bear6-bear1,bear,bear,0.9814453125
bear6-bird2,bear,bear,0.80517578125
bear6-boat3,boat,boat,0.77978515625
bear6-bottle3,bottle,bottle,0.98046875
bear6-car2,car,car,0.96337890625
bear6-cat3,bear,bear,0.99658203125
bear6-chair1,chair,chair,0.9609375
bear6-clock1,clock,clock,0.99951171875
bear7-bear2,bear,bear,1.0
bear7-bicycle2,bicycle,bicycle,0.958984375
bear7-clock1,bear,bear,0.6591796875
bear7-dog3,bear,bear,1.0
bear7-oven3,elephant,elephant,0.60302734375
bear7-truck1,elephant,elephant,0.71630859375
bear8-airplane1,bear,bear,0.9990234375
bear8-bear1,bear,bear,0.99951171875
bear8-bicycle3,bear,bear,0.99951171875
bear8-boat2,bear,bear,0.99951171875
bear8-bottle1,bottle,bottle,0.9130859375
bear8-dog1,bear,bear,0.99951171875
bear8-elephant2,bear,bear,0.97900390625
bear8-knife3,bear,bear,0.99951171875
bear8-truck3,bear,bear,0.99951171875
bear9-boat2,bear,bear,0.9248046875
bear9-bottle2,bottle,bottle,0.9970703125
bear9-dog1,bear,bear,0.998046875
bear9-keyboard3,keyboard,keyboard,1.0
bear9-knife2,bear,bear,0.490234375
bicycle1-airplane2,bicycle,bicycle,1.0
bicycle1-bear1,bicycle,bicycle,0.97705078125
bicycle1-bicycle3,bicycle,bicycle,1.0
bicycle1-bird1,bicycle,bicycle,1.0
bicycle1-boat3,bicycle,bicycle,1.0
bicycle1-bottle3,bicycle,bicycle,1.0
bicycle1-chair1,chair,chair,0.59521484375
bicycle1-clock3,bicycle,bicycle,0.92919921875
bicycle1-dog3,bicycle,bicycle,1.0
bicycle1-elephant2,bicycle,bicycle,0.99951171875
bicycle1-knife3,bicycle,bicycle,0.99951171875
bicycle1-oven1,bicycle,bicycle,0.99853515625
bicycle1-truck1,bicycle,bicycle,1.0
bicycle10-airplane2,bicycle,bicycle,0.99951171875
bicycle10-boat3,bicycle,bicycle,1.0
bicycle10-clock2,bicycle,bicycle,0.93310546875
bicycle10-dog3,bicycle,bicycle,0.99853515625
bicycle10-elephant2,bicycle,bicycle,0.99755859375
bicycle2-bicycle1,bicycle,bicycle,1.0
bicycle2-bird3,bicycle,bicycle,0.99951171875
bicycle2-bottle1,bottle,bottle,0.84033203125
bicycle2-car2,bicycle,bicycle,0.99853515625
bicycle2-dog1,dog,dog,0.2958984375
bicycle2-keyboard2,keyboard,keyboard,0.98681640625
bicycle2-knife2,bicycle,bicycle,1.0
bicycle3-bird1,bicycle,bicycle,1.0
bicycle3-elephant2,bicycle,bicycle,0.998046875
bicycle3-keyboard1,bicycle,bicycle,0.99951171875
bicycle3-oven3,bicycle,bicycle,0.9951171875
bicycle3-truck3,bicycle,bicycle,0.9990234375
bicycle4-airplane1,bicycle,bicycle,0.99951171875
bicycle4-bicycle3,bicycle,bicycle,1.0
bicycle4-boat1,bicycle,bicycle,1.0
bicycle4-bottle1,bicycle,bicycle,0.8369140625
bicycle4-car2,car,car,0.8564453125
bicycle4-cat1,bicycle,bicycle,0.99755859375
bicycle4-chair2,chair,chair,0.998046875
bicycle4-clock3,bicycle,bicycle,0.96826171875
bicycle4-keyboard3,clock,clock,0.5654296875
bicycle4-knife3,bicycle,bicycle,0.99951171875
bicycle4-oven3,bicycle,bicycle,0.99755859375
bicycle4-truck3,bicycle,bicycle,0.6884765625
bicycle5-bear1,elephant,elephant,0.377197265625
bicycle5-bottle3,bicycle,bicycle,0.994140625
bicycle5-car3,bicycle,bicycle,0.99951171875
bicycle5-cat1,bicycle,bicycle,0.9990234375
bicycle5-chair2,bicycle,bicycle,0.99169921875
bicycle5-dog2,bicycle,bicycle,1.0
bicycle5-elephant1,bicycle,bicycle,0.990234375
bicycle5-keyboard3,bottle,bottle,0.2646484375
bicycle5-oven3,truck,truck,0.494384765625
bicycle6-airplane2,bicycle,bicycle,0.95751953125
bicycle6-bicycle3,bicycle,bicycle,0.99951171875
bicycle6-boat2,bicycle,bicycle,0.99951171875
bicycle6-car2,car,car,0.61328125
bicycle6-cat1,cat,cat,0.26416015625
bicycle6-dog2,bicycle,bicycle,0.99951171875
bicycle7-bear2,bicycle,bicycle,0.99951171875
bicycle7-bicycle2,bicycle,bicycle,0.99951171875
bicycle7-cat1,bicycle,bicycle,0.9990234375
bicycle7-clock3,bicycle,bicycle,0.90185546875
bicycle7-elephant2,bicycle,bicycle,0.99951171875
bicycle7-knife2,bicycle,bicycle,0.99951171875
bicycle7-oven1,bicycle,bicycle,0.99951171875
bicycle7-truck3,bicycle,bicycle,1.0
bicycle8-bear2,bicycle,bicycle,0.9990234375
bicycle8-bird2,bicycle,bicycle,1.0
bicycle8-boat1,bicycle,bicycle,1.0
bicycle8-chair2,bicycle,bicycle,0.9658203125
bicycle8-clock3,bicycle,bicycle,0.96240234375
bicycle8-truck1,bicycle,bicycle,1.0
bicycle9-airplane2,bicycle,bicycle,1.0
bicycle9-bear1,bear,bear,0.83251953125
bicycle9-bird3,bicycle,bicycle,1.0
bicycle9-bottle1,bicycle,bicycle,0.90673828125
bicycle9-car1,bicycle,bicycle,0.99951171875
bicycle9-cat3,bicycle,bicycle,1.0
bicycle9-chair1,bicycle,bicycle,0.9970703125
bicycle9-keyboard3,clock,clock,0.43798828125
bicycle9-knife3,bicycle,bicycle,0.99951171875
bird1-airplane2,bird,bird,0.99951171875
bird1-bear1,bear,bear,0.98681640625
bird1-bicycle2,bicycle,bicycle,0.97607421875
bird1-boat1,bird,bird,0.9951171875
bird1-chair2,chair,chair,0.99853515625
bird1-clock3,bird,bird,0.94482421875
bird1-elephant2,elephant,elephant,1.0
bird1-keyboard3,bottle,bottle,0.4150390625
bird1-knife3,elephant,elephant,0.72216796875
bird1-oven1,bird,bird,0.242431640625
bird1-truck1,elephant,elephant,0.437744140625
bird10-bear2,elephant,elephant,0.83447265625
bird10-bicycle1,bird,bird,0.9453125
bird10-bird2,bird,bird,0.99169921875
bird10-cat1,bird,bird,0.5546875
bird10-chair1,chair,chair,0.99365234375
bird10-clock1,clock,clock,0.712890625
bird10-elephant2,elephant,elephant,0.99951171875
bird2-airplane3,airplane,airplane,0.63671875
bird2-bird2,bird,bird,0.9951171875
bird2-car3,car,car,0.46826171875
bird2-clock3,clock,clock,0.70556640625
bird2-dog2,bear,bear,0.3984375
bird2-knife1,bird,bird,0.9951171875
bird3-bear3,bear,bear,0.99755859375
bird3-bird2,bird,bird,0.95751953125
bird3-boat3,boat,boat,0.984375
bird3-bottle2,bottle,bottle,0.99951171875
bird3-cat1,bear,bear,0.52587890625
bird3-dog1,bear,bear,0.4453125
bird3-knife3,elephant,elephant,0.66845703125
bird3-oven1,knife,knife,0.1864013671875
bird3-truck3,bird,bird,0.87939453125
bird4-airplane1,bird,bird,0.8291015625
bird4-bicycle2,bicycle,bicycle,0.95751953125
bird4-cat3,bird,bird,0.6708984375
bird4-clock1,clock,clock,0.5771484375
bird4-dog3,bear,bear,0.609375
bird5-airplane3,bird,bird,1.0
bird5-bear3,bird,bird,0.98193359375
bird5-bicycle1,bird,bird,0.99951171875
bird5-bird1,bird,bird,0.998046875
bird5-car2,bird,bird,0.99072265625
bird5-cat2,bird,bird,0.9990234375
bird5-chair1,chair,chair,0.9736328125
bird5-dog2,bird,bird,0.99951171875
bird5-keyboard2,keyboard,keyboard,0.98486328125
bird5-oven3,bird,bird,0.59912109375
bird5-truck2,truck,truck,0.95263671875
bird6-airplane2,bird,bird,0.9677734375
bird6-boat2,boat,boat,0.6748046875
bird6-bottle3,bird,bird,0.85302734375
bird6-car3,car,car,0.77294921875
bird6-elephant2,elephant,elephant,0.9833984375
bird6-oven1,keyboard,keyboard,0.2125244140625
bird6-truck2,car,car,0.3076171875
bird7-bird2,bird,bird,1.0
bird7-boat1,bird,bird,0.9990234375
bird7-bottle1,bottle,bottle,0.5498046875
bird7-car2,car,car,0.841796875
bird7-cat3,bird,bird,0.99951171875
bird7-keyboard3,keyboard,keyboard,0.423583984375
bird7-knife2,bird,bird,1.0
bird7-oven3,bird,bird,0.93408203125
bird7-truck2,car,car,0.296142578125
bird8-boat3,bird,bird,0.88134765625
bird8-bottle1,bottle,bottle,0.83642578125
bird8-car2,bird,bird,0.68603515625
bird8-chair1,chair,chair,0.982421875
bird8-clock1,bird,bird,0.59619140625
bird8-elephant1,bird,bird,0.9970703125
bird8-keyboard2,keyboard,keyboard,1.0
bird8-knife2,bird,bird,1.0
bird9-bear3,bird,bird,0.876953125
bird9-bicycle3,bird,bird,1.0
bird9-bottle3,bird,bird,1.0
bird9-chair1,chair,chair,0.97900390625
bird9-dog2,bird,bird,0.99951171875
bird9-elephant2,bird,bird,0.99853515625
bird9-keyboard1,bird,bird,0.9990234375
boat1-bear1,bear,bear,0.99462890625
boat1-bicycle2,bicycle,bicycle,0.99853515625
boat1-bird3,boat,boat,0.448486328125
boat1-car2,car,car,0.87744140625
boat1-chair3,chair,chair,0.99609375
boat1-elephant3,elephant,elephant,0.9990234375
boat1-keyboard3,keyboard,keyboard,0.69140625
boat1-oven1,boat,boat,0.546875
boat1-truck3,boat,boat,0.7001953125
boat10-bear3,bear,bear,0.97314453125
boat10-boat3,boat,boat,0.99951171875
boat10-cat1,cat,cat,0.65625
boat10-oven1,boat,boat,0.35546875
boat10-truck1,boat,boat,0.96728515625
boat2-airplane1,boat,boat,0.79443359375
boat2-bear3,bear,bear,0.81396484375
boat2-bird1,boat,boat,0.94775390625
boat2-bottle2,bottle,bottle,0.9990234375
boat2-keyboard1,knife,knife,0.2039794921875
boat2-oven3,truck,truck,0.30908203125
boat3-airplane2,boat,boat,0.98291015625
boat3-bicycle2,bicycle,bicycle,0.99658203125
boat3-car3,car,car,0.7021484375
boat3-cat3,boat,boat,0.3935546875
boat3-chair3,chair,chair,0.994140625
boat3-clock3,clock,clock,0.9765625
boat3-dog3,cat,cat,0.66162109375
boat3-keyboard2,keyboard,keyboard,0.99951171875
boat4-bicycle3,boat,boat,0.96240234375
boat4-bird1,boat,boat,0.83056640625
boat4-boat3,boat,boat,0.98193359375
boat4-bottle2,bottle,bottle,1.0
boat4-car3,car,car,0.66650390625
boat4-chair2,chair,chair,0.99560546875
boat4-dog2,cat,cat,0.42724609375
boat4-elephant2,elephant,elephant,0.99365234375
boat4-knife2,knife,knife,0.345703125
boat5-airplane1,boat,boat,0.7724609375
boat5-bicycle3,boat,boat,0.998046875
boat5-boat3,boat,boat,0.9853515625
boat5-car3,car,car,0.489013671875
boat5-clock3,clock,clock,0.9140625
boat5-knife2,bird,bird,0.3837890625
boat6-airplane2,boat,boat,0.88671875
boat6-bear1,bear,bear,0.9892578125
boat6-bicycle2,bicycle,bicycle,0.99853515625
boat6-bottle2,bottle,bottle,0.9990234375
boat6-car1,boat,boat,0.994140625
boat6-cat1,bird,bird,0.6953125
boat6-clock2,bird,bird,0.329345703125
boat6-dog1,bear,bear,0.444091796875
boat6-elephant2,elephant,elephant,0.97705078125
boat6-knife2,bird,bird,0.399658203125
boat6-truck3,airplane,airplane,0.288818359375
boat7-boat2,boat,boat,0.99853515625
boat7-bottle1,bottle,bottle,0.99560546875
boat7-cat3,bear,bear,0.37890625
boat7-chair1,chair,chair,0.9677734375
boat7-clock3,clock,clock,0.9951171875
boat7-elephant3,elephant,elephant,0.998046875
boat7-keyboard3,bottle,bottle,0.455322265625
boat7-oven3,keyboard,keyboard,0.438232421875
boat7-truck2,boat,boat,0.57080078125
boat8-bird2,boat,boat,0.9716796875
boat8-bottle1,bottle,bottle,0.9990234375
boat8-dog3,bear,bear,0.46142578125
boat8-elephant1,elephant,elephant,0.81396484375
boat8-knife1,knife,knife,0.79931640625
boat8-oven1,keyboard,keyboard,0.392578125
boat8-truck2,truck,truck,0.9443359375
boat9-airplane2,boat,boat,0.998046875
boat9-bear3,cat,cat,0.47314453125
boat9-bird1,boat,boat,0.99755859375
boat9-boat3,boat,boat,0.9990234375
boat9-cat3,boat,boat,0.9853515625
boat9-chair2,chair,chair,0.4921875
boat9-clock1,boat,boat,0.6201171875
boat9-dog2,cat,cat,0.5048828125
boat9-keyboard2,keyboard,keyboard,0.861328125
boat9-knife2,boat,boat,0.99853515625
bottle1-bear1,bear,bear,0.88916015625
bottle1-bird3,bottle,bottle,0.9990234375
bottle1-car1,bottle,bottle,0.98095703125
bottle1-cat3,cat,cat,0.7724609375
bottle1-chair2,chair,chair,0.95068359375
bottle1-clock1,bottle,bottle,0.60693359375
bottle1-dog2,bottle,bottle,0.98779296875
bottle1-keyboard3,bottle,bottle,0.68896484375
bottle10-bear2,bottle,bottle,0.96044921875
bottle10-boat3,bottle,bottle,0.99755859375
bottle10-car1,bottle,bottle,0.96533203125
bottle10-clock2,bottle,bottle,0.9296875
bottle10-dog1,bottle,bottle,0.99072265625
bottle10-truck3,bottle,bottle,0.9990234375
bottle2-bottle3,bottle,bottle,1.0
bottle2-car2,bottle,bottle,0.9833984375
bottle2-chair3,chair,chair,0.99853515625
bottle2-clock1,bottle,bottle,0.75439453125
bottle2-elephant1,elephant,elephant,0.99951171875
bottle2-knife3,bottle,bottle,0.99951171875
bottle3-airplane2,bottle,bottle,0.9990234375
bottle3-bear2,bottle,bottle,0.9912109375
bottle3-bicycle3,bottle,bottle,0.99951171875
bottle3-bird1,bottle,bottle,0.99658203125
bottle3-boat3,bottle,bottle,0.99658203125
bottle3-bottle3,bottle,bottle,1.0
bottle3-cat3,bottle,bottle,0.9951171875
bottle3-chair3,chair,chair,0.994140625
bottle3-knife3,bottle,bottle,1.0
bottle4-airplane1,bottle,bottle,0.9970703125
bottle4-bicycle1,bottle,bottle,0.99658203125
bottle4-car3,bottle,bottle,0.994140625
bottle4-dog2,bottle,bottle,0.99560546875
bottle4-oven2,bottle,bottle,1.0
bottle4-truck1,bottle,bottle,0.9970703125
bottle5-airplane1,bottle,bottle,0.99951171875
bottle5-bird3,bottle,bottle,0.9970703125
bottle5-boat1,bottle,bottle,0.98193359375
bottle5-cat1,bottle,bottle,0.955078125
bottle5-chair1,chair,chair,0.9912109375
bottle5-clock3,bottle,bottle,0.7978515625
bottle5-elephant1,elephant,elephant,0.99169921875
bottle5-keyboard2,keyboard,keyboard,0.99853515625
bottle5-knife1,bottle,bottle,0.974609375
bottle5-oven2,bottle,bottle,0.99853515625
bottle5-truck1,bottle,bottle,1.0
bottle6-airplane1,bottle,bottle,0.99951171875
bottle6-bear2,bottle,bottle,0.99560546875
bottle6-bicycle3,bottle,bottle,0.99951171875
bottle6-bird1,bottle,bottle,0.99951171875
bottle6-boat3,bottle,bottle,0.99853515625
bottle6-bottle3,bottle,bottle,1.0
bottle6-chair2,chair,chair,0.89501953125
bottle6-dog3,dog,dog,0.4814453125
bottle6-knife3,bottle,bottle,0.9189453125
bottle6-oven3,bottle,bottle,0.99755859375
bottle7-airplane3,clock,clock,0.204833984375
bottle7-bear1,bear,bear,0.98583984375
bottle7-boat3,bottle,bottle,0.56103515625
bottle7-cat2,cat,cat,0.73486328125
bottle7-clock1,clock,clock,0.9091796875
bottle7-elephant2,elephant,elephant,0.998046875
bottle7-keyboard2,keyboard,keyboard,1.0
bottle7-oven2,bottle,bottle,0.99658203125
bottle7-truck2,car,car,0.361328125
bottle8-bicycle1,bottle,bottle,0.99853515625
bottle8-bird1,bottle,bottle,0.94775390625
bottle8-bottle3,bottle,bottle,1.0
bottle8-dog2,bottle,bottle,0.86962890625
bottle8-elephant3,bottle,bottle,0.982421875
bottle8-keyboard3,keyboard,keyboard,0.74462890625
bottle8-knife1,bottle,bottle,0.9931640625
bottle9-bicycle1,bottle,bottle,0.99462890625
bottle9-bottle1,bottle,bottle,1.0
bottle9-car3,bottle,bottle,0.99267578125
bottle9-cat2,elephant,elephant,0.41650390625
bottle9-elephant2,elephant,elephant,0.98486328125
bottle9-keyboard1,keyboard,keyboard,0.263671875
bottle9-oven2,bottle,bottle,0.998046875
bottle9-truck1,bottle,bottle,0.9921875
car1-airplane1,car,car,0.8779296875
car1-car2,car,car,0.97509765625
car1-chair3,chair,chair,0.99755859375
car1-clock2,car,car,0.9248046875
car1-dog2,bird,bird,0.34765625
car1-keyboard2,keyboard,keyboard,1.0
car1-oven3,keyboard,keyboard,0.3134765625
car10-bicycle2,car,car,0.87451171875
car10-bottle3,car,car,0.99169921875
car10-car1,car,car,0.9951171875
car10-chair1,car,car,0.970703125
car10-dog1,car,car,0.958984375
car10-elephant2,elephant,elephant,0.99365234375
car10-keyboard2,keyboard,keyboard,1.0
car2-bird3,car,car,0.9814453125
car2-car3,car,car,0.97265625
car2-cat3,car,car,0.91552734375
car2-chair1,car,car,0.48291015625
car2-knife3,knife,knife,0.875
car3-airplane3,car,car,0.83203125
car3-bird2,car,car,0.93212890625
car3-boat1,car,car,0.9072265625
car3-bottle3,car,car,0.76318359375
car3-dog2,car,car,0.8583984375
car3-elephant3,car,car,0.7490234375
car3-oven3,airplane,airplane,0.6318359375
car3-truck1,car,car,0.98046875
car4-bear3,bear,bear,0.80810546875
car4-bicycle3,bicycle,bicycle,0.99609375
car4-bird1,car,car,0.69384765625
car4-boat1,boat,boat,0.5849609375
car4-bottle1,bottle,bottle,0.986328125
car4-car2,car,car,0.9912109375
car4-cat3,bird,bird,0.416259765625
car4-clock1,clock,clock,0.93359375
car4-elephant3,elephant,elephant,0.77001953125
car4-oven2,boat,boat,0.2020263671875
car5-airplane3,car,car,0.96533203125
car5-bear3,bear,bear,0.9599609375
