image,response,pred_label,pred_conf
airplane1-bicycle2,airplane,airplane,0.9990234375
airplane1-chair2,chair,chair,1.0
airplane1-clock1,clock,clock,0.806640625
airplane1-elephant1,airplane,airplane,0.96630859375
airplane10-airplane1,airplane,airplane,0.998046875
airplane10-bear3,dog,dog,0.556640625
airplane10-boat3,airplane,airplane,1.0
airplane10-car3,airplane,airplane,0.97705078125
airplane10-cat2,cat,cat,0.70751953125
airplane10-dog3,dog,dog,0.908203125
airplane10-elephant1,elephant,elephant,0.96044921875
airplane10-knife3,knife,knife,0.9990234375
airplane10-oven2,airplane,airplane,1.0
airplane10-truck1,airplane,airplane,0.99951171875
airplane2-bear1,bear,bear,0.99169921875
airplane2-bicycle1,bicycle,bicycle,0.99951171875
airplane2-bird3,bird,bird,0.86865234375
airplane2-bottle1,bottle,bottle,1.0
airplane2-cat1,cat,cat,0.9716796875
airplane2-dog1,dog,dog,0.876953125
airplane3-airplane2,airplane,airplane,1.0
airplane3-car1,airplane,airplane,0.9775390625
airplane3-cat1,dog,dog,0.6884765625
airplane3-chair3,chair,chair,1.0
airplane3-clock1,clock,clock,0.94140625
airplane3-dog1,dog,dog,0.8095703125
airplane3-elephant1,elephant,elephant,0.9833984375
airplane3-keyboard2,keyboard,keyboard,1.0
airplane3-oven1,boat,boat,0.498046875
airplane4-airplane1,airplane,airplane,1.0
airplane4-bear3,bear,bear,0.650390625
airplane4-bicycle2,bicycle,bicycle,0.9658203125
airplane4-bird3,airplane,airplane,1.0
airplane4-boat3,airplane,airplane,0.99658203125
airplane4-bottle1,bottle,bottle,1.0
airplane4-car1,airplane,airplane,0.9423828125
airplane4-cat3,dog,dog,0.703125
airplane4-dog2,dog,dog,0.6162109375
airplane4-elephant1,elephant,elephant,0.9931640625
airplane4-keyboard3,keyboard,keyboard,0.9814453125
airplane4-knife1,keyboard,keyboard,0.39404296875
airplane4-truck2,truck,truck,0.88818359375
airplane5-bear2,dog,dog,0.8359375
airplane5-bicycle1,airplane,airplane,0.939453125
airplane5-bird2,airplane,airplane,0.998046875
airplane5-boat3,airplane,airplane,0.91064453125
airplane5-bottle3,bottle,bottle,0.96533203125
airplane5-chair3,chair,chair,1.0
airplane5-dog3,dog,dog,0.99072265625
airplane5-knife1,keyboard,keyboard,0.42822265625
airplane5-oven3,oven,oven,0.59033203125
airplane6-bear3,bear,bear,0.94921875
airplane6-bottle2,bottle,bottle,1.0
airplane6-chair3,chair,chair,1.0
airplane6-keyboard3,airplane,airplane,0.65869140625
airplane6-knife1,knife,knife,0.9306640625
airplane7-airplane3,airplane,airplane,1.0
airplane7-bird3,bird,bird,0.89306640625
airplane7-boat2,airplane,airplane,1.0
airplane7-bottle3,airplane,airplane,0.94091796875
airplane7-car1,car,car,0.99072265625
airplane7-cat3,dog,dog,0.59423828125
airplane7-clock3,clock,clock,0.99951171875
airplane7-keyboard1,airplane,airplane,0.99755859375
airplane7-truck1,airplane,airplane,0.99853515625
airplane8-bicycle3,bicycle,bicycle,0.9453125
airplane8-bird1,airplane,airplane,0.99755859375
airplane8-chair1,chair,chair,0.98095703125
airplane8-clock2,clock,clock,0.99951171875
airplane8-elephant3,elephant,elephant,0.99755859375
airplane8-oven2,keyboard,keyboard,0.52587890625
airplane8-truck3,chair,chair,0.66650390625
airplane9-airplane2,airplane,airplane,1.0
airplane9-boat1,airplane,airplane,0.99951171875
airplane9-car2,car,car,0.98974609375
airplane9-clock1,clock,clock,1.0
airplane9-keyboard2,keyboard,keyboard,1.0
airplane9-knife3,knife,knife,0.9677734375
airplane9-oven2,airplane,airplane,0.47216796875
airplane9-truck1,airplane,airplane,1.0
bear1-airplane3,bear,bear,0.9990234375
bear1-bear3,bear,bear,1.0
bear1-bicycle3,bear,bear,1.0
bear1-bird2,bear,bear,0.99951171875
bear1-chair2,chair,chair,1.0
bear1-clock2,bear,bear,0.97900390625
bear1-elephant1,elephant,elephant,0.93017578125
bear10-bear2,bear,bear,0.6484375
bear10-bottle1,bottle,bottle,0.99658203125
bear10-car2,car,car,0.9931640625
bear10-cat2,bear,bear,0.97998046875
bear10-chair2,chair,chair,1.0
bear10-clock1,clock,clock,0.9833984375
bear10-elephant1,elephant,elephant,0.99951171875
bear10-keyboard3,keyboard,keyboard,0.990234375
bear10-knife2,bear,bear,0.9912109375
bear10-oven1,bear,bear,0.93603515625
bear10-truck1,truck,truck,0.61865234375
bear2-airplane1,bear,bear,0.99951171875
bear2-bird3,bear,bear,1.0
bear2-car2,car,car,0.98681640625
bear2-cat2,bear,bear,1.0
bear2-dog1,bear,bear,1.0
bear2-elephant1,bear,bear,0.5888671875
bear2-keyboard2,keyboard,keyboard,1.0
bear2-knife2,bear,bear,1.0
bear2-oven1,bear,bear,1.0
bear3-airplane1,bear,bear,0.9833984375
bear3-bicycle2,bicycle,bicycle,0.99853515625
bear3-bird3,bear,bear,1.0
bear3-car2,car,car,0.998046875
bear3-cat1,cat,cat,0.99169921875
bear3-chair2,chair,chair,1.0
bear3-dog3,bear,bear,0.54296875
bear3-keyboard2,keyboard,keyboard,1.0
bear3-truck3,bear,bear,0.95166015625
bear4-boat2,elephant,elephant,0.91357421875
bear4-car3,bear,bear,0.7958984375
bear4-cat3,bear,bear,1.0
bear4-clock3,bear,bear,0.8359375
bear4-elephant2,bear,bear,0.9697265625
bear4-keyboard3,bottle,bottle,0.1983642578125
bear4-knife1,bear,bear,0.9990234375
bear4-oven2,elephant,elephant,0.68310546875
bear4-truck3,elephant,elephant,0.814453125
bear5-airplane3,bear,bear,1.0
bear5-bicycle3,bear,bear,1.0
bear5-bird1,bear,bear,1.0
bear5-boat2,bear,bear,1.0
bear5-bottle1,bear,bear,0.62744140625
bear5-chair1,chair,chair,1.0
bear5-oven3,elephant,elephant,0.84326171875
bear6-bear1,bear,bear,0.99755859375
bear6-bird2,bear,bear,0.95654296875
bear6-boat3,boat,boat,0.481201171875
bear6-bottle3,bottle,bottle,0.994140625
bear6-car2,car,car,0.998046875
bear6-cat3,bear,bear,0.9951171875
bear6-chair1,chair,chair,0.99951171875
bear6-clock1,clock,clock,1.0
bear7-bear2,bear,bear,1.0
bear7-bicycle2,bicycle,bicycle,0.9814453125
bear7-clock1,bear,bear,0.5029296875
bear7-dog3,bear,bear,1.0
bear7-oven3,chair,chair,0.386962890625
bear7-truck1,elephant,elephant,0.69970703125
bear8-airplane1,bear,bear,1.0
bear8-bear1,bear,bear,1.0
bear8-bicycle3,bear,bear,1.0
bear8-boat2,bear,bear,1.0
bear8-bottle1,bottle,bottle,0.99560546875
bear8-dog1,bear,bear,1.0
bear8-elephant2,bear,bear,0.998046875
bear8-knife3,bear,bear,1.0
bear8-truck3,bear,bear,1.0
bear9-boat2,bear,bear,0.92529296875
bear9-bottle2,bottle,bottle,1.0
bear9-dog1,bear,bear,1.0
bear9-keyboard3,keyboard,keyboard,1.0
bear9-knife2,bear,bear,0.50048828125
bicycle1-airplane2,bicycle,bicycle,1.0
bicycle1-bear1,bicycle,bicycle,0.9150390625
bicycle1-bicycle3,bicycle,bicycle,1.0
bicycle1-bird1,bicycle,bicycle,1.0
bicycle1-boat3,bicycle,bicycle,1.0
bicycle1-bottle3,bicycle,bicycle,1.0
bicycle1-chair1,chair,chair,0.8837890625
bicycle1-clock3,bicycle,bicycle,0.9365234375
bicycle1-dog3,bicycle,bicycle,1.0
bicycle1-elephant2,bicycle,bicycle,1.0
bicycle1-knife3,bicycle,bicycle,1.0
bicycle1-oven1,bicycle,bicycle,1.0
bicycle1-truck1,bicycle,bicycle,1.0
bicycle10-airplane2,bicycle,bicycle,1.0
bicycle10-boat3,bicycle,bicycle,1.0
bicycle10-clock2,bicycle,bicycle,0.9853515625
bicycle10-dog3,bicycle,bicycle,0.9921875
bicycle10-elephant2,bicycle,bicycle,1.0
bicycle2-bicycle1,bicycle,bicycle,1.0
bicycle2-bird3,bicycle,bicycle,1.0
bicycle2-bottle1,bottle,bottle,0.98876953125
bicycle2-car2,bicycle,bicycle,1.0
bicycle2-dog1,dog,dog,0.7412109375
bicycle2-keyboard2,keyboard,keyboard,0.99853515625
bicycle2-knife2,bicycle,bicycle,1.0
bicycle3-bird1,bicycle,bicycle,1.0
bicycle3-elephant2,bicycle,bicycle,1.0
bicycle3-keyboard1,bicycle,bicycle,1.0
bicycle3-oven3,bicycle,bicycle,0.99951171875
bicycle3-truck3,bicycle,bicycle,1.0
bicycle4-airplane1,bicycle,bicycle,1.0
bicycle4-bicycle3,bicycle,bicycle,1.0
bicycle4-boat1,bicycle,bicycle,1.0
bicycle4-bottle1,bicycle,bicycle,0.7548828125
bicycle4-car2,car,car,0.9775390625
bicycle4-cat1,bicycle,bicycle,0.99462890625
bicycle4-chair2,chair,chair,1.0
bicycle4-clock3,bicycle,bicycle,0.98828125
bicycle4-keyboard3,keyboard,keyboard,0.501953125
bicycle4-knife3,bicycle,bicycle,1.0
bicycle4-oven3,bicycle,bicycle,0.9990234375
bicycle4-truck3,bicycle,bicycle,0.79638671875
bicycle5-bear1,bear,bear,0.486328125
bicycle5-bottle3,bicycle,bicycle,0.99951171875
bicycle5-car3,bicycle,bicycle,0.99951171875
bicycle5-cat1,bicycle,bicycle,0.99951171875
bicycle5-chair2,bicycle,bicycle,0.99658203125
bicycle5-dog2,bicycle,bicycle,1.0
bicycle5-elephant1,bicycle,bicycle,1.0
bicycle5-keyboard3,keyboard,keyboard,0.6044921875
bicycle5-oven3,oven,oven,0.3818359375
bicycle6-airplane2,bicycle,bicycle,0.9716796875
bicycle6-bicycle3,bicycle,bicycle,1.0
bicycle6-boat2,bicycle,bicycle,1.0
bicycle6-car2,car,car,0.87158203125
bicycle6-cat1,dog,dog,0.8125
bicycle6-dog2,bicycle,bicycle,1.0
bicycle7-bear2,bicycle,bicycle,1.0
bicycle7-bicycle2,bicycle,bicycle,1.0
bicycle7-cat1,bicycle,bicycle,0.99951171875
bicycle7-clock3,bicycle,bicycle,0.94677734375
bicycle7-elephant2,bicycle,bicycle,1.0
bicycle7-knife2,bicycle,bicycle,1.0
bicycle7-oven1,bicycle,bicycle,1.0
bicycle7-truck3,bicycle,bicycle,1.0
bicycle8-bear2,bicycle,bicycle,1.0
bicycle8-bird2,bicycle,bicycle,1.0
bicycle8-boat1,bicycle,bicycle,1.0
