image,response,pred_label,pred_conf
airplane1-bicycle2,airplane,airplane,0.99951171875
airplane1-chair2,chair,chair,1.0
airplane1-clock1,airplane,airplane,0.994140625
airplane1-elephant1,airplane,airplane,0.966796875
airplane10-airplane1,airplane,airplane,0.9990234375
airplane10-bear3,dog,dog,0.6298828125
airplane10-boat3,airplane,airplane,0.99951171875
airplane10-car3,airplane,airplane,1.0
airplane10-cat2,cat,cat,0.44140625
airplane10-dog3,dog,dog,0.97607421875
airplane10-elephant1,elephant,elephant,0.63427734375
airplane10-knife3,knife,knife,0.99755859375
airplane10-oven2,airplane,airplane,0.99853515625
airplane10-truck1,airplane,airplane,1.0
airplane2-bear1,dog,dog,0.64892578125
airplane2-bicycle1,bicycle,bicycle,0.99853515625
airplane2-bird3,bird,bird,0.79833984375
airplane2-bottle1,bottle,bottle,1.0
airplane2-cat1,cat,cat,0.99755859375
airplane2-dog1,dog,dog,0.9501953125
airplane3-airplane2,airplane,airplane,1.0
airplane3-car1,airplane,airplane,0.9970703125
airplane3-cat1,cat,cat,0.57763671875
airplane3-chair3,chair,chair,1.0
airplane3-clock1,airplane,airplane,0.8740234375
airplane3-dog1,dog,dog,0.8291015625
airplane3-elephant1,elephant,elephant,0.92919921875
airplane3-keyboard2,keyboard,keyboard,0.90576171875
airplane3-oven1,airplane,airplane,1.0
airplane4-airplane1,airplane,airplane,0.99951171875
airplane4-bear3,bear,bear,0.5126953125
airplane4-bicycle2,bicycle,bicycle,0.978515625
airplane4-bird3,airplane,airplane,0.99853515625
airplane4-boat3,airplane,airplane,0.99951171875
airplane4-bottle1,bottle,bottle,1.0
airplane4-car1,airplane,airplane,0.6142578125
airplane4-cat3,cat,cat,0.966796875
airplane4-dog2,cat,cat,0.67138671875
airplane4-elephant1,elephant,elephant,0.99609375
airplane4-keyboard3,knife,knife,0.97607421875
airplane4-knife1,car,car,0.3017578125
airplane4-truck2,car,car,0.71484375
airplane5-bear2,bird,bird,0.91552734375
airplane5-bicycle1,airplane,airplane,0.99072265625
airplane5-bird2,airplane,airplane,0.93310546875
airplane5-boat3,airplane,airplane,0.98828125
airplane5-bottle3,bottle,bottle,0.744140625
airplane5-chair3,chair,chair,1.0
airplane5-dog3,dog,dog,0.9921875
airplane5-knife1,bottle,bottle,0.9892578125
airplane5-oven3,oven,oven,0.82568359375
airplane6-bear3,bird,bird,0.6923828125
airplane6-bottle2,bottle,bottle,0.9931640625
airplane6-chair3,chair,chair,1.0
airplane6-keyboard3,airplane,airplane,0.91015625
airplane6-knife1,airplane,airplane,0.984375
airplane7-airplane3,airplane,airplane,1.0
airplane7-bird3,bird,bird,0.92529296875
airplane7-boat2,airplane,airplane,0.99951171875
airplane7-bottle3,airplane,airplane,0.9482421875
airplane7-car1,car,car,0.97705078125
airplane7-cat3,dog,dog,0.37841796875
airplane7-clock3,clock,clock,0.474609375
airplane7-keyboard1,knife,knife,0.82177734375
airplane7-truck1,airplane,airplane,0.994140625
airplane8-bicycle3,chair,chair,0.24462890625
airplane8-bird1,airplane,airplane,0.9931640625
airplane8-chair1,chair,chair,0.99951171875
airplane8-clock2,keyboard,keyboard,0.59033203125
airplane8-elephant3,elephant,elephant,0.873046875
airplane8-oven2,bottle,bottle,0.6171875
airplane8-truck3,chair,chair,0.63037109375
airplane9-airplane2,airplane,airplane,1.0
airplane9-boat1,airplane,airplane,0.99951171875
airplane9-car2,car,car,0.498779296875
airplane9-clock1,clock,clock,0.9873046875
airplane9-keyboard2,keyboard,keyboard,1.0
airplane9-knife3,knife,knife,0.3935546875
airplane9-oven2,airplane,airplane,0.485107421875
airplane9-truck1,airplane,airplane,1.0
bear1-airplane3,bear,bear,0.99951171875
bear1-bear3,bear,bear,1.0
bear1-bicycle3,bear,bear,1.0
bear1-bird2,bear,bear,1.0
bear1-chair2,chair,chair,1.0
bear1-clock2,bear,bear,0.99951171875
bear1-elephant1,bear,bear,0.99609375
bear10-bear2,dog,dog,0.80126953125
bear10-bottle1,bottle,bottle,0.99658203125
bear10-car2,car,car,0.9873046875
bear10-cat2,dog,dog,0.76318359375
bear10-chair2,chair,chair,1.0
bear10-clock1,clock,clock,0.9931640625
bear10-elephant1,elephant,elephant,0.99853515625
bear10-keyboard3,bottle,bottle,0.53857421875
bear10-knife2,bear,bear,0.9951171875
bear10-oven1,bear,bear,0.986328125
bear10-truck1,car,car,0.69921875
bear2-airplane1,bear,bear,1.0
bear2-bird3,bear,bear,1.0
bear2-car2,car,car,0.8623046875
bear2-cat2,bear,bear,1.0
bear2-dog1,bear,bear,1.0
bear2-elephant1,bear,bear,0.99853515625
bear2-keyboard2,keyboard,keyboard,1.0
bear2-knife2,bear,bear,1.0
bear2-oven1,bear,bear,1.0
bear3-airplane1,bear,bear,0.953125
bear3-bicycle2,bicycle,bicycle,0.81201171875
bear3-bird3,bear,bear,1.0
bear3-car2,car,car,0.466552734375
bear3-cat1,bear,bear,0.99951171875
bear3-chair2,chair,chair,1.0
bear3-dog3,bear,bear,0.478759765625
bear3-keyboard2,keyboard,keyboard,1.0
bear3-truck3,chair,chair,0.86572265625
bear4-boat2,bear,bear,0.99169921875
bear4-car3,car,car,0.7236328125
bear4-cat3,bear,bear,1.0
bear4-clock3,bear,bear,0.90283203125
bear4-elephant2,bear,bear,0.9990234375
bear4-keyboard3,chair,chair,0.458740234375
bear4-knife1,bear,bear,0.99951171875
bear4-oven2,truck,truck,0.362060546875
bear4-truck3,bear,bear,0.9267578125
bear5-airplane3,bear,bear,1.0
bear5-bicycle3,bear,bear,1.0
bear5-bird1,bear,bear,1.0
bear5-boat2,bear,bear,1.0
bear5-bottle1,bottle,bottle,0.89404296875
bear5-chair1,chair,chair,1.0
bear5-oven3,oven,oven,0.8017578125
bear6-bear1,bear,bear,0.9140625
bear6-bird2,bear,bear,0.99755859375
bear6-boat3,bottle,bottle,0.73486328125
bear6-bottle3,bottle,bottle,1.0
bear6-car2,car,car,0.880859375
bear6-cat3,bear,bear,0.99951171875
bear6-chair1,chair,chair,1.0
bear6-clock1,clock,clock,1.0
bear7-bear2,bear,bear,1.0
bear7-bicycle2,chair,chair,0.282470703125
bear7-clock1,clock,clock,1.0
bear7-dog3,bear,bear,1.0
bear7-oven3,oven,oven,0.70751953125
bear7-truck1,bear,bear,0.56884765625
bear8-airplane1,bear,bear,0.64013671875
bear8-bear1,bear,bear,1.0
bear8-bicycle3,bear,bear,1.0
bear8-boat2,bear,bear,0.9990234375
bear8-bottle1,bottle,bottle,0.99609375
bear8-dog1,bear,bear,1.0
bear8-elephant2,bear,bear,1.0
bear8-knife3,bear,bear,1.0
bear8-truck3,bear,bear,0.6708984375
bear9-boat2,bear,bear,0.98681640625
bear9-bottle2,bottle,bottle,1.0
bear9-dog1,bear,bear,1.0
bear9-keyboard3,keyboard,keyboard,0.99755859375
bear9-knife2,bear,bear,1.0
bicycle1-airplane2,bicycle,bicycle,1.0
bicycle1-bear1,bicycle,bicycle,0.998046875
bicycle1-bicycle3,bicycle,bicycle,1.0
bicycle1-bird1,bicycle,bicycle,1.0
bicycle1-boat3,bicycle,bicycle,1.0
bicycle1-bottle3,bicycle,bicycle,1.0
