image,response,pred_label,pred_conf
airplane1-bicycle2,airplane,airplane,0.974609375
airplane1-chair2,chair,chair,0.95654296875
airplane1-clock1,airplane,airplane,0.56640625
airplane1-elephant1,airplane,airplane,0.8974609375
airplane10-airplane1,airplane,airplane,0.99267578125
airplane10-bear3,bear,bear,0.517578125
airplane10-boat3,airplane,airplane,0.9873046875
airplane10-car3,airplane,airplane,0.9951171875
airplane10-cat2,dog,dog,0.4052734375
airplane10-dog3,dog,dog,0.599609375
airplane10-elephant1,elephant,elephant,0.52587890625
airplane10-knife3,knife,knife,0.9833984375
airplane10-oven2,airplane,airplane,0.9306640625
airplane10-truck1,airplane,airplane,0.98974609375
airplane2-bear1,bear,bear,0.93310546875
airplane2-bicycle1,bicycle,bicycle,0.78369140625
airplane2-bird3,boat,boat,0.46533203125
airplane2-bottle1,bottle,bottle,0.99267578125
airplane2-cat1,cat,cat,0.65576171875
airplane2-dog1,bear,bear,0.77490234375
airplane3-airplane2,airplane,airplane,0.9765625
airplane3-car1,airplane,airplane,0.51953125
airplane3-cat1,bear,bear,0.62744140625
airplane3-chair3,chair,chair,0.98095703125
airplane3-clock1,airplane,airplane,0.81005859375
airplane3-dog1,bear,bear,0.75341796875
airplane3-elephant1,elephant,elephant,0.9833984375
airplane3-keyboard2,keyboard,keyboard,0.99853515625
airplane3-oven1,boat,boat,0.75537109375
airplane4-airplane1,airplane,airplane,0.99462890625
airplane4-bear3,bear,bear,0.66943359375
airplane4-bicycle2,bicycle,bicycle,0.92626953125
airplane4-bird3,airplane,airplane,0.99267578125
airplane4-boat3,airplane,airplane,0.99072265625
airplane4-bottle1,bottle,bottle,0.95654296875
airplane4-car1,airplane,airplane,0.93603515625
airplane4-cat3,cat,cat,0.51806640625
airplane4-dog2,airplane,airplane,0.80517578125
airplane4-elephant1,airplane,airplane,0.64892578125
airplane4-keyboard3,keyboard,keyboard,0.76123046875
airplane4-knife1,car,car,0.306884765625
airplane4-truck2,car,car,0.95947265625
airplane5-bear2,bear,bear,0.4990234375
airplane5-bicycle1,airplane,airplane,0.8671875
airplane5-bird2,bird,bird,0.5615234375
airplane5-boat3,airplane,airplane,0.67919921875
airplane5-bottle3,bottle,bottle,0.5927734375
airplane5-chair3,chair,chair,0.83447265625
airplane5-dog3,dog,dog,0.515625
airplane5-knife1,knife,knife,0.7001953125
airplane5-oven3,car,car,0.2122802734375
airplane6-bear3,bear,bear,0.74169921875
airplane6-bottle2,bottle,bottle,0.978515625
airplane6-chair3,chair,chair,0.984375
airplane6-keyboard3,airplane,airplane,0.59375
airplane6-knife1,airplane,airplane,0.74658203125
airplane7-airplane3,airplane,airplane,0.96875
airplane7-bird3,airplane,airplane,0.755859375
airplane7-boat2,airplane,airplane,0.98388671875
airplane7-bottle3,airplane,airplane,0.94921875
airplane7-car1,car,car,0.9521484375
airplane7-cat3,bear,bear,0.20458984375
airplane7-clock3,clock,clock,0.90283203125
airplane7-keyboard1,airplane,airplane,0.49658203125
airplane7-truck1,airplane,airplane,0.99365234375
airplane8-bicycle3,airplane,airplane,0.75244140625
airplane8-bird1,airplane,airplane,0.89794921875
airplane8-chair1,car,car,0.472900390625
airplane8-clock2,clock,clock,0.87353515625
airplane8-elephant3,elephant,elephant,0.99267578125
airplane8-oven2,boat,boat,0.36181640625
airplane8-truck3,car,car,0.88134765625
airplane9-airplane2,airplane,airplane,0.97314453125
airplane9-boat1,airplane,airplane,0.93994140625
airplane9-car2,car,car,0.93115234375
airplane9-clock1,clock,clock,0.7177734375
airplane9-keyboard2,keyboard,keyboard,0.99169921875
airplane9-knife3,knife,knife,0.7119140625
airplane9-oven2,car,car,0.4306640625
airplane9-truck1,airplane,airplane,0.98974609375
bear1-airplane3,bear,bear,0.99951171875
bear1-bear3,bear,bear,0.99951171875
bear1-bicycle3,bear,bear,0.9990234375
bear1-bird2,bear,bear,0.99951171875
bear1-chair2,chair,chair,0.9326171875
bear1-clock2,bear,bear,0.9970703125
bear1-elephant1,bear,bear,0.86962890625
bear10-bear2,bear,bear,0.95166015625
bear10-bottle1,bottle,bottle,0.96630859375
bear10-car2,car,car,0.99609375
bear10-cat2,bear,bear,0.79052734375
bear10-chair2,chair,chair,0.97998046875
bear10-clock1,clock,clock,0.99365234375
bear10-elephant1,elephant,elephant,0.9462890625
bear10-keyboard3,keyboard,keyboard,0.8984375
bear10-knife2,bear,bear,0.9111328125
bear10-oven1,bear,bear,0.94384765625
bear10-truck1,car,car,0.95263671875
bear2-airplane1,bear,bear,0.9970703125
bear2-bird3,bear,bear,1.0
bear2-car2,car,car,0.73388671875
bear2-cat2,bear,bear,1.0
bear2-dog1,bear,bear,1.0
bear2-elephant1,bear,bear,0.71826171875
bear2-keyboard2,keyboard,keyboard,0.9990234375
bear2-knife2,bear,bear,0.998046875
bear2-oven1,bear,bear,0.9990234375
bear3-airplane1,bear,bear,0.93994140625
bear3-bicycle2,bicycle,bicycle,0.81005859375
bear3-bird3,bear,bear,1.0
bear3-car2,car,car,0.8671875
bear3-cat1,bear,bear,0.9912109375
bear3-chair2,chair,chair,0.62890625
bear3-dog3,bear,bear,0.982421875
bear3-keyboard2,keyboard,keyboard,1.0
bear3-truck3,bear,bear,0.98583984375
bear4-boat2,bear,bear,0.97216796875
bear4-car3,bear,bear,0.480712890625
bear4-cat3,bear,bear,1.0
bear4-clock3,bear,bear,0.97216796875
bear4-elephant2,bear,bear,0.73681640625
bear4-keyboard3,car,car,0.44482421875
bear4-knife1,bear,bear,0.9931640625
bear4-oven2,car,car,0.53076171875
bear4-truck3,bear,bear,0.99462890625
bear5-airplane3,bear,bear,1.0
bear5-bicycle3,bear,bear,1.0
bear5-bird1,bear,bear,1.0
bear5-boat2,bear,bear,0.99951171875
bear5-bottle1,bottle,bottle,0.77880859375
bear5-chair1,chair,chair,0.94140625
bear5-oven3,bear,bear,0.8525390625
bear6-bear1,bear,bear,0.95947265625
bear6-bird2,bear,bear,0.97509765625
bear6-boat3,car,car,0.5869140625
bear6-bottle3,bottle,bottle,0.99755859375
bear6-car2,car,car,0.99072265625
bear6-cat3,bear,bear,0.9921875
bear6-chair1,chair,chair,0.75732421875
bear6-clock1,clock,clock,0.9990234375
bear7-bear2,bear,bear,1.0
bear7-bicycle2,bicycle,bicycle,0.80224609375
bear7-clock1,clock,clock,0.912109375
bear7-dog3,bear,bear,1.0
bear7-oven3,truck,truck,0.253662109375
bear7-truck1,bear,bear,0.94482421875
bear8-airplane1,bear,bear,0.9990234375
bear8-bear1,bear,bear,1.0
bear8-bicycle3,bear,bear,0.9990234375
bear8-boat2,bear,bear,0.99951171875
bear8-bottle1,bottle,bottle,0.96484375
bear8-dog1,bear,bear,1.0
bear8-elephant2,bear,bear,0.99560546875
bear8-knife3,bear,bear,1.0
bear8-truck3,bear,bear,0.9990234375
bear9-boat2,bear,bear,0.998046875
bear9-bottle2,bottle,bottle,0.95556640625
bear9-dog1,bear,bear,1.0
bear9-keyboard3,keyboard,keyboard,1.0
bear9-knife2,bear,bear,0.99365234375
bicycle1-airplane2,bicycle,bicycle,0.99951171875
bicycle1-bear1,bicycle,bicycle,0.994140625
bicycle1-bicycle3,bicycle,bicycle,1.0
bicycle1-bird1,bicycle,bicycle,0.99951171875
bicycle1-boat3,bicycle,bicycle,1.0
bicycle1-bottle3,bicycle,bicycle,1.0
bicycle1-chair1,bicycle,bicycle,0.99658203125
bicycle1-clock3,bicycle,bicycle,0.986328125
bicycle1-dog3,bicycle,bicycle,0.99951171875
bicycle1-elephant2,bicycle,bicycle,1.0
bicycle1-knife3,bicycle,bicycle,1.0
bicycle1-oven1,bicycle,bicycle,0.9990234375
bicycle1-truck1,bicycle,bicycle,0.99951171875
bicycle10-airplane2,bicycle,bicycle,0.99951171875
bicycle10-boat3,bicycle,bicycle,1.0
bicycle10-clock2,bicycle,bicycle,0.97314453125
bicycle10-dog3,bicycle,bicycle,0.99560546875
bicycle10-elephant2,bicycle,bicycle,1.0
bicycle2-bicycle1,bicycle,bicycle,1.0
bicycle2-bird3,bicycle,bicycle,1.0
bicycle2-bottle1,bottle,bottle,0.802734375
bicycle2-car2,bicycle,bicycle,0.859375
bicycle2-dog1,bicycle,bicycle,0.5625
bicycle2-keyboard2,keyboard,keyboard,0.98681640625
bicycle2-knife2,bicycle,bicycle,0.99658203125
bicycle3-bird1,bicycle,bicycle,0.998046875
bicycle3-elephant2,bicycle,bicycle,0.99853515625
bicycle3-keyboard1,bicycle,bicycle,1.0
bicycle3-oven3,bicycle,bicycle,0.98779296875
bicycle3-truck3,bicycle,bicycle,0.5439453125
bicycle4-airplane1,bicycle,bicycle,0.99267578125
bicycle4-bicycle3,bicycle,bicycle,0.99560546875
bicycle4-boat1,bicycle,bicycle,0.99853515625
bicycle4-bottle1,bicycle,bicycle,0.89990234375
bicycle4-car2,bicycle,bicycle,0.99658203125
bicycle4-cat1,bicycle,bicycle,0.9775390625
bicycle4-chair2,bicycle,bicycle,0.9833984375
bicycle4-clock3,bicycle,bicycle,0.99169921875
bicycle4-keyboard3,bicycle,bicycle,0.919921875
bicycle4-knife3,bicycle,bicycle,0.998046875
bicycle4-oven3,bicycle,bicycle,0.97802734375
bicycle4-truck3,bicycle,bicycle,0.99853515625
bicycle5-bear1,bicycle,bicycle,0.99658203125
bicycle5-bottle3,bicycle,bicycle,1.0
bicycle5-car3,bicycle,bicycle,0.99951171875
bicycle5-cat1,bicycle,bicycle,0.97998046875
bicycle5-chair2,bicycle,bicycle,0.99951171875
bicycle5-dog2,bicycle,bicycle,0.99951171875
bicycle5-elephant1,bicycle,bicycle,0.998046875
bicycle5-keyboard3,car,car,0.66259765625
bicycle5-oven3,boat,boat,0.30810546875
bicycle6-airplane2,bicycle,bicycle,0.99169921875
bicycle6-bicycle3,bicycle,bicycle,0.99951171875
bicycle6-boat2,bicycle,bicycle,0.99951171875
bicycle6-car2,car,car,0.9921875
bicycle6-cat1,bear,bear,0.62548828125
bicycle6-dog2,bicycle,bicycle,0.99462890625
bicycle7-bear2,bicycle,bicycle,0.998046875
bicycle7-bicycle2,bicycle,bicycle,1.0
bicycle7-cat1,bicycle,bicycle,0.9990234375
bicycle7-clock3,bicycle,bicycle,0.88037109375
bicycle7-elephant2,bicycle,bicycle,0.99951171875
bicycle7-knife2,bicycle,bicycle,0.99951171875
bicycle7-oven1,bicycle,bicycle,0.998046875
bicycle7-truck3,bicycle,bicycle,0.9990234375
bicycle8-bear2,bicycle,bicycle,0.9990234375
bicycle8-bird2,bicycle,bicycle,0.99853515625
bicycle8-boat1,bicycle,bicycle,1.0
bicycle8-chair2,bicycle,bicycle,0.98828125
bicycle8-clock3,bicycle,bicycle,0.99169921875
bicycle8-truck1,bicycle,bicycle,1.0
bicycle9-airplane2,bicycle,bicycle,0.99951171875
bicycle9-bear1,bicycle,bicycle,0.98583984375
bicycle9-bird3,bicycle,bicycle,1.0
bicycle9-bottle1,bicycle,bicycle,0.98681640625
bicycle9-car1,bicycle,bicycle,0.9990234375
bicycle9-cat3,bicycle,bicycle,0.99951171875
bicycle9-chair1,bicycle,bicycle,0.99609375
bicycle9-keyboard3,bicycle,bicycle,0.98974609375
bicycle9-knife3,bicycle,bicycle,0.93310546875
bird1-airplane2,bird,bird,0.9970703125
bird1-bear1,bird,bird,0.525390625
bird1-bicycle2,bicycle,bicycle,0.6474609375
bird1-boat1,bird,bird,0.93896484375
bird1-chair2,chair,chair,0.96240234375
bird1-clock3,clock,clock,0.8564453125
bird1-elephant2,elephant,elephant,0.99609375
bird1-keyboard3,car,car,0.51806640625
bird1-knife3,bear,bear,0.303466796875
bird1-oven1,bird,bird,0.88232421875
bird1-truck1,car,car,0.908203125
bird10-bear2,bird,bird,0.93505859375
bird10-bicycle1,bird,bird,0.83935546875
bird10-bird2,bird,bird,0.9833984375
bird10-cat1,dog,dog,0.315185546875
bird10-chair1,chair,chair,0.7138671875
bird10-clock1,clock,clock,0.9541015625
bird10-elephant2,elephant,elephant,0.9912109375
bird2-airplane3,bird,bird,0.369384765625
bird2-bird2,bird,bird,0.99560546875
bird2-car3,car,car,0.9794921875
bird2-clock3,clock,clock,0.94775390625
bird2-dog2,bird,bird,0.88916015625
bird2-knife1,bird,bird,0.951171875
bird3-bear3,bear,bear,0.7958984375
bird3-bird2,bird,bird,0.931640625
bird3-boat3,car,car,0.416015625
bird3-bottle2,bottle,bottle,0.99951171875
bird3-cat1,bear,bear,0.63134765625
bird3-dog1,bear,bear,0.9111328125
bird3-knife3,knife,knife,0.671875
bird3-oven1,car,car,0.347900390625
bird3-truck3,car,car,0.7802734375
bird4-airplane1,airplane,airplane,0.8125
bird4-bicycle2,bird,bird,0.4580078125
bird4-cat3,bear,bear,0.57666015625
bird4-clock1,clock,clock,0.5478515625
bird4-dog3,bear,bear,0.830078125
bird5-airplane3,bird,bird,0.99853515625
bird5-bear3,bird,bird,0.9970703125
bird5-bicycle1,bird,bird,0.998046875
bird5-bird1,bird,bird,0.9970703125
bird5-car2,bird,bird,0.6494140625
bird5-cat2,bird,bird,0.9951171875
bird5-chair1,chair,chair,0.72607421875
bird5-dog2,bird,bird,0.998046875
bird5-keyboard2,keyboard,keyboard,0.99755859375
bird5-oven3,bird,bird,0.73486328125
bird5-truck2,car,car,0.9599609375
bird6-airplane2,bird,bird,0.9033203125
bird6-boat2,airplane,airplane,0.39990234375
bird6-bottle3,bottle,bottle,0.81494140625
bird6-car3,car,car,0.982421875
bird6-elephant2,bird,bird,0.457763671875
bird6-oven1,boat,boat,0.309326171875
bird6-truck2,car,car,0.95166015625
bird7-bird2,bird,bird,0.99951171875
bird7-boat1,bird,bird,0.9384765625
bird7-bottle1,bottle,bottle,0.67626953125
bird7-car2,bird,bird,0.74951171875
bird7-cat3,bird,bird,0.99853515625
bird7-keyboard3,car,car,0.47802734375
bird7-knife2,bird,bird,0.99658203125
bird7-oven3,car,car,0.384033203125
bird7-truck2,car,car,0.96923828125
bird8-boat3,bird,bird,0.95361328125
bird8-bottle1,bottle,bottle,0.8330078125
bird8-car2,bird,bird,0.697265625
bird8-chair1,chair,chair,0.921875
bird8-clock1,clock,clock,0.72802734375
bird8-elephant1,bird,bird,0.98046875
bird8-keyboard2,keyboard,keyboard,0.9990234375
bird8-knife2,bird,bird,0.99365234375
bird9-bear3,bird,bird,0.99267578125
bird9-bicycle3,bird,bird,0.9990234375
bird9-bottle3,bird,bird,0.99609375
bird9-chair1,chair,chair,0.91845703125
bird9-dog2,bird,bird,0.99755859375
bird9-elephant2,bird,bird,0.97900390625
bird9-keyboard1,bird,bird,0.994140625
boat1-bear1,bear,bear,0.81884765625
boat1-bicycle2,bicycle,bicycle,0.93701171875
boat1-bird3,knife,knife,0.76416015625
boat1-car2,car,car,0.98828125
boat1-chair3,chair,chair,0.98388671875
boat1-elephant3,elephant,elephant,0.998046875
boat1-keyboard3,keyboard,keyboard,0.984375
boat1-oven1,boat,boat,0.92822265625
boat1-truck3,car,car,0.65576171875
boat10-bear3,bear,bear,0.84375
boat10-boat3,boat,boat,0.98876953125
boat10-cat1,bear,bear,0.43212890625
boat10-oven1,boat,boat,0.93408203125
boat10-truck1,boat,boat,0.83642578125
boat2-airplane1,boat,boat,0.84375
boat2-bear3,bear,bear,0.9443359375
boat2-bird1,boat,boat,0.99267578125
boat2-bottle2,bottle,bottle,0.99658203125
boat2-keyboard1,car,car,0.33203125
boat2-oven3,car,car,0.6796875
boat3-airplane2,boat,boat,0.87060546875
boat3-bicycle2,bicycle,bicycle,0.96142578125
boat3-car3,car,car,0.89208984375
boat3-cat3,boat,boat,0.97216796875
boat3-chair3,chair,chair,0.8056640625
boat3-clock3,clock,clock,0.994140625
boat3-dog3,dog,dog,0.5595703125
boat3-keyboard2,keyboard,keyboard,0.99853515625
boat4-bicycle3,boat,boat,0.89404296875
boat4-bird1,boat,boat,0.96435546875
boat4-boat3,boat,boat,0.99072265625
boat4-bottle2,bottle,bottle,0.998046875
boat4-car3,car,car,0.9580078125
boat4-chair2,chair,chair,0.94482421875
boat4-dog2,bear,bear,0.5185546875
boat4-elephant2,elephant,elephant,0.98974609375
boat4-knife2,knife,knife,0.93017578125
boat5-airplane1,airplane,airplane,0.5947265625
boat5-bicycle3,boat,boat,0.99560546875
boat5-boat3,boat,boat,0.98779296875
boat5-car3,car,car,0.9462890625
boat5-clock3,clock,clock,0.998046875
boat5-knife2,boat,boat,0.9208984375
boat6-airplane2,boat,boat,0.939453125
boat6-bear1,bear,bear,0.8359375
boat6-bicycle2,bicycle,bicycle,0.9609375
boat6-bottle2,bottle,bottle,0.99853515625
boat6-car1,boat,boat,0.888671875
