image,response,pred_label,pred_conf
airplane1-bicycle2,airplane,airplane,1.0
airplane1-chair2,chair,chair,1.0
airplane1-clock1,airplane,airplane,0.7431640625
airplane1-elephant1,airplane,airplane,0.99951171875
airplane10-airplane1,airplane,airplane,1.0
airplane10-bear3,dog,dog,0.74365234375
airplane10-boat3,airplane,airplane,1.0
airplane10-car3,airplane,airplane,1.0
airplane10-cat2,dog,dog,0.74462890625
airplane10-dog3,dog,dog,0.9697265625
airplane10-elephant1,airplane,airplane,0.994140625
airplane10-knife3,knife,knife,0.99951171875
airplane10-oven2,airplane,airplane,1.0
airplane10-truck1,airplane,airplane,1.0
airplane2-bear1,bear,bear,0.65576171875
airplane2-bicycle1,bicycle,bicycle,0.8759765625
airplane2-bird3,airplane,airplane,0.87939453125
airplane2-bottle1,bottle,bottle,1.0
airplane2-cat1,cat,cat,0.94140625
airplane2-dog1,dog,dog,0.9580078125
airplane3-airplane2,airplane,airplane,1.0
airplane3-car1,airplane,airplane,0.98681640625
airplane3-cat1,cat,cat,0.79052734375
airplane3-chair3,chair,chair,1.0
airplane3-clock1,airplane,airplane,0.88720703125
airplane3-dog1,dog,dog,0.90673828125
airplane3-elephant1,elephant,elephant,0.99365234375
airplane3-keyboard2,keyboard,keyboard,1.0
airplane3-oven1,airplane,airplane,0.9267578125
airplane4-airplane1,airplane,airplane,1.0
airplane4-bear3,dog,dog,0.716796875
airplane4-bicycle2,bicycle,bicycle,0.99755859375
airplane4-bird3,airplane,airplane,1.0
airplane4-boat3,airplane,airplane,1.0
airplane4-bottle1,bottle,bottle,0.99951171875
airplane4-car1,airplane,airplane,0.9990234375
airplane4-cat3,cat,cat,0.87646484375
airplane4-dog2,airplane,airplane,0.99951171875
airplane4-elephant1,airplane,airplane,0.98583984375
airplane4-keyboard3,keyboard,keyboard,0.7333984375
airplane4-knife1,knife,knife,0.4140625
airplane4-truck2,car,car,0.92822265625
airplane5-bear2,bird,bird,0.50146484375
airplane5-bicycle1,airplane,airplane,0.9990234375
airplane5-bird2,airplane,airplane,0.9833984375
airplane5-boat3,airplane,airplane,0.99658203125
airplane5-bottle3,airplane,airplane,0.806640625
airplane5-chair3,chair,chair,1.0
airplane5-dog3,dog,dog,0.99462890625
airplane5-knife1,knife,knife,0.85986328125
airplane5-oven3,oven,oven,0.60791015625
airplane6-bear3,bear,bear,0.3623046875
airplane6-bottle2,bottle,bottle,1.0
airplane6-chair3,chair,chair,1.0
airplane6-keyboard3,airplane,airplane,0.998046875
airplane6-knife1,airplane,airplane,0.94140625
airplane7-airplane3,airplane,airplane,1.0
airplane7-bird3,airplane,airplane,0.99853515625
airplane7-boat2,airplane,airplane,1.0
airplane7-bottle3,airplane,airplane,0.99365234375
airplane7-car1,car,car,0.90625
airplane7-cat3,cat,cat,0.362548828125
airplane7-clock3,clock,clock,0.98974609375
airplane7-keyboard1,airplane,airplane,0.982421875
airplane7-truck1,airplane,airplane,1.0
