image,response,pred_label,pred_conf
airplane1-bicycle2,airplane,airplane,1.0
airplane1-chair2,chair,chair,0.99951171875
airplane1-clock1,clock,clock,0.82666015625
airplane1-elephant1,airplane,airplane,0.998046875
airplane10-airplane1,airplane,airplane,1.0
airplane10-bear3,dog,dog,0.3369140625
airplane10-boat3,airplane,airplane,1.0
airplane10-car3,airplane,airplane,1.0
airplane10-cat2,cat,cat,0.60693359375
airplane10-dog3,dog,dog,0.9326171875
airplane10-elephant1,airplane,airplane,0.99267578125
airplane10-knife3,knife,knife,0.998046875
airplane10-oven2,airplane,airplane,1.0
airplane10-truck1,airplane,airplane,1.0
airplane2-bear1,bear,bear,0.79541015625
airplane2-bicycle1,bicycle,bicycle,0.85302734375
airplane2-bird3,airplane,airplane,0.70703125
airplane2-bottle1,bottle,bottle,1.0
airplane2-cat1,cat,cat,0.91259765625
airplane2-dog1,dog,dog,0.916015625
airplane3-airplane2,airplane,airplane,1.0
airplane3-car1,airplane,airplane,0.99755859375
airplane3-cat1,cat,cat,0.80126953125
airplane3-chair3,chair,chair,1.0
airplane3-clock1,airplane,airplane,0.53125
airplane3-dog1,dog,dog,0.7373046875
airplane3-elephant1,elephant,elephant,0.9453125
airplane3-keyboard2,keyboard,keyboard,1.0
airplane3-oven1,airplane,airplane,0.93701171875
airplane4-airplane1,airplane,airplane,1.0
airplane4-bear3,dog,dog,0.378173828125
airplane4-bicycle2,bicycle,bicycle,0.99560546875
airplane4-bird3,airplane,airplane,1.0
airplane4-boat3,airplane,airplane,1.0
airplane4-bottle1,bottle,bottle,1.0
airplane4-car1,airplane,airplane,0.99951171875
airplane4-cat3,cat,cat,0.93115234375
airplane4-dog2,airplane,airplane,0.9990234375
airplane4-elephant1,airplane,airplane,0.9755859375
airplane4-keyboard3,keyboard,keyboard,0.49462890625
airplane4-knife1,knife,knife,0.74951171875
airplane4-truck2,car,car,0.693359375
airplane5-bear2,bird,bird,0.53564453125
airplane5-bicycle1,airplane,airplane,0.9990234375
airplane5-bird2,airplane,airplane,0.9814453125
airplane5-boat3,airplane,airplane,0.998046875
airplane5-bottle3,bottle,bottle,0.6640625
airplane5-chair3,chair,chair,0.9990234375
airplane5-dog3,dog,dog,0.97412109375
airplane5-knife1,knife,knife,0.9013671875
airplane5-oven3,clock,clock,0.47509765625
airplane6-bear3,bear,bear,0.58837890625
airplane6-bottle2,bottle,bottle,1.0
airplane6-chair3,chair,chair,1.0
airplane6-keyboard3,airplane,airplane,0.98828125
airplane6-knife1,airplane,airplane,0.5703125
airplane7-airplane3,airplane,airplane,1.0
airplane7-bird3,airplane,airplane,0.99169921875
airplane7-boat2,airplane,airplane,1.0
airplane7-bottle3,airplane,airplane,0.92578125
airplane7-car1,airplane,airplane,0.7333984375
airplane7-cat3,bird,bird,0.329345703125
airplane7-clock3,clock,clock,0.9931640625
airplane7-keyboard1,airplane,airplane,0.802734375
airplane7-truck1,airplane,airplane,1.0
airplane8-bicycle3,airplane,airplane,0.96044921875
airplane8-bird1,airplane,airplane,0.99951171875
airplane8-chair1,chair,chair,0.99853515625
airplane8-clock2,clock,clock,0.9951171875
airplane8-elephant3,elephant,elephant,0.96875
airplane8-oven2,bottle,bottle,0.307373046875
airplane8-truck3,chair,chair,0.63525390625
airplane9-airplane2,airplane,airplane,1.0
airplane9-boat1,airplane,airplane,1.0
airplane9-car2,car,car,0.5595703125
airplane9-clock1,clock,clock,0.9892578125
airplane9-keyboard2,keyboard,keyboard,0.99951171875
airplane9-knife3,knife,knife,0.939453125
airplane9-oven2,airplane,airplane,0.325927734375
airplane9-truck1,airplane,airplane,1.0
bear1-airplane3,bear,bear,0.99951171875
bear1-bear3,bear,bear,1.0
bear1-bicycle3,bear,bear,0.99951171875
bear1-bird2,bear,bear,1.0
bear1-chair2,chair,chair,0.99951171875
bear1-clock2,bear,bear,0.9970703125
bear1-elephant1,bear,bear,0.98291015625
bear10-bear2,bear,bear,0.7548828125
bear10-bottle1,bottle,bottle,1.0
bear10-car2,car,car,0.97509765625
bear10-cat2,bear,bear,0.474853515625
bear10-chair2,chair,chair,1.0
bear10-clock1,clock,clock,1.0
bear10-elephant1,elephant,elephant,0.89599609375
bear10-keyboard3,keyboard,keyboard,0.98583984375
bear10-knife2,bear,bear,0.7978515625
bear10-oven1,bear,bear,0.966796875
bear10-truck1,car,car,0.68408203125
bear2-airplane1,bear,bear,0.9990234375
bear2-bird3,bear,bear,1.0
bear2-car2,bear,bear,0.8818359375
bear2-cat2,bear,bear,1.0
bear2-dog1,bear,bear,1.0
bear2-elephant1,bear,bear,0.912109375
bear2-keyboard2,keyboard,keyboard,1.0
bear2-knife2,bear,bear,0.99951171875
bear2-oven1,bear,bear,1.0
bear3-airplane1,bear,bear,0.95166015625
bear3-bicycle2,bicycle,bicycle,0.9921875
bear3-bird3,bear,bear,1.0
bear3-car2,bear,bear,0.341552734375
bear3-cat1,bear,bear,0.98583984375
bear3-chair2,chair,chair,0.9931640625
bear3-dog3,bear,bear,0.97705078125
bear3-keyboard2,keyboard,keyboard,1.0
bear3-truck3,bear,bear,0.94970703125
bear4-boat2,bear,bear,0.98388671875
bear4-car3,bear,bear,0.50927734375
bear4-cat3,bear,bear,1.0
bear4-clock3,bear,bear,0.521484375
bear4-elephant2,bear,bear,0.9150390625
bear4-keyboard3,chair,chair,0.74658203125
bear4-knife1,bear,bear,0.984375
bear4-oven2,chair,chair,0.69921875
bear4-truck3,bear,bear,0.99072265625
bear5-airplane3,bear,bear,1.0
bear5-bicycle3,bear,bear,1.0
bear5-bird1,bear,bear,1.0
bear5-boat2,bear,bear,0.99951171875
bear5-bottle1,bottle,bottle,0.9990234375
bear5-chair1,chair,chair,1.0
bear5-oven3,bear,bear,0.61181640625
bear6-bear1,bear,bear,0.9853515625
bear6-bird2,bear,bear,0.9951171875
bear6-boat3,bottle,bottle,0.188232421875
bear6-bottle3,bottle,bottle,0.99853515625
bear6-car2,car,car,0.57958984375
bear6-cat3,bear,bear,0.9951171875
bear6-chair1,chair,chair,0.99951171875
bear6-clock1,clock,clock,1.0
bear7-bear2,bear,bear,1.0
bear7-bicycle2,bicycle,bicycle,0.9912109375
bear7-clock1,clock,clock,0.99951171875
bear7-dog3,bear,bear,1.0
bear7-oven3,oven,oven,0.34814453125
bear7-truck1,bear,bear,0.85888671875
bear8-airplane1,bear,bear,0.99951171875
bear8-bear1,bear,bear,1.0
bear8-bicycle3,bear,bear,0.99951171875
bear8-boat2,bear,bear,0.99951171875
bear8-bottle1,bottle,bottle,1.0
bear8-dog1,bear,bear,1.0
bear8-elephant2,bear,bear,0.99951171875
bear8-knife3,bear,bear,1.0
bear8-truck3,bear,bear,0.99951171875
bear9-boat2,bear,bear,0.998046875
bear9-bottle2,bottle,bottle,0.99951171875
bear9-dog1,bear,bear,1.0
bear9-keyboard3,keyboard,keyboard,1.0
bear9-knife2,bear,bear,0.99365234375
bicycle1-airplane2,bicycle,bicycle,1.0
bicycle1-bear1,bicycle,bicycle,0.99755859375
bicycle1-bicycle3,bicycle,bicycle,1.0
bicycle1-bird1,bicycle,bicycle,1.0
bicycle1-boat3,bicycle,bicycle,1.0
bicycle1-bottle3,bicycle,bicycle,1.0
bicycle1-chair1,bicycle,bicycle,0.99951171875
bicycle1-clock3,bicycle,bicycle,0.9072265625
bicycle1-dog3,bicycle,bicycle,1.0
bicycle1-elephant2,bicycle,bicycle,1.0
bicycle1-knife3,bicycle,bicycle,0.99951171875
bicycle1-oven1,bicycle,bicycle,0.99951171875
