image,response,pred_label,pred_conf
airplane1-bicycle2,bicycle,bicycle,0.7451171875
airplane1-chair2,chair,chair,0.99853515625
airplane1-clock1,clock,clock,0.923828125
airplane1-elephant1,elephant,elephant,0.455322265625
airplane10-airplane1,airplane,airplane,0.796875
airplane10-bear3,dog,dog,0.34814453125
airplane10-boat3,airplane,airplane,0.5185546875
airplane10-car3,airplane,airplane,0.673828125
airplane10-cat2,dog,dog,0.38720703125
airplane10-dog3,dog,dog,0.52001953125
airplane10-elephant1,elephant,elephant,0.493896484375
airplane10-knife3,knife,knife,0.865234375
airplane10-oven2,truck,truck,0.2110595703125
airplane10-truck1,truck,truck,0.43359375
airplane2-bear1,cat,cat,0.323974609375
airplane2-bicycle1,bicycle,bicycle,0.615234375
airplane2-bird3,bird,bird,0.54443359375
airplane2-bottle1,bottle,bottle,0.8837890625
airplane2-cat1,cat,cat,0.6416015625
airplane2-dog1,dog,dog,0.4248046875
airplane3-airplane2,airplane,airplane,0.55322265625
airplane3-car1,car,car,0.55810546875
airplane3-cat1,cat,cat,0.30322265625
airplane3-chair3,chair,chair,0.99658203125
airplane3-clock1,clock,clock,0.86181640625
airplane3-dog1,dog,dog,0.6123046875
airplane3-elephant1,elephant,elephant,0.4794921875
airplane3-keyboard2,keyboard,keyboard,0.21044921875
airplane3-oven1,bird,bird,0.472900390625
airplane4-airplane1,airplane,airplane,0.77001953125
airplane4-bear3,cat,cat,0.278564453125
airplane4-bicycle2,car,car,0.29150390625
airplane4-bird3,bird,bird,0.6484375
airplane4-boat3,airplane,airplane,0.2744140625
airplane4-bottle1,bottle,bottle,0.541015625
airplane4-car1,car,car,0.448486328125
airplane4-cat3,cat,cat,0.6015625
airplane4-dog2,cat,cat,0.316162109375
airplane4-elephant1,elephant,elephant,0.72314453125
airplane4-keyboard3,knife,knife,0.348876953125
airplane4-knife1,truck,truck,0.564453125
airplane4-truck2,truck,truck,0.509765625
airplane5-bear2,bird,bird,0.79833984375
airplane5-bicycle1,airplane,airplane,0.7119140625
airplane5-bird2,bird,bird,0.53466796875
airplane5-boat3,airplane,airplane,0.5009765625
airplane5-bottle3,bottle,bottle,0.91455078125
airplane5-chair3,chair,chair,0.9990234375
airplane5-dog3,dog,dog,0.84326171875
airplane5-knife1,knife,knife,0.33056640625
airplane5-oven3,oven,oven,0.79931640625
airplane6-bear3,bear,bear,0.587890625
airplane6-bottle2,bottle,bottle,0.67626953125
airplane6-chair3,chair,chair,0.998046875
airplane6-keyboard3,bird,bird,0.6572265625
airplane6-knife1,knife,knife,0.39453125
airplane7-airplane3,airplane,airplane,0.7275390625
airplane7-bird3,bird,bird,0.86767578125
airplane7-boat2,airplane,airplane,0.60595703125
airplane7-bottle3,bottle,bottle,0.78076171875
airplane7-car1,car,car,0.92431640625
airplane7-cat3,bird,bird,0.78466796875
airplane7-clock3,clock,clock,0.97314453125
airplane7-keyboard1,truck,truck,0.263671875
airplane7-truck1,truck,truck,0.21630859375
airplane8-bicycle3,bicycle,bicycle,0.40576171875
airplane8-bird1,bird,bird,0.28369140625
airplane8-chair1,chair,chair,0.947265625
airplane8-clock2,truck,truck,0.21484375
airplane8-elephant3,elephant,elephant,0.9951171875
airplane8-oven2,car,car,0.233642578125
airplane8-truck3,chair,chair,0.82861328125
airplane9-airplane2,airplane,airplane,0.389404296875
airplane9-boat1,boat,boat,0.5908203125
airplane9-car2,car,car,0.875
airplane9-clock1,clock,clock,0.99853515625
airplane9-keyboard2,keyboard,keyboard,0.6044921875
airplane9-knife3,cat,cat,0.1832275390625
airplane9-oven2,truck,truck,0.194091796875
airplane9-truck1,truck,truck,0.283203125
bear1-airplane3,bear,bear,0.9970703125
bear1-bear3,bear,bear,0.9892578125
bear1-bicycle3,bear,bear,0.99853515625
bear1-bird2,bear,bear,0.99755859375
bear1-chair2,chair,chair,0.99365234375
bear1-clock2,bear,bear,0.9931640625
bear1-elephant1,bear,bear,0.97119140625
bear10-bear2,bear,bear,0.9970703125
bear10-bottle1,bear,bear,0.830078125
bear10-car2,car,car,0.90478515625
bear10-cat2,cat,cat,0.5263671875
bear10-chair2,chair,chair,0.9990234375
bear10-clock1,clock,clock,0.9814453125
bear10-elephant1,elephant,elephant,0.98095703125
bear10-keyboard3,car,car,0.2239990234375
bear10-knife2,bear,bear,0.6865234375
bear10-oven1,bear,bear,0.5126953125
bear10-truck1,bear,bear,0.310791015625
bear2-airplane1,bear,bear,0.98779296875
bear2-bird3,bear,bear,0.99951171875
bear2-car2,car,car,0.7333984375
bear2-cat2,bear,bear,0.99365234375
bear2-dog1,bear,bear,0.99853515625
bear2-elephant1,bear,bear,0.8701171875
bear2-keyboard2,keyboard,keyboard,0.9697265625
bear2-knife2,bear,bear,0.99755859375
bear2-oven1,bear,bear,0.9990234375
bear3-airplane1,elephant,elephant,0.8916015625
bear3-bicycle2,bicycle,bicycle,0.250732421875
bear3-bird3,bear,bear,0.67041015625
bear3-car2,car,car,0.779296875
bear3-cat1,cat,cat,0.57373046875
bear3-chair2,chair,chair,0.96533203125
bear3-dog3,cat,cat,0.476318359375
bear3-keyboard2,keyboard,keyboard,0.9677734375
bear3-truck3,bear,bear,0.5380859375
bear4-boat2,bear,bear,0.92919921875
bear4-car3,elephant,elephant,0.423095703125
bear4-cat3,bear,bear,0.99853515625
bear4-clock3,elephant,elephant,0.96240234375
bear4-elephant2,bear,bear,0.69970703125
bear4-keyboard3,keyboard,keyboard,0.1719970703125
bear4-knife1,elephant,elephant,0.4970703125
bear4-oven2,truck,truck,0.25244140625
bear4-truck3,bear,bear,0.8310546875
bear5-airplane3,bear,bear,0.9990234375
bear5-bicycle3,bear,bear,0.998046875
bear5-bird1,bear,bear,0.99853515625
bear5-boat2,bear,bear,0.65576171875
bear5-bottle1,elephant,elephant,0.69482421875
bear5-chair1,chair,chair,0.978515625
bear5-oven3,oven,oven,0.533203125
bear6-bear1,bear,bear,0.70849609375
bear6-bird2,bear,bear,0.978515625
bear6-boat3,elephant,elephant,0.285400390625
bear6-bottle3,bottle,bottle,0.859375
