image,response,pred_label,pred_conf
airplane1-bicycle2,airplane,airplane,0.5068359375
airplane1-chair2,chair,chair,0.99951171875
airplane1-clock1,clock,clock,0.9228515625
airplane1-elephant1,airplane,airplane,0.9580078125
airplane10-airplane1,airplane,airplane,0.99462890625
airplane10-bear3,cat,cat,0.458984375
airplane10-boat3,airplane,airplane,0.986328125
airplane10-car3,airplane,airplane,0.99072265625
airplane10-cat2,cat,cat,0.31201171875
airplane10-dog3,cat,cat,0.443603515625
airplane10-elephant1,airplane,airplane,0.92333984375
airplane10-knife3,knife,knife,0.916015625
airplane10-oven2,airplane,airplane,0.7900390625
airplane10-truck1,airplane,airplane,0.4189453125
airplane2-bear1,bear,bear,0.371826171875
airplane2-bicycle1,bicycle,bicycle,0.904296875
airplane2-bird3,bird,bird,0.5673828125
airplane2-bottle1,bottle,bottle,0.95654296875
airplane2-cat1,cat,cat,0.83984375
airplane2-dog1,dog,dog,0.40625
airplane3-airplane2,airplane,airplane,0.98876953125
airplane3-car1,airplane,airplane,0.7587890625
airplane3-cat1,cat,cat,0.412353515625
airplane3-chair3,chair,chair,0.9990234375
airplane3-clock1,airplane,airplane,0.55517578125
airplane3-dog1,dog,dog,0.59619140625
airplane3-elephant1,elephant,elephant,0.432373046875
airplane3-keyboard2,keyboard,keyboard,0.572265625
airplane3-oven1,airplane,airplane,0.87451171875
airplane4-airplane1,airplane,airplane,0.99365234375
airplane4-bear3,cat,cat,0.40087890625
airplane4-bicycle2,bicycle,bicycle,0.359130859375
airplane4-bird3,bird,bird,0.6572265625
airplane4-boat3,airplane,airplane,0.8955078125
airplane4-bottle1,bottle,bottle,0.7236328125
airplane4-car1,airplane,airplane,0.740234375
airplane4-cat3,cat,cat,0.828125
airplane4-dog2,cat,cat,0.455810546875
airplane4-elephant1,elephant,elephant,0.72900390625
airplane4-keyboard3,keyboard,keyboard,0.421875
airplane4-knife1,truck,truck,0.464111328125
airplane4-truck2,truck,truck,0.6728515625
airplane5-bear2,bird,bird,0.8671875
airplane5-bicycle1,airplane,airplane,0.99169921875
airplane5-bird2,airplane,airplane,0.76953125
airplane5-boat3,airplane,airplane,0.98388671875
airplane5-bottle3,bottle,bottle,0.8017578125
airplane5-chair3,chair,chair,1.0
airplane5-dog3,dog,dog,0.86962890625
airplane5-knife1,knife,knife,0.289794921875
airplane5-oven3,oven,oven,0.96630859375
airplane6-bear3,bear,bear,0.6513671875
airplane6-bottle2,bottle,bottle,0.748046875
airplane6-chair3,chair,chair,0.9990234375
airplane6-keyboard3,bird,bird,0.5615234375
airplane6-knife1,knife,knife,0.337158203125
airplane7-airplane3,airplane,airplane,0.99609375
airplane7-bird3,bird,bird,0.9462890625
airplane7-boat2,airplane,airplane,0.98974609375
airplane7-bottle3,bottle,bottle,0.904296875
airplane7-car1,car,car,0.90234375
airplane7-cat3,bird,bird,0.78564453125
airplane7-clock3,clock,clock,0.986328125
airplane7-keyboard1,truck,truck,0.2496337890625
airplane7-truck1,airplane,airplane,0.82275390625
airplane8-bicycle3,airplane,airplane,0.6044921875
airplane8-bird1,airplane,airplane,0.79443359375
airplane8-chair1,chair,chair,0.9853515625
airplane8-clock2,truck,truck,0.1839599609375
airplane8-elephant3,elephant,elephant,0.99658203125
airplane8-oven2,oven,oven,0.2230224609375
airplane8-truck3,chair,chair,0.90283203125
airplane9-airplane2,airplane,airplane,0.974609375
airplane9-boat1,airplane,airplane,0.8017578125
airplane9-car2,car,car,0.79638671875
airplane9-clock1,clock,clock,0.99951171875
airplane9-keyboard2,keyboard,keyboard,0.90087890625
airplane9-knife3,cat,cat,0.15966796875
airplane9-oven2,truck,truck,0.174072265625
airplane9-truck1,airplane,airplane,0.78662109375
bear1-airplane3,bear,bear,0.9990234375
bear1-bear3,bear,bear,0.99609375
bear1-bicycle3,bear,bear,0.99951171875
bear1-bird2,bear,bear,0.99951171875
bear1-chair2,chair,chair,0.99755859375
bear1-clock2,bear,bear,0.99267578125
bear1-elephant1,bear,bear,0.98486328125
bear10-bear2,bear,bear,0.99853515625
bear10-bottle1,bear,bear,0.7666015625
bear10-car2,car,car,0.82275390625
bear10-cat2,cat,cat,0.66357421875
bear10-chair2,chair,chair,0.99951171875
bear10-clock1,clock,clock,0.9912109375
bear10-elephant1,elephant,elephant,0.98974609375
bear10-keyboard3,keyboard,keyboard,0.369384765625
bear10-knife2,dog,dog,0.472900390625
bear10-oven1,bear,bear,0.439208984375
bear10-truck1,bear,bear,0.28857421875
bear2-airplane1,bear,bear,0.9912109375
bear2-bird3,bear,bear,1.0
bear2-car2,car,car,0.6962890625
bear2-cat2,bear,bear,0.998046875
bear2-dog1,bear,bear,0.99951171875
bear2-elephant1,bear,bear,0.85595703125
bear2-keyboard2,keyboard,keyboard,0.99560546875
bear2-knife2,bear,bear,0.99755859375
bear2-oven1,bear,bear,1.0
bear3-airplane1,elephant,elephant,0.865234375
bear3-bicycle2,bicycle,bicycle,0.5009765625
bear3-bird3,cat,cat,0.52978515625
bear3-car2,car,car,0.8388671875
bear3-cat1,cat,cat,0.818359375
bear3-chair2,chair,chair,0.98974609375
bear3-dog3,cat,cat,0.77734375
bear3-keyboard2,keyboard,keyboard,0.99658203125
bear3-truck3,bear,bear,0.491455078125
bear4-boat2,bear,bear,0.94580078125
bear4-car3,bear,bear,0.376953125
bear4-cat3,bear,bear,0.99951171875
bear4-clock3,elephant,elephant,0.970703125
bear4-elephant2,bear,bear,0.806640625
bear4-keyboard3,keyboard,keyboard,0.5185546875
bear4-knife1,elephant,elephant,0.454345703125
bear4-oven2,truck,truck,0.26953125
bear4-truck3,bear,bear,0.84521484375
bear5-airplane3,bear,bear,0.99951171875
bear5-bicycle3,bear,bear,0.99951171875
bear5-bird1,bear,bear,0.99951171875
bear5-boat2,bear,bear,0.640625
bear5-bottle1,elephant,elephant,0.7060546875
bear5-chair1,chair,chair,0.9921875
bear5-oven3,oven,oven,0.8603515625
bear6-bear1,bear,bear,0.78564453125
bear6-bird2,bear,bear,0.99169921875
bear6-boat3,cat,cat,0.2015380859375
bear6-bottle3,bottle,bottle,0.794921875
bear6-car2,car,car,0.84033203125
bear6-cat3,bear,bear,0.95947265625
bear6-chair1,chair,chair,0.99169921875
bear6-clock1,clock,clock,0.9970703125
bear7-bear2,bear,bear,0.99951171875
bear7-bicycle2,bear,bear,0.24951171875
bear7-clock1,clock,clock,0.98681640625
bear7-dog3,bear,bear,0.92919921875
bear7-oven3,oven,oven,0.75
bear7-truck1,bear,bear,0.434814453125
bear8-airplane1,bear,bear,0.98583984375
bear8-bear1,bear,bear,0.99951171875
bear8-bicycle3,bear,bear,0.99951171875
bear8-boat2,bear,bear,0.98974609375
bear8-bottle1,bottle,bottle,0.91845703125
bear8-dog1,bear,bear,1.0
bear8-elephant2,bear,bear,0.7041015625
bear8-knife3,bear,bear,0.99365234375
bear8-truck3,bear,bear,0.9736328125
bear9-boat2,bear,bear,0.984375
bear9-bottle2,bottle,bottle,0.88818359375
bear9-dog1,bear,bear,0.978515625
bear9-keyboard3,keyboard,keyboard,0.99853515625
bear9-knife2,bear,bear,0.9853515625
bicycle1-airplane2,bicycle,bicycle,0.99951171875
bicycle1-bear1,bicycle,bicycle,0.9990234375
bicycle1-bicycle3,bicycle,bicycle,1.0
bicycle1-bird1,bicycle,bicycle,0.9990234375
bicycle1-boat3,bicycle,bicycle,0.9990234375
bicycle1-bottle3,bicycle,bicycle,1.0
bicycle1-chair1,chair,chair,0.8046875
bicycle1-clock3,bicycle,bicycle,0.9658203125
bicycle1-dog3,bicycle,bicycle,0.99658203125
bicycle1-elephant2,bicycle,bicycle,1.0
bicycle1-knife3,bicycle,bicycle,0.9990234375
bicycle1-oven1,bicycle,bicycle,0.99951171875
bicycle1-truck1,bicycle,bicycle,0.9990234375
bicycle10-airplane2,bicycle,bicycle,0.99951171875
bicycle10-boat3,bicycle,bicycle,0.99951171875
bicycle10-clock2,bicycle,bicycle,0.99951171875
bicycle10-dog3,bicycle,bicycle,0.99609375
bicycle10-elephant2,bicycle,bicycle,0.99951171875
bicycle2-bicycle1,bicycle,bicycle,0.99951171875
bicycle2-bird3,bicycle,bicycle,0.998046875
