image,response,pred_label,pred_conf
airplane1-bicycle2,airplane,airplane,0.427978515625
airplane1-chair2,chair,chair,0.9970703125
airplane1-clock1,clock,clock,0.9365234375
airplane1-elephant1,elephant,elephant,0.394287109375
airplane10-airplane1,airplane,airplane,0.75341796875
airplane10-bear3,dog,dog,0.5537109375
airplane10-boat3,airplane,airplane,0.78759765625
airplane10-car3,airplane,airplane,0.413330078125
airplane10-cat2,dog,dog,0.4892578125
airplane10-dog3,dog,dog,0.60302734375
airplane10-elephant1,elephant,elephant,0.496826171875
airplane10-knife3,knife,knife,0.83935546875
airplane10-oven2,airplane,airplane,0.388916015625
airplane10-truck1,car,car,0.45263671875
airplane2-bear1,cat,cat,0.49853515625
airplane2-bicycle1,bicycle,bicycle,0.94140625
airplane2-bird3,bird,bird,0.471923828125
airplane2-bottle1,bottle,bottle,0.9404296875
airplane2-cat1,dog,dog,0.83349609375
airplane2-dog1,dog,dog,0.467041015625
airplane3-airplane2,truck,truck,0.2294921875
airplane3-car1,airplane,airplane,0.56005859375
airplane3-cat1,cat,cat,0.6103515625
airplane3-chair3,chair,chair,0.98974609375
airplane3-clock1,clock,clock,0.58544921875
airplane3-dog1,cat,cat,0.388916015625
airplane3-elephant1,airplane,airplane,0.383544921875
airplane3-keyboard2,clock,clock,0.25927734375
airplane3-oven1,airplane,airplane,0.51904296875
airplane4-airplane1,airplane,airplane,0.634765625
airplane4-bear3,bear,bear,0.42431640625
airplane4-bicycle2,car,car,0.303466796875
airplane4-bird3,dog,dog,0.324462890625
airplane4-boat3,airplane,airplane,0.493408203125
airplane4-bottle1,bottle,bottle,0.40869140625
airplane4-car1,car,car,0.705078125
airplane4-cat3,dog,dog,0.44091796875
airplane4-dog2,dog,dog,0.345703125
airplane4-elephant1,elephant,elephant,0.6630859375
airplane4-keyboard3,car,car,0.24853515625
airplane4-knife1,truck,truck,0.401611328125
airplane4-truck2,car,car,0.77001953125
airplane5-bear2,bird,bird,0.72509765625
airplane5-bicycle1,airplane,airplane,0.7080078125
airplane5-bird2,bird,bird,0.60498046875
airplane5-boat3,airplane,airplane,0.45556640625
airplane5-bottle3,bottle,bottle,0.8505859375
airplane5-chair3,chair,chair,0.99951171875
airplane5-dog3,dog,dog,0.90185546875
airplane5-knife1,truck,truck,0.280029296875
airplane5-oven3,oven,oven,0.7705078125
airplane6-bear3,bear,bear,0.56103515625
airplane6-bottle2,bottle,bottle,0.463134765625
airplane6-chair3,chair,chair,0.99609375
airplane6-keyboard3,knife,knife,0.595703125
airplane6-knife1,bird,bird,0.351318359375
airplane7-airplane3,airplane,airplane,0.748046875
airplane7-bird3,bird,bird,0.6806640625
airplane7-boat2,airplane,airplane,0.40234375
airplane7-bottle3,bottle,bottle,0.4541015625
airplane7-car1,car,car,0.92626953125
airplane7-cat3,dog,dog,0.42578125
airplane7-clock3,clock,clock,0.966796875
airplane7-keyboard1,truck,truck,0.259033203125
airplane7-truck1,bird,bird,0.336181640625
airplane8-bicycle3,truck,truck,0.373779296875
airplane8-bird1,knife,knife,0.826171875
airplane8-chair1,chair,chair,0.9501953125
airplane8-clock2,truck,truck,0.2490234375
airplane8-elephant3,elephant,elephant,0.9970703125
airplane8-oven2,car,car,0.1728515625
airplane8-truck3,chair,chair,0.45654296875
airplane9-airplane2,airplane,airplane,0.81884765625
airplane9-boat1,airplane,airplane,0.400634765625
airplane9-car2,bicycle,bicycle,0.36474609375
airplane9-clock1,clock,clock,0.99609375
airplane9-keyboard2,keyboard,keyboard,0.89453125
airplane9-knife3,cat,cat,0.1795654296875
airplane9-oven2,knife,knife,0.77734375
airplane9-truck1,knife,knife,0.319091796875
bear1-airplane3,bear,bear,0.99462890625
bear1-bear3,bear,bear,0.98974609375
bear1-bicycle3,bear,bear,0.99853515625
bear1-bird2,bear,bear,0.998046875
bear1-chair2,chair,chair,0.9951171875
bear1-clock2,bear,bear,0.99853515625
bear1-elephant1,bear,bear,0.95556640625
bear10-bear2,bear,bear,0.9599609375
bear10-bottle1,bottle,bottle,0.787109375
bear10-car2,car,car,0.7841796875
bear10-cat2,cat,cat,0.705078125
bear10-chair2,chair,chair,0.9970703125
bear10-clock1,clock,clock,0.88916015625
bear10-elephant1,elephant,elephant,0.99267578125
bear10-keyboard3,car,car,0.210205078125
bear10-knife2,bear,bear,0.89892578125
bear10-oven1,bear,bear,0.419677734375
bear10-truck1,elephant,elephant,0.287353515625
bear2-airplane1,bear,bear,0.8251953125
bear2-bird3,bear,bear,1.0
bear2-car2,car,car,0.5341796875
bear2-cat2,bear,bear,0.99169921875
bear2-dog1,bear,bear,0.98681640625
bear2-elephant1,elephant,elephant,0.61279296875
bear2-keyboard2,keyboard,keyboard,0.9755859375
bear2-knife2,bear,bear,0.998046875
bear2-oven1,bear,bear,0.9990234375
bear3-airplane1,bear,bear,0.94384765625
bear3-bicycle2,bicycle,bicycle,0.423583984375
bear3-bird3,bear,bear,0.7978515625
bear3-car2,car,car,0.650390625
bear3-cat1,bear,bear,0.6103515625
bear3-chair2,chair,chair,0.9990234375
bear3-dog3,cat,cat,0.58935546875
bear3-keyboard2,keyboard,keyboard,0.98583984375
bear3-truck3,bear,bear,0.5673828125
bear4-boat2,bear,bear,0.8955078125
bear4-car3,car,car,0.55615234375
bear4-cat3,bear,bear,0.99853515625
bear4-clock3,elephant,elephant,0.62744140625
