image,response,pred_label,pred_conf
airplane1-bicycle2,airplane,airplane,0.9716796875
airplane1-chair2,chair,chair,0.9990234375
airplane1-clock1,clock,clock,0.96044921875
airplane1-elephant1,airplane,airplane,0.9755859375
airplane10-airplane1,airplane,airplane,0.99658203125
airplane10-bear3,dog,dog,0.53662109375
airplane10-boat3,airplane,airplane,0.994140625
airplane10-car3,airplane,airplane,0.9794921875
airplane10-cat2,cat,cat,0.3056640625
airplane10-dog3,dog,dog,0.52490234375
airplane10-elephant1,airplane,airplane,0.97705078125
airplane10-knife3,knife,knife,0.94287109375
airplane10-oven2,airplane,airplane,0.9599609375
airplane10-truck1,airplane,airplane,0.68310546875
airplane2-bear1,cat,cat,0.4560546875
airplane2-bicycle1,bicycle,bicycle,0.99365234375
airplane2-bird3,airplane,airplane,0.341796875
airplane2-bottle1,bottle,bottle,0.9794921875
airplane2-cat1,dog,dog,0.6640625
airplane2-dog1,dog,dog,0.432861328125
airplane3-airplane2,airplane,airplane,0.91943359375
airplane3-car1,airplane,airplane,0.98046875
airplane3-cat1,cat,cat,0.75732421875
airplane3-chair3,chair,chair,0.99755859375
airplane3-clock1,airplane,airplane,0.89306640625
airplane3-dog1,cat,cat,0.460205078125
airplane3-elephant1,airplane,airplane,0.99072265625
airplane3-keyboard2,keyboard,keyboard,0.61865234375
airplane3-oven1,airplane,airplane,0.97314453125
airplane4-airplane1,airplane,airplane,0.9833984375
airplane4-bear3,bear,bear,0.379150390625
airplane4-bicycle2,bicycle,bicycle,0.46923828125
airplane4-bird3,bird,bird,0.2158203125
airplane4-boat3,airplane,airplane,0.9609375
airplane4-bottle1,bottle,bottle,0.7138671875
airplane4-car1,car,car,0.54248046875
airplane4-cat3,bear,bear,0.390625
airplane4-dog2,cat,cat,0.3271484375
airplane4-elephant1,elephant,elephant,0.61962890625
airplane4-keyboard3,knife,knife,0.303466796875
airplane4-knife1,truck,truck,0.41162109375
airplane4-truck2,car,car,0.70458984375
airplane5-bear2,bird,bird,0.814453125
airplane5-bicycle1,airplane,airplane,0.994140625
airplane5-bird2,airplane,airplane,0.84765625
airplane5-boat3,airplane,airplane,0.982421875
airplane5-bottle3,bottle,bottle,0.88037109375
airplane5-chair3,chair,chair,1.0
airplane5-dog3,dog,dog,0.921875
airplane5-knife1,airplane,airplane,0.5966796875
airplane5-oven3,oven,oven,0.9560546875
airplane6-bear3,bear,bear,0.5400390625
airplane6-bottle2,bottle,bottle,0.5869140625
airplane6-chair3,chair,chair,0.9990234375
airplane6-keyboard3,knife,knife,0.50830078125
airplane6-knife1,bird,bird,0.35546875
airplane7-airplane3,airplane,airplane,0.994140625
airplane7-bird3,bird,bird,0.59326171875
airplane7-boat2,airplane,airplane,0.98828125
airplane7-bottle3,airplane,airplane,0.708984375
airplane7-car1,car,car,0.9130859375
airplane7-cat3,dog,dog,0.2734375
airplane7-clock3,clock,clock,0.99169921875
airplane7-keyboard1,truck,truck,0.2342529296875
airplane7-truck1,airplane,airplane,0.9443359375
airplane8-bicycle3,truck,truck,0.424072265625
airplane8-bird1,knife,knife,0.93115234375
airplane8-chair1,chair,chair,0.99072265625
airplane8-clock2,truck,truck,0.24853515625
airplane8-elephant3,elephant,elephant,0.99755859375
airplane8-oven2,cat,cat,0.1573486328125
airplane8-truck3,chair,chair,0.62255859375
airplane9-airplane2,airplane,airplane,0.99462890625
airplane9-boat1,airplane,airplane,0.96923828125
airplane9-car2,bicycle,bicycle,0.316162109375
airplane9-clock1,clock,clock,0.9990234375
airplane9-keyboard2,keyboard,keyboard,0.98681640625
airplane9-knife3,truck,truck,0.1580810546875
airplane9-oven2,knife,knife,0.6396484375
airplane9-truck1,airplane,airplane,0.2486572265625
bear1-airplane3,bear,bear,0.998046875
bear1-bear3,bear,bear,0.998046875
bear1-bicycle3,bear,bear,1.0
bear1-bird2,bear,bear,0.99951171875
bear1-chair2,chair,chair,0.998046875
bear1-clock2,bear,bear,0.9990234375
bear1-elephant1,bear,bear,0.978515625
bear10-bear2,bear,bear,0.9716796875
bear10-bottle1,bottle,bottle,0.9248046875
bear10-car2,car,car,0.728515625
bear10-cat2,cat,cat,0.7890625
bear10-chair2,chair,chair,0.99853515625
bear10-clock1,clock,clock,0.95263671875
bear10-elephant1,elephant,elephant,0.99462890625
bear10-keyboard3,keyboard,keyboard,0.23583984375
bear10-knife2,bear,bear,0.81591796875
bear10-oven1,cat,cat,0.403564453125
bear10-truck1,elephant,elephant,0.188720703125
bear2-airplane1,bear,bear,0.77880859375
bear2-bird3,bear,bear,1.0
bear2-car2,car,car,0.427978515625
bear2-cat2,bear,bear,0.99853515625
bear2-dog1,bear,bear,0.9951171875
bear2-elephant1,elephant,elephant,0.5458984375
bear2-keyboard2,keyboard,keyboard,0.99755859375
bear2-knife2,bear,bear,0.99853515625
bear2-oven1,bear,bear,1.0
bear3-airplane1,bear,bear,0.97900390625
bear3-bicycle2,bicycle,bicycle,0.80078125
bear3-bird3,bear,bear,0.70654296875
bear3-car2,car,car,0.74169921875
bear3-cat1,bear,bear,0.7548828125
bear3-chair2,chair,chair,0.99951171875
bear3-dog3,cat,cat,0.8388671875
bear3-keyboard2,keyboard,keyboard,0.998046875
bear3-truck3,bear,bear,0.57861328125
bear4-boat2,bear,bear,0.95751953125
bear4-car3,car,car,0.455078125
bear4-cat3,bear,bear,0.99951171875
bear4-clock3,elephant,elephant,0.58740234375
bear4-elephant2,bear,bear,0.86865234375
bear4-keyboard3,keyboard,keyboard,0.298828125
bear4-knife1,dog,dog,0.39501953125
bear4-oven2,bear,bear,0.415283203125
bear4-truck3,bear,bear,0.95654296875
bear5-airplane3,bear,bear,0.99951171875
bear5-bicycle3,bear,bear,0.99951171875
bear5-bird1,bear,bear,0.99951171875
bear5-boat2,bear,bear,0.67333984375
bear5-bottle1,elephant,elephant,0.81396484375
bear5-chair1,chair,chair,0.99462890625
bear5-oven3,oven,oven,0.75830078125
bear6-bear1,bear,bear,0.818359375
bear6-bird2,bear,bear,0.91357421875
bear6-boat3,truck,truck,0.18408203125
bear6-bottle3,bottle,bottle,0.87109375
bear6-car2,truck,truck,0.38671875
bear6-cat3,bear,bear,0.9873046875
bear6-chair1,chair,chair,0.9853515625
bear6-clock1,clock,clock,0.99169921875
bear7-bear2,bear,bear,0.9990234375
bear7-bicycle2,bicycle,bicycle,0.355712890625
bear7-clock1,clock,clock,0.8818359375
bear7-dog3,bear,bear,0.9033203125
bear7-oven3,bear,bear,0.3251953125
