image,response,pred_label,pred_conf
airplane1-bicycle2,airplane,airplane,0.96044921875
airplane1-chair2,chair,chair,0.998046875
airplane1-clock1,clock,clock,0.9541015625
airplane1-elephant1,airplane,airplane,0.9482421875
airplane10-airplane1,airplane,airplane,0.9912109375
airplane10-bear3,dog,dog,0.505859375
airplane10-boat3,airplane,airplane,0.9892578125
airplane10-car3,airplane,airplane,0.9765625
airplane10-cat2,cat,cat,0.255126953125
airplane10-dog3,dog,dog,0.50146484375
airplane10-elephant1,airplane,airplane,0.970703125
airplane10-knife3,knife,knife,0.91748046875
airplane10-oven2,airplane,airplane,0.91796875
airplane10-truck1,airplane,airplane,0.671875
airplane2-bear1,cat,cat,0.4140625
airplane2-bicycle1,bicycle,bicycle,0.98046875
airplane2-bird3,bird,bird,0.40869140625
airplane2-bottle1,bottle,bottle,0.984375
airplane2-cat1,dog,dog,0.65380859375
airplane2-dog1,dog,dog,0.45703125
airplane3-airplane2,airplane,airplane,0.87158203125
airplane3-car1,airplane,airplane,0.96044921875
airplane3-cat1,cat,cat,0.697265625
airplane3-chair3,chair,chair,0.99755859375
airplane3-clock1,airplane,airplane,0.85205078125
airplane3-dog1,cat,cat,0.47802734375
airplane3-elephant1,airplane,airplane,0.97802734375
airplane3-keyboard2,keyboard,keyboard,0.5048828125
airplane3-oven1,airplane,airplane,0.93994140625
airplane4-airplane1,airplane,airplane,0.96484375
airplane4-bear3,bear,bear,0.43115234375
airplane4-bicycle2,bicycle,bicycle,0.26708984375
airplane4-bird3,bird,bird,0.195556640625
airplane4-boat3,airplane,airplane,0.9384765625
airplane4-bottle1,bottle,bottle,0.79638671875
airplane4-car1,car,car,0.51220703125
airplane4-cat3,bear,bear,0.367431640625
airplane4-dog2,cat,cat,0.330322265625
airplane4-elephant1,elephant,elephant,0.43701171875
airplane4-keyboard3,knife,knife,0.185302734375
airplane4-knife1,truck,truck,0.330810546875
airplane4-truck2,car,car,0.673828125
airplane5-bear2,bird,bird,0.81982421875
airplane5-bicycle1,airplane,airplane,0.986328125
airplane5-bird2,airplane,airplane,0.85009765625
airplane5-boat3,airplane,airplane,0.96435546875
airplane5-bottle3,bottle,bottle,0.900390625
airplane5-chair3,chair,chair,1.0
airplane5-dog3,dog,dog,0.88330078125
airplane5-knife1,airplane,airplane,0.50244140625
airplane5-oven3,oven,oven,0.94140625
airplane6-bear3,bear,bear,0.446044921875
airplane6-bottle2,bottle,bottle,0.599609375
airplane6-chair3,chair,chair,0.9990234375
airplane6-keyboard3,knife,knife,0.397705078125
airplane6-knife1,bird,bird,0.343505859375
airplane7-airplane3,airplane,airplane,0.9892578125
airplane7-bird3,bird,bird,0.56640625
airplane7-boat2,airplane,airplane,0.982421875
airplane7-bottle3,airplane,airplane,0.6552734375
airplane7-car1,car,car,0.873046875
airplane7-cat3,dog,dog,0.277587890625
airplane7-clock3,clock,clock,0.98828125
airplane7-keyboard1,truck,truck,0.2113037109375
airplane7-truck1,airplane,airplane,0.92822265625
airplane8-bicycle3,truck,truck,0.409912109375
airplane8-bird1,knife,knife,0.86669921875
airplane8-chair1,chair,chair,0.98583984375
airplane8-clock2,bottle,bottle,0.325927734375
airplane8-elephant3,elephant,elephant,0.9931640625
airplane8-oven2,cat,cat,0.143798828125
airplane8-truck3,chair,chair,0.607421875
airplane9-airplane2,airplane,airplane,0.98876953125
airplane9-boat1,airplane,airplane,0.943359375
airplane9-car2,truck,truck,0.2646484375
airplane9-clock1,clock,clock,0.9990234375
airplane9-keyboard2,keyboard,keyboard,0.9775390625
airplane9-knife3,bottle,bottle,0.1766357421875
airplane9-oven2,knife,knife,0.59912109375
airplane9-truck1,airplane,airplane,0.3291015625
bear1-airplane3,bear,bear,0.99609375
bear1-bear3,bear,bear,0.99609375
bear1-bicycle3,bear,bear,0.99951171875
bear1-bird2,bear,bear,0.9990234375
bear1-chair2,chair,chair,0.99658203125
bear1-clock2,bear,bear,0.99853515625
bear1-elephant1,bear,bear,0.9765625
bear10-bear2,bear,bear,0.9716796875
bear10-bottle1,bottle,bottle,0.9306640625
bear10-car2,car,car,0.60009765625
bear10-cat2,cat,cat,0.73046875
bear10-chair2,chair,chair,0.998046875
bear10-clock1,clock,clock,0.95751953125
bear10-elephant1,elephant,elephant,0.98828125
bear10-keyboard3,keyboard,keyboard,0.266357421875
bear10-knife2,bear,bear,0.783203125
bear10-oven1,cat,cat,0.308349609375
bear10-truck1,truck,truck,0.185302734375
bear2-airplane1,bear,bear,0.75537109375
bear2-bird3,bear,bear,1.0
bear2-car2,car,car,0.379638671875
bear2-cat2,bear,bear,0.99755859375
bear2-dog1,bear,bear,0.99267578125
bear2-elephant1,bear,bear,0.5400390625
bear2-keyboard2,keyboard,keyboard,0.99560546875
bear2-knife2,bear,bear,0.99560546875
bear2-oven1,bear,bear,0.99951171875
bear3-airplane1,bear,bear,0.97509765625
bear3-bicycle2,bicycle,bicycle,0.619140625
bear3-bird3,bear,bear,0.75927734375
bear3-car2,car,car,0.57666015625
bear3-cat1,bear,bear,0.7236328125
bear3-chair2,chair,chair,0.9990234375
bear3-dog3,cat,cat,0.8330078125
bear3-keyboard2,keyboard,keyboard,0.99755859375
bear3-truck3,bear,bear,0.54345703125
bear4-boat2,bear,bear,0.94189453125
bear4-car3,car,car,0.5458984375
bear4-cat3,bear,bear,0.99951171875
bear4-clock3,clock,clock,0.5458984375
bear4-elephant2,bear,bear,0.89013671875
bear4-keyboard3,keyboard,keyboard,0.30859375
bear4-knife1,dog,dog,0.388427734375
bear4-oven2,bear,bear,0.30712890625
bear4-truck3,bear,bear,0.94580078125
bear5-airplane3,bear,bear,0.99853515625
bear5-bicycle3,bear,bear,0.99853515625
bear5-bird1,bear,bear,0.998046875
bear5-boat2,bear,bear,0.58251953125
bear5-bottle1,elephant,elephant,0.67919921875
bear5-chair1,chair,chair,0.99365234375
bear5-oven3,oven,oven,0.6962890625
bear6-bear1,bear,bear,0.80908203125
bear6-bird2,bear,bear,0.92724609375
bear6-boat3,truck,truck,0.173095703125
bear6-bottle3,bottle,bottle,0.89892578125
bear6-car2,truck,truck,0.53173828125
bear6-cat3,bear,bear,0.9775390625
bear6-chair1,chair,chair,0.98291015625
bear6-clock1,clock,clock,0.98779296875
bear7-bear2,bear,bear,0.99853515625
bear7-bicycle2,bicycle,bicycle,0.1953125
bear7-clock1,clock,clock,0.92333984375
bear7-dog3,bear,bear,0.8701171875
bear7-oven3,bear,bear,0.244140625
bear7-truck1,bear,bear,0.336669921875
bear8-airplane1,bird,bird,0.369384765625
bear8-bear1,bear,bear,0.9990234375
bear8-bicycle3,bear,bear,0.9990234375
bear8-boat2,bear,bear,0.544921875
bear8-bottle1,bottle,bottle,0.74072265625
bear8-dog1,bear,bear,0.99951171875
bear8-elephant2,bear,bear,0.9970703125
bear8-knife3,bear,bear,0.99951171875
bear8-truck3,bear,bear,0.9931640625
bear9-boat2,bear,bear,0.58837890625
bear9-bottle2,bottle,bottle,0.89111328125
bear9-dog1,bear,bear,0.91796875
bear9-keyboard3,keyboard,keyboard,0.99853515625
bear9-knife2,bear,bear,0.998046875
bicycle1-airplane2,bicycle,bicycle,0.99755859375
bicycle1-bear1,bicycle,bicycle,0.990234375
bicycle1-bicycle3,bicycle,bicycle,0.99951171875
bicycle1-bird1,bicycle,bicycle,0.9931640625
bicycle1-boat3,bicycle,bicycle,0.99755859375
bicycle1-bottle3,bicycle,bicycle,0.99853515625
bicycle1-chair1,chair,chair,0.495361328125
bicycle1-clock3,bicycle,bicycle,0.499755859375
bicycle1-dog3,bicycle,bicycle,0.99658203125
bicycle1-elephant2,bicycle,bicycle,0.998046875
bicycle1-knife3,bicycle,bicycle,0.99658203125
bicycle1-oven1,bicycle,bicycle,0.998046875
bicycle1-truck1,bicycle,bicycle,0.99755859375
bicycle10-airplane2,bicycle,bicycle,0.99755859375
bicycle10-boat3,bicycle,bicycle,0.99755859375
bicycle10-clock2,bicycle,bicycle,0.9951171875
bicycle10-dog3,bicycle,bicycle,0.9970703125
bicycle10-elephant2,bicycle,bicycle,0.99853515625
bicycle2-bicycle1,bicycle,bicycle,0.9990234375
bicycle2-bird3,bicycle,bicycle,0.99658203125
bicycle2-bottle1,bicycle,bicycle,0.9580078125
bicycle2-car2,bicycle,bicycle,0.986328125
bicycle2-dog1,dog,dog,0.40087890625
bicycle2-keyboard2,keyboard,keyboard,0.9970703125
bicycle2-knife2,cat,cat,0.1649169921875
bicycle3-bird1,bicycle,bicycle,0.9912109375
bicycle3-elephant2,bicycle,bicycle,0.9931640625
bicycle3-keyboard1,bicycle,bicycle,0.99658203125
bicycle3-oven3,oven,oven,0.642578125
bicycle3-truck3,truck,truck,0.6806640625
bicycle4-airplane1,bicycle,bicycle,0.994140625
bicycle4-bicycle3,bicycle,bicycle,0.998046875
bicycle4-boat1,bicycle,bicycle,0.99853515625
bicycle4-bottle1,bicycle,bicycle,0.9794921875
bicycle4-car2,bicycle,bicycle,0.62255859375
bicycle4-cat1,bicycle,bicycle,0.96484375
bicycle4-chair2,chair,chair,0.748046875
bicycle4-clock3,bicycle,bicycle,0.97802734375
bicycle4-keyboard3,bicycle,bicycle,0.5224609375
bicycle4-knife3,bicycle,bicycle,0.9755859375
bicycle4-oven3,bicycle,bicycle,0.98583984375
bicycle4-truck3,bicycle,bicycle,0.99462890625
bicycle5-bear1,bicycle,bicycle,0.98046875
bicycle5-bottle3,bicycle,bicycle,0.99462890625
bicycle5-car3,bicycle,bicycle,0.63525390625
bicycle5-cat1,bicycle,bicycle,0.984375
bicycle5-chair2,chair,chair,0.93212890625
bicycle5-dog2,bicycle,bicycle,0.99755859375
bicycle5-elephant1,bicycle,bicycle,0.99658203125
bicycle5-keyboard3,clock,clock,0.32666015625
bicycle5-oven3,oven,oven,0.77001953125
bicycle6-airplane2,bicycle,bicycle,0.99609375
bicycle6-bicycle3,bicycle,bicycle,0.99853515625
bicycle6-boat2,bicycle,bicycle,0.9970703125
bicycle6-car2,car,car,0.61865234375
bicycle6-cat1,bicycle,bicycle,0.76806640625
bicycle6-dog2,bicycle,bicycle,0.9912109375
bicycle7-bear2,bicycle,bicycle,0.994140625
bicycle7-bicycle2,bicycle,bicycle,0.99853515625
bicycle7-cat1,bicycle,bicycle,0.98779296875
bicycle7-clock3,bicycle,bicycle,0.61083984375
bicycle7-elephant2,bicycle,bicycle,0.9990234375
bicycle7-knife2,bicycle,bicycle,0.9990234375
bicycle7-oven1,bicycle,bicycle,0.998046875
bicycle7-truck3,bicycle,bicycle,0.99560546875
bicycle8-bear2,bicycle,bicycle,0.9951171875
bicycle8-bird2,bicycle,bicycle,0.99560546875
bicycle8-boat1,bicycle,bicycle,0.99853515625
bicycle8-chair2,bicycle,bicycle,0.73876953125
bicycle8-clock3,bicycle,bicycle,0.62158203125
bicycle8-truck1,bicycle,bicycle,0.99853515625
bicycle9-airplane2,bicycle,bicycle,0.998046875
bicycle9-bear1,bicycle,bicycle,0.9765625
bicycle9-bird3,bicycle,bicycle,0.99853515625
bicycle9-bottle1,bicycle,bicycle,0.97802734375
bicycle9-car1,bicycle,bicycle,0.99267578125
bicycle9-cat3,bicycle,bicycle,0.998046875
bicycle9-chair1,bicycle,bicycle,0.97607421875
bicycle9-keyboard3,clock,clock,0.313232421875
bicycle9-knife3,bicycle,bicycle,0.521484375
bird1-airplane2,bird,bird,0.99755859375
bird1-bear1,bird,bird,0.71533203125
bird1-bicycle2,bird,bird,0.99658203125
bird1-boat1,bird,bird,0.982421875
bird1-chair2,chair,chair,0.99658203125
bird1-clock3,clock,clock,0.95458984375
bird1-elephant2,bird,bird,0.9765625
bird1-keyboard3,clock,clock,0.417724609375
bird1-knife3,bear,bear,0.45068359375
bird1-oven1,bird,bird,0.9833984375
bird1-truck1,chair,chair,0.73974609375
bird10-bear2,bird,bird,0.9736328125
bird10-bicycle1,bird,bird,0.51416015625
bird10-bird2,bird,bird,0.9970703125
bird10-cat1,cat,cat,0.58154296875
bird10-chair1,chair,chair,0.98095703125
bird10-clock1,clock,clock,0.6025390625
bird10-elephant2,elephant,elephant,0.93359375
bird2-airplane3,airplane,airplane,0.33349609375
bird2-bird2,bird,bird,0.94580078125
bird2-car3,car,car,0.64892578125
bird2-clock3,clock,clock,0.99658203125
bird2-dog2,bear,bear,0.5400390625
bird2-knife1,knife,knife,0.29296875
bird3-bear3,bear,bear,0.88427734375
bird3-bird2,bird,bird,0.97607421875
bird3-boat3,truck,truck,0.384765625
bird3-bottle2,bottle,bottle,0.98681640625
bird3-cat1,bird,bird,0.92724609375
bird3-dog1,bird,bird,0.87109375
bird3-knife3,bird,bird,0.441162109375
bird3-oven1,dog,dog,0.2108154296875
bird3-truck3,bird,bird,0.83984375
bird4-airplane1,airplane,airplane,0.59423828125
bird4-bicycle2,bicycle,bicycle,0.2103271484375
bird4-cat3,bird,bird,0.8486328125
bird4-clock1,clock,clock,0.9873046875
bird4-dog3,dog,dog,0.75830078125
bird5-airplane3,bird,bird,0.9970703125
bird5-bear3,bird,bird,0.345947265625
bird5-bicycle1,bird,bird,0.99462890625
bird5-bird1,bird,bird,0.99853515625
bird5-car2,bird,bird,0.96435546875
bird5-cat2,bird,bird,0.9970703125
bird5-chair1,chair,chair,0.99072265625
bird5-dog2,bird,bird,0.9951171875
bird5-keyboard2,bird,bird,0.7626953125
bird5-oven3,oven,oven,0.65966796875
bird5-truck2,truck,truck,0.8876953125
bird6-airplane2,bird,bird,0.92431640625
bird6-boat2,truck,truck,0.2283935546875
bird6-bottle3,bottle,bottle,0.97314453125
bird6-car3,car,car,0.77099609375
bird6-elephant2,elephant,elephant,0.3125
bird6-oven1,bird,bird,0.9296875
bird6-truck2,car,car,0.60791015625
bird7-bird2,bird,bird,0.9990234375
bird7-boat1,boat,boat,0.97314453125
bird7-bottle1,bottle,bottle,0.96484375
bird7-car2,car,car,0.27490234375
bird7-cat3,bird,bird,0.98583984375
bird7-keyboard3,dog,dog,0.296142578125
bird7-knife2,bird,bird,0.990234375
bird7-oven3,oven,oven,0.226806640625
bird7-truck2,truck,truck,0.290283203125
bird8-boat3,bird,bird,0.9375
bird8-bottle1,bird,bird,0.62841796875
bird8-car2,bird,bird,0.479248046875
bird8-chair1,chair,chair,0.98046875
bird8-clock1,clock,clock,0.462158203125
bird8-elephant1,bird,bird,0.99853515625
bird8-keyboard2,keyboard,keyboard,0.9951171875
bird8-knife2,bird,bird,0.97216796875
bird9-bear3,bird,bird,0.95556640625
bird9-bicycle3,bird,bird,0.99267578125
bird9-bottle3,bird,bird,0.9931640625
bird9-chair1,chair,chair,0.8974609375
bird9-dog2,bird,bird,0.99267578125
bird9-elephant2,bird,bird,0.9951171875
bird9-keyboard1,bird,bird,0.998046875
boat1-bear1,bear,bear,0.65966796875
boat1-bicycle2,bicycle,bicycle,0.8388671875
boat1-bird3,bird,bird,0.5966796875
boat1-car2,car,car,0.9013671875
boat1-chair3,chair,chair,0.99658203125
boat1-elephant3,elephant,elephant,0.9990234375
boat1-keyboard3,keyboard,keyboard,0.316650390625
boat1-oven1,clock,clock,0.6005859375
boat1-truck3,chair,chair,0.98388671875
boat10-bear3,bear,bear,0.6005859375
boat10-boat3,boat,boat,0.77880859375
boat10-cat1,cat,cat,0.40087890625
boat10-oven1,truck,truck,0.451416015625
boat10-truck1,boat,boat,0.705078125
boat2-airplane1,airplane,airplane,0.54248046875
boat2-bear3,bear,bear,0.40869140625
boat2-bird1,boat,boat,0.97998046875
boat2-bottle2,bottle,bottle,0.9423828125
boat2-keyboard1,bird,bird,0.145263671875
boat2-oven3,oven,oven,0.2115478515625
boat3-airplane2,boat,boat,0.6201171875
boat3-bicycle2,car,car,0.279052734375
boat3-car3,car,car,0.671875
boat3-cat3,boat,boat,0.33203125
boat3-chair3,chair,chair,0.9970703125
boat3-clock3,clock,clock,0.9990234375
boat3-dog3,dog,dog,0.6689453125
boat3-keyboard2,keyboard,keyboard,0.98291015625
boat4-bicycle3,boat,boat,0.34716796875
boat4-bird1,bird,bird,0.277587890625
boat4-boat3,boat,boat,0.408447265625
boat4-bottle2,bottle,bottle,0.7705078125
boat4-car3,car,car,0.376953125
boat4-chair2,chair,chair,0.98583984375
boat4-dog2,cat,cat,0.410888671875
boat4-elephant2,elephant,elephant,0.5673828125
boat4-knife2,knife,knife,0.2425537109375
boat5-airplane1,airplane,airplane,0.9384765625
boat5-bicycle3,bicycle,bicycle,0.9560546875
boat5-boat3,boat,boat,0.83447265625
boat5-car3,car,car,0.67041015625
boat5-clock3,clock,clock,0.99951171875
boat5-knife2,bird,bird,0.122314453125
boat6-airplane2,boat,boat,0.62158203125
boat6-bear1,bear,bear,0.491455078125
boat6-bicycle2,bicycle,bicycle,0.96435546875
boat6-bottle2,bottle,bottle,0.96826171875
boat6-car1,boat,boat,0.6796875
boat6-cat1,bird,bird,0.8720703125
boat6-clock2,clock,clock,0.341552734375
boat6-dog1,dog,dog,0.4951171875
boat6-elephant2,elephant,elephant,0.81103515625
boat6-knife2,knife,knife,0.367431640625
boat6-truck3,chair,chair,0.387451171875
boat7-boat2,boat,boat,0.89697265625
boat7-bottle1,bottle,bottle,0.998046875
boat7-cat3,dog,dog,0.68798828125
boat7-chair1,chair,chair,0.98193359375
boat7-clock3,clock,clock,0.99951171875
boat7-elephant3,elephant,elephant,0.98388671875
boat7-keyboard3,chair,chair,0.481201171875
boat7-oven3,oven,oven,0.69287109375
boat7-truck2,truck,truck,0.236572265625
boat8-bird2,boat,boat,0.9853515625
boat8-bottle1,bottle,bottle,0.9931640625
boat8-dog3,dog,dog,0.5859375
boat8-elephant1,elephant,elephant,0.93603515625
boat8-knife1,truck,truck,0.291748046875
boat8-oven1,knife,knife,0.1497802734375
boat8-truck2,car,car,0.6025390625
boat9-airplane2,boat,boat,0.9990234375
boat9-bear3,bear,bear,0.6943359375
boat9-bird1,boat,boat,0.99658203125
boat9-boat3,boat,boat,0.998046875
boat9-cat3,boat,boat,0.99609375
boat9-chair2,chair,chair,0.99609375
boat9-clock1,boat,boat,0.9970703125
boat9-dog2,bear,bear,0.464111328125
boat9-keyboard2,keyboard,keyboard,0.62841796875
boat9-knife2,boat,boat,0.6318359375
bottle1-bear1,bear,bear,0.445068359375
bottle1-bird3,bottle,bottle,0.97412109375
bottle1-car1,car,car,0.5810546875
bottle1-cat3,cat,cat,0.68896484375
bottle1-chair2,chair,chair,0.99951171875
bottle1-clock1,bottle,bottle,0.9599609375
bottle1-dog2,bottle,bottle,0.865234375
bottle1-keyboard3,clock,clock,0.1700439453125
bottle10-bear2,bottle,bottle,0.96044921875
bottle10-boat3,bottle,bottle,0.984375
bottle10-car1,bottle,bottle,0.990234375
bottle10-clock2,bottle,bottle,0.80712890625
bottle10-dog1,bottle,bottle,0.97265625
bottle10-truck3,bottle,bottle,0.9921875
bottle2-bottle3,bottle,bottle,0.99853515625
bottle2-car2,bottle,bottle,0.56689453125
bottle2-chair3,chair,chair,0.87109375
bottle2-clock1,bottle,bottle,0.97412109375
bottle2-elephant1,elephant,elephant,0.98828125
bottle2-knife3,bottle,bottle,0.9990234375
bottle3-airplane2,bottle,bottle,0.9970703125
bottle3-bear2,bottle,bottle,0.98779296875
bottle3-bicycle3,bottle,bottle,0.99462890625
bottle3-bird1,bottle,bottle,0.99951171875
bottle3-boat3,bottle,bottle,0.98681640625
bottle3-bottle3,bottle,bottle,0.9990234375
bottle3-cat3,bottle,bottle,0.99609375
bottle3-chair3,chair,chair,0.89404296875
bottle3-knife3,bottle,bottle,0.9990234375
bottle4-airplane1,bottle,bottle,0.9775390625
bottle4-bicycle1,bottle,bottle,0.99072265625
bottle4-car3,bottle,bottle,0.734375
bottle4-dog2,bottle,bottle,0.96240234375
bottle4-oven2,bottle,bottle,0.99755859375
bottle4-truck1,bottle,bottle,0.99169921875
bottle5-airplane1,bottle,bottle,0.962890625
bottle5-bird3,bottle,bottle,0.998046875
bottle5-boat1,bottle,bottle,0.99365234375
bottle5-cat1,bottle,bottle,0.9296875
bottle5-chair1,chair,chair,0.9892578125
bottle5-clock3,clock,clock,0.91943359375
bottle5-elephant1,bottle,bottle,0.97607421875
bottle5-keyboard2,keyboard,keyboard,0.9873046875
bottle5-knife1,bottle,bottle,0.994140625
bottle5-oven2,bottle,bottle,0.266357421875
bottle5-truck1,bottle,bottle,0.998046875
bottle6-airplane1,bottle,bottle,0.99072265625
bottle6-bear2,bottle,bottle,0.97998046875
bottle6-bicycle3,bottle,bottle,0.998046875
bottle6-bird1,bottle,bottle,0.9970703125
bottle6-boat3,bottle,bottle,0.98291015625
bottle6-bottle3,bottle,bottle,0.9990234375
bottle6-chair2,chair,chair,0.99658203125
bottle6-dog3,dog,dog,0.97119140625
bottle6-knife3,bottle,bottle,0.95556640625
bottle6-oven3,oven,oven,0.366943359375
bottle7-airplane3,cat,cat,0.216796875
bottle7-bear1,bear,bear,0.77099609375
bottle7-boat3,chair,chair,0.164794921875
bottle7-cat2,cat,cat,0.5595703125
bottle7-clock1,clock,clock,0.93017578125
bottle7-elephant2,elephant,elephant,0.402099609375
bottle7-keyboard2,keyboard,keyboard,0.99853515625
bottle7-oven2,keyboard,keyboard,0.254638671875
bottle7-truck2,car,car,0.33544921875
bottle8-bicycle1,bottle,bottle,0.98583984375
bottle8-bird1,bottle,bottle,0.99609375
bottle8-bottle3,bottle,bottle,0.998046875
bottle8-dog2,bottle,bottle,0.9052734375
bottle8-elephant3,bottle,bottle,0.8798828125
bottle8-keyboard3,keyboard,keyboard,0.96728515625
bottle8-knife1,bottle,bottle,0.9921875
bottle9-bicycle1,bottle,bottle,0.99853515625
bottle9-bottle1,bottle,bottle,0.99853515625
bottle9-car3,bottle,bottle,0.9912109375
bottle9-cat2,bottle,bottle,0.83447265625
bottle9-elephant2,bottle,bottle,0.9912109375
bottle9-keyboard1,bottle,bottle,0.9853515625
bottle9-oven2,bottle,bottle,0.97119140625
bottle9-truck1,bottle,bottle,0.9990234375
car1-airplane1,car,car,0.78662109375
car1-car2,car,car,0.98779296875
car1-chair3,chair,chair,0.779296875
car1-clock2,car,car,0.80322265625
car1-dog2,truck,truck,0.368896484375
car1-keyboard2,keyboard,keyboard,0.99560546875
car1-oven3,oven,oven,0.92236328125
car10-bicycle2,car,car,0.9853515625
car10-bottle3,car,car,0.97021484375
car10-car1,car,car,0.9609375
car10-chair1,car,car,0.6357421875
car10-dog1,car,car,0.6962890625
car10-elephant2,car,car,0.92822265625
car10-keyboard2,keyboard,keyboard,0.98193359375
car2-bird3,car,car,0.982421875
car2-car3,car,car,0.9931640625
car2-cat3,car,car,0.97119140625
car2-chair1,truck,truck,0.52294921875
car2-knife3,knife,knife,0.306884765625
car3-airplane3,car,car,0.97802734375
car3-bird2,car,car,0.986328125
car3-boat1,car,car,0.984375
car3-bottle3,car,car,0.9697265625
car3-dog2,car,car,0.9267578125
car3-elephant3,car,car,0.8154296875
car3-oven3,car,car,0.68017578125
car3-truck1,car,car,0.9853515625
car4-bear3,cat,cat,0.386474609375
car4-bicycle3,car,car,0.822265625
car4-bird1,car,car,0.96435546875
car4-boat1,car,car,0.81494140625
car4-bottle1,car,car,0.3935546875
car4-car2,car,car,0.9677734375
car4-cat3,car,car,0.8173828125
car4-clock1,car,car,0.60693359375
car4-elephant3,elephant,elephant,0.375732421875
car4-oven2,clock,clock,0.26025390625
car5-airplane3,car,car,0.98046875
car5-bear3,car,car,0.468994140625
car5-bottle1,car,car,0.576171875
car5-cat1,car,car,0.72900390625
car5-keyboard3,car,car,0.70166015625
car5-knife2,car,car,0.923828125
car5-oven2,car,car,0.90625
car5-truck3,car,car,0.919921875
car6-bear1,cat,cat,0.483642578125
