image,response,pred_label,pred_conf
bicycle1-chair1,chair,chair,0.64990234375
bicycle4-keyboard3,clock,clock,0.379150390625
bicycle8-bear2,bicycle,bicycle,0.78515625
bicycle1-dog3,dog,dog,0.54345703125
bicycle7-oven1,bicycle,bicycle,0.31689453125
bicycle9-airplane2,car,car,0.496826171875
bicycle4-chair2,bicycle,bicycle,0.30712890625
bicycle10-airplane2,car,car,0.296875
bicycle4-bottle1,bottle,bottle,0.93896484375
bicycle9-bottle1,bottle,bottle,0.96044921875
bicycle4-oven3,oven,oven,0.96142578125
bicycle2-car2,car,car,0.70263671875
bicycle1-bicycle3,bicycle,bicycle,0.99072265625
bicycle10-elephant2,bicycle,bicycle,0.9892578125
bicycle9-keyboard3,keyboard,keyboard,0.3544921875
bicycle8-boat1,bicycle,bicycle,0.9169921875
bicycle8-clock3,clock,clock,0.98291015625
bicycle7-truck3,bicycle,bicycle,0.270751953125
bicycle9-bird3,bicycle,bicycle,0.98291015625
bicycle3-keyboard1,keyboard,keyboard,0.445556640625
bicycle1-boat3,bicycle,bicycle,0.908203125
bicycle3-elephant2,elephant,elephant,0.497314453125
bicycle9-cat3,clock,clock,0.265869140625
bicycle4-clock3,clock,clock,0.998046875
bicycle4-airplane1,clock,clock,0.73779296875
bicycle1-bear1,cat,cat,0.80908203125
bicycle5-car3,bicycle,bicycle,0.44140625
bicycle9-knife3,chair,chair,0.50732421875
bicycle9-chair1,chair,chair,0.89208984375
bicycle8-truck1,bicycle,bicycle,0.63330078125
bicycle2-dog1,cat,cat,0.364013671875
bicycle3-bird1,bicycle,bicycle,0.2259521484375
bicycle2-knife2,bicycle,bicycle,0.3115234375
bicycle9-bear1,cat,cat,0.5546875
bicycle3-truck3,car,car,0.485107421875
bicycle7-cat1,cat,cat,0.40576171875
bicycle1-bird1,bicycle,bicycle,0.97705078125
bicycle5-keyboard3,car,car,0.216796875
bicycle8-bird2,bicycle,bicycle,0.9931640625
bicycle10-dog3,dog,dog,0.9033203125
bicycle5-elephant1,elephant,elephant,0.87109375
bicycle7-clock3,clock,clock,0.99169921875
bicycle9-car1,car,car,0.89306640625
bicycle1-airplane2,bicycle,bicycle,0.399658203125
bicycle7-knife2,clock,clock,0.309326171875
bicycle7-elephant2,elephant,elephant,0.5478515625
bicycle5-oven3,oven,oven,0.92822265625
bicycle2-bird3,bicycle,bicycle,0.8447265625
bicycle10-boat3,car,car,0.3310546875
bicycle8-chair2,bicycle,bicycle,0.466796875
bicycle6-dog2,cat,cat,0.34375
bicycle10-clock2,clock,clock,0.9921875
bicycle4-truck3,car,car,0.490234375
bicycle6-boat2,car,car,0.391845703125
bicycle4-cat1,cat,cat,0.79345703125
bicycle7-bear2,bicycle,bicycle,0.89453125
bicycle4-car2,car,car,0.451904296875
bicycle5-bear1,chair,chair,0.382568359375
bicycle1-bottle3,bicycle,bicycle,0.99658203125
bicycle1-oven1,oven,oven,0.468017578125
bicycle1-clock3,clock,clock,0.939453125
bicycle4-boat1,bicycle,bicycle,0.509765625
bicycle5-dog2,chair,chair,0.334228515625
bicycle3-oven3,oven,oven,0.90380859375
bicycle2-keyboard2,keyboard,keyboard,0.70751953125
bicycle4-bicycle3,bicycle,bicycle,0.9189453125
bicycle5-chair2,chair,chair,0.41357421875
bicycle5-cat1,cat,cat,0.689453125
bicycle6-car2,car,car,0.42529296875
bicycle1-knife3,clock,clock,0.5
bicycle6-cat1,dog,dog,0.418701171875
bicycle6-bicycle3,bicycle,bicycle,0.4287109375
bicycle1-elephant2,chair,chair,0.312744140625
bicycle6-airplane2,airplane,airplane,0.54638671875
bicycle2-bicycle1,bicycle,bicycle,0.9892578125
bicycle5-bottle3,bicycle,bicycle,0.99267578125
bicycle1-truck1,bicycle,bicycle,0.7666015625
bicycle7-bicycle2,bicycle,bicycle,0.9970703125
bicycle2-bottle1,bottle,bottle,0.97607421875
bicycle4-knife3,knife,knife,0.59423828125
chair8-bicycle3,bicycle,bicycle,0.2216796875
chair1-airplane2,boat,boat,0.3408203125
chair4-bear2,dog,dog,0.230224609375
chair10-car2,bicycle,bicycle,0.295654296875
chair9-bicycle3,bottle,bottle,0.2646484375
chair5-bicycle1,car,car,0.3369140625
chair2-bear2,bear,bear,0.356201171875
chair7-bottle1,bottle,bottle,0.97265625
chair1-truck3,truck,truck,0.47119140625
chair5-knife3,bottle,bottle,0.436767578125
chair3-bicycle3,chair,chair,0.377685546875
chair1-chair1,chair,chair,0.8876953125
chair8-boat1,bicycle,bicycle,0.258056640625
chair9-bird3,bird,bird,0.431640625
chair10-clock1,clock,clock,0.93603515625
chair3-car3,car,car,0.806640625
chair7-knife2,oven,oven,0.1944580078125
chair1-cat3,cat,cat,0.7138671875
chair4-cat2,cat,cat,0.93701171875
chair8-car1,car,car,0.80908203125
chair5-clock2,clock,clock,0.9619140625
chair2-knife1,car,car,0.29150390625
