image,response,pred_label,pred_conf
bicycle1-chair1,car,car,0.53759765625
bicycle4-keyboard3,keyboard,keyboard,0.2137451171875
bicycle8-bear2,elephant,elephant,0.5947265625
bicycle1-dog3,dog,dog,0.8642578125
bicycle7-oven1,oven,oven,0.306884765625
bicycle9-airplane2,bicycle,bicycle,0.340576171875
bicycle4-chair2,chair,chair,0.4052734375
bicycle10-airplane2,car,car,0.51220703125
bicycle4-bottle1,bottle,bottle,0.98486328125
bicycle9-bottle1,bottle,bottle,0.9794921875
bicycle4-oven3,oven,oven,0.94384765625
bicycle2-car2,car,car,0.467041015625
bicycle1-bicycle3,bicycle,bicycle,0.9970703125
bicycle10-elephant2,elephant,elephant,0.56884765625
bicycle9-keyboard3,car,car,0.5859375
bicycle8-boat1,bicycle,bicycle,0.25244140625
bicycle8-clock3,clock,clock,0.994140625
bicycle7-truck3,oven,oven,0.1771240234375
bicycle9-bird3,bicycle,bicycle,0.67333984375
bicycle3-keyboard1,bicycle,bicycle,0.326171875
bicycle1-boat3,bicycle,bicycle,0.468505859375
bicycle3-elephant2,bicycle,bicycle,0.6376953125
bicycle9-cat3,bicycle,bicycle,0.3310546875
bicycle4-clock3,clock,clock,0.984375
bicycle4-airplane1,airplane,airplane,0.39697265625
bicycle1-bear1,bear,bear,0.39453125
bicycle5-car3,car,car,0.9638671875
bicycle9-knife3,knife,knife,0.6474609375
bicycle9-chair1,chair,chair,0.5576171875
bicycle8-truck1,truck,truck,0.36474609375
bicycle2-dog1,dog,dog,0.50341796875
bicycle3-bird1,elephant,elephant,0.32080078125
bicycle2-knife2,car,car,0.5068359375
bicycle9-bear1,bear,bear,0.5478515625
bicycle3-truck3,car,car,0.442626953125
bicycle7-cat1,dog,dog,0.419189453125
bicycle1-bird1,bicycle,bicycle,0.9873046875
bicycle5-keyboard3,clock,clock,0.58251953125
bicycle8-bird2,bicycle,bicycle,0.99609375
bicycle10-dog3,dog,dog,0.927734375
bicycle5-elephant1,elephant,elephant,0.693359375
bicycle7-clock3,clock,clock,0.9970703125
bicycle9-car1,car,car,0.85107421875
bicycle1-airplane2,car,car,0.25048828125
bicycle7-knife2,keyboard,keyboard,0.25146484375
bicycle7-elephant2,bicycle,bicycle,0.46435546875
bicycle5-oven3,oven,oven,0.90478515625
bicycle2-bird3,bird,bird,0.455078125
bicycle10-boat3,bicycle,bicycle,0.23388671875
bicycle8-chair2,chair,chair,0.72021484375
bicycle6-dog2,dog,dog,0.419189453125
bicycle10-clock2,clock,clock,0.9716796875
bicycle4-truck3,truck,truck,0.34033203125
bicycle6-boat2,keyboard,keyboard,0.1883544921875
bicycle4-cat1,dog,dog,0.53662109375
bicycle7-bear2,bird,bird,0.3046875
bicycle4-car2,bicycle,bicycle,0.411376953125
bicycle5-bear1,cat,cat,0.326171875
bicycle1-bottle3,bicycle,bicycle,0.6142578125
bicycle1-oven1,bicycle,bicycle,0.286865234375
bicycle1-clock3,clock,clock,0.96337890625
bicycle4-boat1,bicycle,bicycle,0.69970703125
bicycle5-dog2,dog,dog,0.58251953125
bicycle3-oven3,oven,oven,0.95068359375
bicycle2-keyboard2,car,car,0.222412109375
bicycle4-bicycle3,bicycle,bicycle,0.970703125
bicycle5-chair2,oven,oven,0.458251953125
bicycle5-cat1,dog,dog,0.74267578125
bicycle6-car2,car,car,0.59326171875
bicycle1-knife3,chair,chair,0.484130859375
bicycle6-cat1,dog,dog,0.82421875
bicycle6-bicycle3,bicycle,bicycle,0.8759765625
bicycle1-elephant2,bicycle,bicycle,0.4990234375
bicycle6-airplane2,car,car,0.402099609375
bicycle2-bicycle1,bicycle,bicycle,0.9951171875
bicycle5-bottle3,bicycle,bicycle,0.77294921875
bicycle1-truck1,bicycle,bicycle,0.5439453125
bicycle7-bicycle2,bicycle,bicycle,0.99658203125
bicycle2-bottle1,bottle,bottle,0.97314453125
bicycle4-knife3,chair,chair,0.178955078125
chair8-bicycle3,bicycle,bicycle,0.2081298828125
chair1-airplane2,keyboard,keyboard,0.1820068359375
chair4-bear2,elephant,elephant,0.4658203125
chair10-car2,keyboard,keyboard,0.234375
chair9-bicycle3,bicycle,bicycle,0.56396484375
chair5-bicycle1,bicycle,bicycle,0.406982421875
chair2-bear2,elephant,elephant,0.5205078125
chair7-bottle1,bottle,bottle,0.9833984375
chair1-truck3,chair,chair,0.1917724609375
chair5-knife3,car,car,0.2021484375
chair3-bicycle3,bicycle,bicycle,0.619140625
chair1-chair1,chair,chair,0.66162109375
chair8-boat1,keyboard,keyboard,0.3701171875
chair9-bird3,bird,bird,0.445556640625
chair10-clock1,clock,clock,0.95166015625
chair3-car3,car,car,0.9375
chair7-knife2,knife,knife,0.84326171875
chair1-cat3,dog,dog,0.54248046875
chair4-cat2,cat,cat,0.431640625
chair8-car1,car,car,0.8623046875
chair5-clock2,bottle,bottle,0.28955078125
chair2-knife1,keyboard,keyboard,0.2169189453125
chair4-truck2,car,car,0.5224609375
chair5-bird1,bird,bird,0.79736328125
chair7-truck3,car,car,0.358642578125
chair1-clock2,clock,clock,0.5439453125
chair7-cat1,dog,dog,0.59912109375
