image,response,pred_label,pred_conf
bicycle1-chair1,chair,chair,0.7109375
bicycle4-keyboard3,keyboard,keyboard,0.2247314453125
bicycle8-bear2,elephant,elephant,0.6220703125
bicycle1-dog3,dog,dog,0.884765625
bicycle7-oven1,oven,oven,0.2047119140625
bicycle9-airplane2,bicycle,bicycle,0.55517578125
bicycle4-chair2,chair,chair,0.477294921875
bicycle10-airplane2,bicycle,bicycle,0.30078125
bicycle4-bottle1,bottle,bottle,0.99462890625
bicycle9-bottle1,bottle,bottle,0.99609375
bicycle4-oven3,oven,oven,0.96875
bicycle2-car2,car,car,0.69384765625
bicycle1-bicycle3,bicycle,bicycle,0.99951171875
bicycle10-elephant2,elephant,elephant,0.498779296875
bicycle9-keyboard3,keyboard,keyboard,0.41455078125
bicycle8-boat1,bicycle,bicycle,0.302490234375
bicycle8-clock3,clock,clock,0.99560546875
bicycle7-truck3,chair,chair,0.230224609375
bicycle9-bird3,bicycle,bicycle,0.72314453125
bicycle3-keyboard1,bicycle,bicycle,0.69775390625
bicycle1-boat3,bicycle,bicycle,0.638671875
bicycle3-elephant2,bicycle,bicycle,0.56494140625
bicycle9-cat3,bicycle,bicycle,0.2413330078125
bicycle4-clock3,clock,clock,0.990234375
bicycle4-airplane1,airplane,airplane,0.74169921875
bicycle1-bear1,cat,cat,0.41259765625
bicycle5-car3,car,car,0.9443359375
bicycle9-knife3,knife,knife,0.65771484375
bicycle9-chair1,chair,chair,0.8984375
bicycle8-truck1,bicycle,bicycle,0.3837890625
bicycle2-dog1,dog,dog,0.422119140625
bicycle3-bird1,elephant,elephant,0.395263671875
bicycle2-knife2,car,car,0.5185546875
bicycle9-bear1,bear,bear,0.54833984375
bicycle3-truck3,truck,truck,0.650390625
bicycle7-cat1,dog,dog,0.409423828125
bicycle1-bird1,bicycle,bicycle,0.986328125
bicycle5-keyboard3,clock,clock,0.48583984375
bicycle8-bird2,bicycle,bicycle,0.99951171875
bicycle10-dog3,dog,dog,0.890625
bicycle5-elephant1,elephant,elephant,0.88427734375
bicycle7-clock3,clock,clock,0.99755859375
bicycle9-car1,car,car,0.892578125
bicycle1-airplane2,airplane,airplane,0.369384765625
bicycle7-knife2,keyboard,keyboard,0.240478515625
bicycle7-elephant2,elephant,elephant,0.5205078125
bicycle5-oven3,oven,oven,0.94970703125
bicycle2-bird3,bird,bird,0.342041015625
bicycle10-boat3,boat,boat,0.33349609375
bicycle8-chair2,chair,chair,0.814453125
bicycle6-dog2,dog,dog,0.3896484375
bicycle10-clock2,clock,clock,0.9833984375
bicycle4-truck3,truck,truck,0.5341796875
bicycle6-boat2,chair,chair,0.19580078125
bicycle4-cat1,dog,dog,0.468017578125
bicycle7-bear2,bird,bird,0.380615234375
bicycle4-car2,bicycle,bicycle,0.59375
bicycle5-bear1,cat,cat,0.65771484375
bicycle1-bottle3,bicycle,bicycle,0.7431640625
bicycle1-oven1,bicycle,bicycle,0.5126953125
bicycle1-clock3,clock,clock,0.9580078125
bicycle4-boat1,bicycle,bicycle,0.701171875
bicycle5-dog2,dog,dog,0.64697265625
bicycle3-oven3,oven,oven,0.966796875
bicycle2-keyboard2,car,car,0.278564453125
bicycle4-bicycle3,bicycle,bicycle,0.99072265625
bicycle5-chair2,chair,chair,0.65869140625
bicycle5-cat1,dog,dog,0.689453125
bicycle6-car2,car,car,0.8515625
bicycle1-knife3,chair,chair,0.79541015625
bicycle6-cat1,dog,dog,0.72119140625
bicycle6-bicycle3,bicycle,bicycle,0.92529296875
bicycle1-elephant2,elephant,elephant,0.348388671875
bicycle6-airplane2,car,car,0.265625
bicycle2-bicycle1,bicycle,bicycle,0.9990234375
bicycle5-bottle3,bicycle,bicycle,0.8994140625
bicycle1-truck1,bicycle,bicycle,0.75146484375
bicycle7-bicycle2,bicycle,bicycle,0.99951171875
bicycle2-bottle1,bottle,bottle,0.990234375
bicycle4-knife3,chair,chair,0.2425537109375
chair8-bicycle3,bicycle,bicycle,0.2342529296875
chair1-airplane2,chair,chair,0.209716796875
chair4-bear2,elephant,elephant,0.40966796875
chair10-car2,bicycle,bicycle,0.271728515625
chair9-bicycle3,bicycle,bicycle,0.546875
chair5-bicycle1,bicycle,bicycle,0.5986328125
chair2-bear2,bear,bear,0.404296875
chair7-bottle1,bottle,bottle,0.99609375
chair1-truck3,chair,chair,0.32373046875
chair5-knife3,chair,chair,0.316162109375
chair3-bicycle3,bicycle,bicycle,0.6640625
chair1-chair1,chair,chair,0.8984375
chair8-boat1,keyboard,keyboard,0.37548828125
chair9-bird3,bird,bird,0.408203125
chair10-clock1,clock,clock,0.97705078125
chair3-car3,car,car,0.91845703125
chair7-knife2,knife,knife,0.9462890625
chair1-cat3,cat,cat,0.57666015625
chair4-cat2,cat,cat,0.4951171875
chair8-car1,car,car,0.83203125
chair5-clock2,bottle,bottle,0.26513671875
chair2-knife1,keyboard,keyboard,0.2294921875
chair4-truck2,car,car,0.576171875
chair5-bird1,bird,bird,0.8173828125
chair7-truck3,truck,truck,0.2410888671875
chair1-clock2,clock,clock,0.440185546875
chair7-cat1,dog,dog,0.53125
chair3-bottle3,bottle,bottle,0.99169921875
chair4-chair3,chair,chair,0.97509765625
chair7-chair1,chair,chair,0.93310546875
chair9-keyboard2,keyboard,keyboard,0.45068359375
chair8-elephant1,elephant,elephant,0.99951171875
chair2-boat1,boat,boat,0.259765625
chair3-airplane2,airplane,airplane,0.27001953125
chair2-keyboard2,keyboard,keyboard,0.386962890625
chair1-elephant1,elephant,elephant,1.0
chair1-bear1,bear,bear,0.82373046875
chair8-airplane1,keyboard,keyboard,0.52099609375
chair10-airplane2,chair,chair,0.409423828125
chair5-bottle3,bottle,bottle,0.9326171875
chair3-dog2,dog,dog,0.544921875
chair7-bird1,chair,chair,0.356689453125
chair1-dog1,dog,dog,0.370849609375
chair7-boat3,boat,boat,0.796875
chair6-bird2,bottle,bottle,0.3828125
chair3-knife1,car,car,0.339111328125
chair5-boat3,keyboard,keyboard,0.299560546875
chair9-chair3,chair,chair,0.876953125
chair10-bottle3,bottle,bottle,0.9736328125
chair8-clock3,clock,clock,0.673828125
chair1-oven3,oven,oven,0.998046875
chair10-bicycle1,bicycle,bicycle,0.8203125
chair5-truck3,car,car,0.583984375
chair7-clock3,clock,clock,0.9521484375
chair9-boat2,chair,chair,0.4326171875
chair9-dog2,cat,cat,0.289794921875
chair6-truck2,car,car,0.86279296875
chair6-dog1,elephant,elephant,0.365966796875
chair9-bear1,bear,bear,0.43115234375
chair9-bottle3,bottle,bottle,0.8759765625
chair6-elephant2,elephant,elephant,0.9833984375
chair7-airplane1,airplane,airplane,0.578125
chair10-bird3,dog,dog,0.293212890625
chair9-elephant1,elephant,elephant,0.96630859375
chair4-keyboard2,keyboard,keyboard,0.8525390625
chair8-oven1,oven,oven,0.78125
chair7-car2,bicycle,bicycle,0.391357421875
chair5-oven2,oven,oven,0.8427734375
chair8-chair3,chair,chair,0.810546875
chair7-elephant1,elephant,elephant,0.97119140625
chair5-cat3,cat,cat,0.37060546875
chair5-car1,car,car,0.9091796875
chair10-oven1,oven,oven,0.99755859375
chair5-keyboard2,keyboard,keyboard,0.356689453125
chair4-oven2,oven,oven,0.467041015625
chair8-keyboard3,knife,knife,0.14404296875
chair8-bear1,elephant,elephant,0.5771484375
chair10-dog1,bear,bear,0.483642578125
chair10-cat1,dog,dog,0.68017578125
chair8-knife2,chair,chair,0.179931640625
truck3-bicycle1,bicycle,bicycle,0.904296875
truck7-elephant2,elephant,elephant,0.8935546875
truck7-boat1,boat,boat,0.94189453125
truck4-boat3,truck,truck,0.6591796875
truck10-truck3,truck,truck,0.8857421875
truck9-chair3,chair,chair,0.8955078125
truck7-bird2,car,car,0.71728515625
truck2-car3,car,car,0.62890625
truck8-dog3,dog,dog,0.98779296875
truck2-bird2,car,car,0.564453125
truck6-boat2,truck,truck,0.43505859375
truck6-dog2,cat,cat,0.321533203125
truck3-knife2,car,car,0.4677734375
truck10-car3,car,car,0.96484375
truck9-bottle2,bottle,bottle,0.998046875
truck3-oven2,truck,truck,0.93115234375
truck4-airplane3,car,car,0.499755859375
truck4-bottle2,bottle,bottle,0.99365234375
truck6-knife2,truck,truck,0.7109375
truck2-oven3,oven,oven,0.97998046875
truck1-bear1,bear,bear,0.86279296875
truck6-clock2,bottle,bottle,0.7548828125
truck1-chair2,chair,chair,0.79248046875
truck1-dog1,dog,dog,0.52490234375
truck5-cat3,cat,cat,0.70068359375
truck6-bear2,bear,bear,0.80810546875
truck4-oven2,oven,oven,0.62744140625
truck8-elephant1,elephant,elephant,0.9736328125
truck8-cat2,cat,cat,0.45263671875
truck2-airplane3,airplane,airplane,0.6298828125
