,Model,accuracy,shape_bias,prompt
0,llava_1_6_vicuna_7b,0.7825,0.5090521831735889,"Based on the surface characteristics and patterns, which category does the image most resemble? Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
1,llava_1_6_vicuna_7b,0.7725,0.49730312837108953,"Predominantly considering the textures and patterns, which category does the image resemble the most? Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
2,llava_1_6_vicuna_7b,0.7758333333333334,0.5392051557465091,"Given the primary focus on the object's surface properties, which category does the image belong to based on its texture? Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
3,llava_1_6_vicuna_7b,0.81,0.5411522633744856,"Please determine the category based primarily on the dominant textures covering the depicted object, disregarding the overall shape. Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
4,llava_1_6_vicuna_7b,0.805,0.5641821946169773,"Assessing mainly the visual patterns and micro-features, please categorize the image according to the prevailing textures, regardless of the object's shape. Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
5,llava_1_6_vicuna_7b,0.8083333333333333,0.5577319587628865,"Kindly concentrate on the minute details and textural aspects of the image; then, infer the appropriate category based on these features instead of the overall shape. Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
6,llava_1_6_vicuna_7b,0.7891666666666667,0.5406546990496305,"Focusing solely on the intricate textures and subtle color variations, kindly identify the category that best matches the described appearance, irrespective of the object's shape. Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
7,llava_1_6_vicuna_7b,0.8141666666666667,0.5557830092118731,"Analyzing the finest textures and color nuances, please classify the image based on the predominant pattern, paying no attention to the underlying shape or structure. Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
8,llava_1_6_vicuna_7b,0.8083333333333333,0.5515463917525774,"With meticulous attention to the surface patterns and color distribution, please categorize the image according to the most prominent textural features, giving no regard to the object's shape or form. Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
9,llava_1_6_vicuna_7b,0.805,0.546583850931677,"By closely examining the subtle color shifts, gradients, and textures, please determine the category that best aligns with the image, prioritizing the detailed features over the object's shape or form. Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
10,llava_1_6_vicuna_7b,0.805,0.5424430641821947,"Delving into the intricate textures, color distributions, and fine details, kindly categorize the image based on the most prevalent patterns, entirely disregarding the object's shape or structure. Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
11,llava_1_6_vicuna_7b,0.8091666666666667,0.5468589083419156,"Dive deep into the complex textures, shading, and hues, and then classify the image based on the most evident patterns, completely ignoring the object's shape or build. Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
12,llava_1_6_vicuna_7b,0.81,0.5617283950617283,"Immerse yourself in the subtle tonal variations, textures, and color blends, and subsequently categorize the image based on the most conspicuous patterns, setting aside any considerations about the object's shape or construction. Options:
A. airplane
B. bear
C. bicycle
D. bird
E. boat
F. bottle
G. car
H. cat
I. chair
J. clock
K. dog
L. elephant
M. keyboard
N. knife
O. oven
P. truck
Answer with the option's letter from the given choices directly."
