image,timestamp,top_tokens,top_probs
bottle9-car3,2024-02-08 11:09:53,"['F', 'B', 'D', 'A', 'C', 'G', 'E', 'P', 'H', 'M', 'N', 'J', 'I', 'L', 'K', 'O']","[0.9712427258491516, 0.010135827586054802, 0.00894483644515276, 0.004640520084649324, 0.0031893793493509293, 0.0006280260276980698, 0.0005542310536839068, 0.00014233830734156072, 0.00013371447857934982, 6.316224607871845e-05, 4.078060737811029e-05, 3.952591941924766e-05, 3.380831185495481e-05, 3.380831185495481e-05, 3.276813731645234e-05, 2.2521193386637606e-05]"
knife9-bird1,2024-02-08 11:09:53,"['N', 'A', 'C', 'M', 'P', 'D', 'B', 'O', 'G', 'K', 'H', 'E', 'F', 'L', 'I', 'J']","[0.903265655040741, 0.028585270047187805, 0.023330621421337128, 0.022968914359807968, 0.006478678900748491, 0.00562877394258976, 0.0026588444598019123, 0.0011083713034167886, 0.0009781343396753073, 0.0009781343396753073, 0.0006828477489762008, 0.0006121007609181106, 0.0004918367485515773, 0.00044782247277908027, 0.0003327934246044606, 0.00032763395574875176]"
bottle2-bottle3,2024-02-08 11:09:54,"['F', 'B', 'D', 'A', 'C', 'E', 'G', 'H', 'P', 'M', 'N', 'L', 'J', 'I', 'K', 'R']","[0.9889448285102844, 0.003737861290574074, 0.0031971619464457035, 0.0023390937130898237, 0.0011946922168135643, 0.00021087570348754525, 6.846131145721301e-05, 6.041689630364999e-05, 5.948022226220928e-05, 2.9908533178968355e-05, 1.8140442989533767e-05, 1.527578388049733e-05, 1.5038954188639764e-05, 1.3480832421919331e-05, 1.3271831448946614e-05, 8.980170605354942e-06]"
boat3-clock3,2024-02-08 11:09:54,"['J', 'D', 'A', 'B', 'C', 'M', 'G', 'H', 'K', 'I', 'L', 'E', 'N', 'F', 'Q', 'P']","[0.9743278622627258, 0.012654310092329979, 0.00597747229039669, 0.0035693119280040264, 0.0011587858898565173, 0.0005826741689816117, 0.0005647471989504993, 0.00025060505140572786, 0.00015929424262139946, 0.00014503905549645424, 0.00010611284960759804, 8.526406600140035e-05, 8.00981797510758e-05, 7.524527609348297e-05, 4.0910144889494404e-05, 3.9036731322994456e-05]"
bottle9-truck1,2024-02-08 11:09:54,"['F', 'D', 'B', 'A', 'C', 'E', 'G', 'H', 'P', 'M', 'N', 'J', 'L', 'I', 'K', 'T']","[0.9890984296798706, 0.003680482506752014, 0.0035672460217028856, 0.0020325554069131613, 0.0010220330441370606, 0.00019813016115222126, 8.131244976539165e-05, 6.042627865099348e-05, 5.588517524302006e-05, 3.5522778489394113e-05, 1.9313400116516277e-05, 1.7861973901744932e-05, 1.6263513316516764e-05, 1.3068100088275969e-05, 1.246966712642461e-05, 1.2276343113626353e-05]"
clock3-bicycle2,2024-02-08 11:09:54,"['J', 'D', 'A', 'B', 'C', 'G', 'H', 'M', 'I', 'K', 'L', 'F', 'N', 'E', 'P', 'Q']","[0.965334951877594, 0.017680726945400238, 0.007845775224268436, 0.004540786147117615, 0.0016190671594813466, 0.0007073180167935789, 0.0006050011143088341, 0.000442628312157467, 0.0002602077438496053, 0.000229632540140301, 0.00013499401393346488, 0.00011367635306669399, 0.00010678904800442979, 8.992540097096935e-05, 4.738735515275039e-05, 4.451629865798168e-05]"
chair4-cat2,2024-02-08 11:09:55,"['I', 'M', 'A', 'C', 'D', 'B', 'J', 'H', 'G', 'L', 'N', 'E', 'K', 'F', 'P', 'O']","[0.7591289281845093, 0.10435480624437332, 0.07754990458488464, 0.01960768736898899, 0.013688371516764164, 0.008046979084610939, 0.004657233599573374, 0.002454189583659172, 0.0023786823730915785, 0.0019414237467572093, 0.0017133005894720554, 0.0013766756746917963, 0.0006815039087086916, 0.0006402136641554534, 0.0005307557876221836, 0.0003219196223653853]"
elephant8-truck3,2024-02-08 11:09:55,"['F', 'D', 'B', 'M', 'A', 'C', 'E', 'P', 'G', 'J', 'I', 'H', 'N', 'K', 'L', 'O']","[0.6218398213386536, 0.09686396270990372, 0.09099526703357697, 0.07086718827486038, 0.05784011259675026, 0.039136581122875214, 0.005214444827288389, 0.004975657444447279, 0.004322926513850689, 0.001746620167978108, 0.0015174897853285074, 0.0013602691469714046, 0.0009645752143114805, 0.0007512119482271373, 0.0004347681242506951, 0.0003493460244499147]"
dog3-dog1,2024-02-08 11:09:55,"['K', 'C', 'A', 'B', 'G', 'J', 'D', 'M', 'H', 'P', 'L', 'N', 'Q', 'F', 'E', 'O']","[0.9773987531661987, 0.015553251840174198, 0.002205920172855258, 0.001886823563836515, 0.0008115126984193921, 0.0005158288404345512, 0.0004276371328160167, 0.00026345960213802755, 0.00017278101586271077, 0.00016746509936638176, 0.00014101974375080317, 7.667110912734643e-05, 5.2695231715915725e-05, 4.300859654904343e-05, 3.2464588002767414e-05, 3.2464588002767414e-05]"
truck2-elephant1,2024-02-08 11:09:55,"['P', 'C', 'A', 'B', 'D', 'G', 'F', 'M', 'E', 'N', 'K', 'O', 'R', 'H', 'L', 'J']","[0.9834524989128113, 0.010755790397524834, 0.0018400989938527346, 0.0017018134240061045, 0.0009109150851145387, 0.0006068001966923475, 0.000245169474510476, 9.161313209915534e-05, 7.247195026138797e-05, 5.302160934661515e-05, 4.903697481495328e-05, 3.021080556209199e-05, 2.9281316528795287e-05, 2.838042564690113e-05, 2.5840670787147246e-05, 1.5430170606123284e-05]"
bicycle4-knife3,2024-02-08 11:09:56,"['C', 'A', 'B', 'D', 'E', 'F', 'G', 'P', 'M', 'H', 'J', 'K', 'N', 'I', 'L', 'R']","[0.9961944818496704, 0.0022837468422949314, 0.000741424155421555, 0.0006441603763960302, 1.7711212422000244e-05, 1.4683108020108193e-05, 1.316185444011353e-05, 9.629417945689056e-06, 8.767685358179733e-06, 8.366182555619162e-06, 8.23647769720992e-06, 7.499398179788841e-06, 7.1559757088834886e-06, 6.315126483968925e-06, 6.120830676081823e-06, 3.276244342487189e-06]"
knife6-dog2,2024-02-08 11:09:56,"['B', 'H', 'D', 'A', 'C', 'G', 'F', 'K', 'J', 'M', 'E', 'L', 'I', 'P', 'N', 'O']","[0.6035988926887512, 0.23270811140537262, 0.046544548124074936, 0.045112524181604385, 0.039194442331790924, 0.013758542947471142, 0.009756267070770264, 0.0024667708203196526, 0.001862016273662448, 0.001279743853956461, 0.0011835696641355753, 0.0009966655634343624, 0.0003039657894987613, 0.00029925323906354606, 0.00025199647643603384, 0.00011537239333847538]"
boat4-dog2,2024-02-08 11:09:56,"['B', 'A', 'C', 'D', 'F', 'M', 'G', 'H', 'P', 'E', 'K', 'J', 'N', 'L', 'O', 'I']","[0.5765236020088196, 0.1286398023366928, 0.10832557827234268, 0.09265577793121338, 0.034622933715581894, 0.02035377360880375, 0.009465383365750313, 0.007970651611685753, 0.006207550410181284, 0.006016564089804888, 0.00246919272467494, 0.002283629961311817, 0.0011129523627460003, 0.0010956976329907775, 0.0008533301297575235, 0.0006146306986920536]"
car6-bicycle3,2024-02-08 11:09:56,"['G', 'C', 'B', 'A', 'D', 'F', 'H', 'K', 'L', 'M', 'N', 'E', 'J', 'P', 'W', 'O']","[0.9860116839408875, 0.0045661404728889465, 0.0029024151153862476, 0.0027695042081177235, 0.0016537463525310159, 0.0004888464463874698, 0.0003632798616308719, 0.00021356120123527944, 0.00020378152839839458, 0.000163743068696931, 0.0001378854940412566, 0.00013574777403846383, 0.00010907639807555825, 6.118630699347705e-05, 3.48629109794274e-05, 3.326642035972327e-05]"
chair8-oven1,2024-02-08 11:09:57,"['I', 'A', 'C', 'D', 'E', 'B', 'J', 'N', 'M', 'H', 'G', 'L', 'F', 'K', 'O', 'P']","[0.9558529853820801, 0.021117541939020157, 0.008666622452437878, 0.0035567746963351965, 0.002902955049648881, 0.0015060331206768751, 0.001136813429184258, 0.0009876806288957596, 0.0009876806288957596, 0.0008853512117639184, 0.0006788223399780691, 0.00038678129203617573, 0.00029655551770702004, 0.00019147063721902668, 0.00019147063721902668, 0.00017433597531635314]"
elephant4-boat3,2024-02-08 11:09:57,"['L', 'A', 'D', 'C', 'B', 'M', 'G', 'I', 'J', 'H', 'E', 'P', 'K', 'R', 'N', 'F']","[0.9933052659034729, 0.00171886314637959, 0.0016401506727561355, 0.0008247194928117096, 0.0007278124103322625, 0.0006422921433113515, 0.0002895037760026753, 0.00014331474085338414, 0.00010485131497262046, 9.546821092953905e-05, 9.398811380378902e-05, 9.109640814131126e-05, 8.829366561258212e-05, 4.952825474902056e-05, 4.3708532757591456e-05, 4.1060364310396835e-05]"
truck2-boat3,2024-02-08 11:09:57,"['P', 'C', 'A', 'B', 'D', 'F', 'G', 'E', 'M', 'N', 'O', 'R', 'K', 'H', 'L', 'T']","[0.9933691620826721, 0.0030168925877660513, 0.001297549344599247, 0.0011631156085059047, 0.0005940613336861134, 0.00018117846047971398, 0.00010005625517806038, 5.031144610256888e-05, 4.4399694161256775e-05, 2.413969559711404e-05, 2.064777618215885e-05, 1.9702245481312275e-05, 1.9702245481312275e-05, 1.6333735402440652e-05, 1.3970984582556412e-05, 9.453240636503324e-06]"
truck6-oven3,2024-02-08 11:09:57,"['O', 'P', 'A', 'M', 'B', 'C', 'N', 'D', 'E', 'K', 'J', 'G', 'I', 'L', 'H', 'F']","[0.9029698371887207, 0.057724930346012115, 0.019035663455724716, 0.005715542007237673, 0.0029192131478339434, 0.002829398727044463, 0.0018267970299348235, 0.001587148755788803, 0.0011080083204433322, 0.0007266496540978551, 0.0006513645057566464, 0.0005316282040439546, 0.0004140324890613556, 0.0003889475192409009, 0.00034865032648667693, 0.0003432449884712696]"
bear8-airplane1,2024-02-08 11:09:58,"['B', 'M', 'A', 'C', 'D', 'L', 'P', 'G', 'F', 'K', 'H', 'E', 'J', 'N', 'R', 'I']","[0.6123170852661133, 0.2847538888454437, 0.04038669168949127, 0.030485471710562706, 0.022654881700873375, 0.002835590858012438, 0.0015416840324178338, 0.001219572382979095, 0.0010762688471004367, 0.0006426694453693926, 0.0005245315260253847, 0.00037780587445013225, 0.00034399618743918836, 0.00025966193061321974, 7.919241761555895e-05, 7.210551120806485e-05]"
oven5-keyboard2,2024-02-08 11:09:58,"['M', 'A', 'B', 'P', 'D', 'C', 'G', 'N', 'J', 'K', 'L', 'F', 'E', 'H', 'Q', 'I']","[0.9834911227226257, 0.005324712023139, 0.0032296008430421352, 0.0022546248510479927, 0.002151378197595477, 0.0015255555044859648, 0.0005700584733858705, 0.00021301527158357203, 0.000206461496418342, 0.000158299517352134, 0.0001271972432732582, 0.00012137244630139321, 0.00010062129149446264, 9.601350757293403e-05, 5.9152207541046664e-05, 5.823513856739737e-05]"
bear5-bottle1,2024-02-08 11:09:58,"['F', 'B', 'D', 'A', 'C', 'E', 'G', 'H', 'P', 'M', 'L', 'J', 'N', 'K', 'I', 'R']","[0.9275109767913818, 0.052326593548059464, 0.009831875562667847, 0.005779861006885767, 0.003616944421082735, 0.00031114526791498065, 0.00014024415577296168, 0.00011446394637459889, 0.00010101408406626433, 3.7746201996924356e-05, 2.6351099222665653e-05, 2.4754566766205244e-05, 2.3254762709257193e-05, 2.2894229914527386e-05, 1.783004518074449e-05, 1.5014402379165404e-05]"
truck10-bicycle1,2024-02-08 11:09:58,"['C', 'P', 'G', 'B', 'A', 'D', 'F', 'K', 'E', 'H', 'M', 'N', 'J', 'L', 'O', 'R']","[0.525933563709259, 0.20920191705226898, 0.19652701914310455, 0.02577873319387436, 0.021039990708231926, 0.012761399149894714, 0.004410221707075834, 0.0012056874111294746, 0.0008286560187116265, 0.0005185597110539675, 0.00042323608067817986, 0.0003914294356945902, 0.00026485437410883605, 0.00019377160060685128, 0.00013527438568416983, 5.818078716401942e-05]"
