image,timestamp,response,pred_label,pred_conf
dog8-dog3,2024-02-05 20:21:25,K,dog,1
oven1-boat3,2024-02-05 20:21:25,E,boat,1
elephant3-chair1,2024-02-05 20:21:26,I,chair,1
truck8-bottle2,2024-02-05 20:21:26,F,bottle,1
bicycle4-keyboard3,2024-02-05 20:21:27,C,bicycle,1
boat2-keyboard1,2024-02-05 20:21:27,N,knife,1
dog10-bicycle1,2024-02-05 20:21:27,K,dog,1
keyboard5-dog3,2024-02-05 20:21:28,K,dog,1
knife6-boat3,2024-02-05 20:21:28,E,boat,1
dog4-elephant2,2024-02-05 20:21:29,L,elephant,1
cat1-cat3,2024-02-05 20:21:29,H,cat,1
chair2-boat1,2024-02-05 20:21:29,I,chair,1
truck1-knife1,2024-02-05 20:21:30,P,truck,1
car3-oven3,2024-02-05 20:21:30,G,car,1
bird3-bird2,2024-02-05 20:21:31,D,bird,1
cat9-chair2,2024-02-05 20:21:31,I,chair,1
cat4-oven1,2024-02-05 20:21:31,H,cat,1
oven6-elephant2,2024-02-05 20:21:32,L,elephant,1
dog6-bird1,2024-02-05 20:21:32,K,dog,1
bottle3-bottle3,2024-02-05 20:21:33,F,bottle,1
elephant4-car3,2024-02-05 20:21:33,L,elephant,1
boat2-bird1,2024-02-05 20:21:33,E,boat,1
bird8-knife2,2024-02-05 20:21:34,D,bird,1
bottle4-oven2,2024-02-05 20:21:34,F,bottle,1
boat6-truck3,2024-02-05 20:21:35,I,chair,1
oven6-knife3,2024-02-05 20:21:35,N,knife,1
truck2-elephant1,2024-02-05 20:21:35,P,truck,1
bear5-airplane3,2024-02-05 20:21:36,B,bear,1
oven7-bottle1,2024-02-05 20:21:36,F,bottle,1
boat4-car3,2024-02-05 20:21:37,G,car,1
oven4-bicycle2,2024-02-05 20:21:37,G,car,1
bottle6-oven3,2024-02-05 20:21:37,M,keyboard,1
car6-bear1,2024-02-05 20:21:38,H,cat,1
truck3-dog3,2024-02-05 20:21:38,K,dog,1
knife7-boat3,2024-02-05 20:21:39,E,boat,1
car8-bear1,2024-02-05 20:21:39,B,bear,1
clock7-car1,2024-02-05 20:21:39,J,clock,1
dog4-bottle2,2024-02-05 20:21:40,F,bottle,1
bicycle2-car2,2024-02-05 20:21:40,C,bicycle,1
dog6-elephant2,2024-02-05 20:21:41,K,dog,1
keyboard9-elephant2,2024-02-05 20:21:41,M,keyboard,1
bottle9-car3,2024-02-05 20:21:41,F,bottle,1
oven7-elephant1,2024-02-05 20:21:42,I,chair,1
keyboard9-cat1,2024-02-05 20:21:42,H,cat,1
knife10-bear3,2024-02-05 20:21:43,B,bear,1
elephant3-knife1,2024-02-05 20:21:43,G,car,1
bird10-chair1,2024-02-05 20:21:44,I,chair,1
bottle2-car2,2024-02-05 20:21:44,G,car,1
bicycle1-oven1,2024-02-05 20:21:44,C,bicycle,1
chair4-cat2,2024-02-05 20:21:45,L,elephant,1
chair1-clock2,2024-02-05 20:21:45,J,clock,1
boat3-bicycle2,2024-02-05 20:21:46,C,bicycle,1
elephant7-clock2,2024-02-05 20:21:46,J,clock,1
bicycle4-truck3,2024-02-05 20:21:46,C,bicycle,1
bird9-chair1,2024-02-05 20:21:47,I,chair,1
clock5-chair3,2024-02-05 20:21:47,J,clock,1
keyboard9-chair2,2024-02-05 20:21:48,I,chair,1
bird10-bird2,2024-02-05 20:21:48,D,bird,1
cat7-knife2,2024-02-05 20:21:48,H,cat,1
airplane7-cat3,2024-02-05 20:21:49,B,bear,1
knife2-bottle2,2024-02-05 20:21:49,F,bottle,1
truck2-clock1,2024-02-05 20:21:50,P,truck,1
bird3-oven1,2024-02-05 20:21:50,M,keyboard,1
car9-keyboard2,2024-02-05 20:21:50,M,keyboard,1
cat4-clock2,2024-02-05 20:21:51,J,clock,1
elephant2-elephant3,2024-02-05 20:21:51,L,elephant,1
airplane9-airplane2,2024-02-05 20:21:52,A,airplane,1
bicycle5-cat1,2024-02-05 20:21:52,C,bicycle,1
elephant5-elephant1,2024-02-05 20:21:52,L,elephant,1
knife6-dog2,2024-02-05 20:21:53,H,cat,1
airplane4-knife1,2024-02-05 20:21:53,G,car,1
bird5-dog2,2024-02-05 20:21:54,D,bird,1
elephant8-bicycle3,2024-02-05 20:21:54,C,bicycle,1
bird8-bottle1,2024-02-05 20:21:54,D,bird,1
bottle7-cat2,2024-02-05 20:21:55,B,bear,1
keyboard3-elephant2,2024-02-05 20:21:55,M,keyboard,1
boat9-dog2,2024-02-05 20:21:56,B,bear,1
cat8-bird2,2024-02-05 20:21:56,H,cat,1
elephant1-boat2,2024-02-05 20:21:56,L,elephant,1
knife9-chair1,2024-02-05 20:21:57,I,chair,1
airplane5-boat3,2024-02-05 20:21:57,A,airplane,1
car4-cat3,2024-02-05 20:21:58,G,car,1
knife10-oven3,2024-02-05 20:21:58,M,keyboard,1
clock3-bear3,2024-02-05 20:21:58,J,clock,1
dog10-bottle1,2024-02-05 20:21:59,F,bottle,1
clock5-bicycle1,2024-02-05 20:21:59,J,clock,1
dog8-bottle2,2024-02-05 20:22:00,F,bottle,1
bear4-truck3,2024-02-05 20:22:00,G,car,1
boat10-boat3,2024-02-05 20:22:01,E,boat,1
keyboard6-boat2,2024-02-05 20:22:01,G,car,1
oven2-bicycle1,2024-02-05 20:22:01,G,car,1
knife1-dog1,2024-02-05 20:22:02,K,dog,1
bicycle1-dog3,2024-02-05 20:22:02,C,bicycle,1
cat5-bicycle3,2024-02-05 20:22:03,H,cat,1
bird5-cat2,2024-02-05 20:22:03,D,bird,1
bottle6-airplane1,2024-02-05 20:22:03,F,bottle,1
knife5-bicycle2,2024-02-05 20:22:04,M,keyboard,1
boat5-knife2,2024-02-05 20:22:04,M,keyboard,1
dog5-truck2,2024-02-05 20:22:05,G,car,1
car6-bicycle3,2024-02-05 20:22:05,G,car,1
keyboard10-truck1,2024-02-05 20:22:05,G,car,1
clock9-chair3,2024-02-05 20:22:06,I,chair,1
knife6-bicycle1,2024-02-05 20:22:06,M,keyboard,1
bottle6-boat3,2024-02-05 20:22:07,F,bottle,1
dog2-knife3,2024-02-05 20:22:07,M,keyboard,1
bicycle9-chair1,2024-02-05 20:22:07,C,bicycle,1
clock4-car2,2024-02-05 20:22:08,G,car,1
bicycle6-car2,2024-02-05 20:22:08,C,bicycle,1
clock2-bottle3,2024-02-05 20:22:09,J,clock,1
dog7-chair2,2024-02-05 20:22:09,I,chair,1
chair8-bear1,2024-02-05 20:22:09,I,chair,1
clock1-boat3,2024-02-05 20:22:10,E,boat,1
dog8-boat3,2024-02-05 20:22:10,L,elephant,1
keyboard5-airplane3,2024-02-05 20:22:11,M,keyboard,1
boat7-elephant3,2024-02-05 20:22:11,E,boat,1
keyboard5-bottle1,2024-02-05 20:22:12,F,bottle,1
chair8-knife2,2024-02-05 20:22:12,N,knife,1
cat10-elephant3,2024-02-05 20:22:12,H,cat,1
cat6-clock3,2024-02-05 20:22:13,H,cat,1
elephant7-airplane3,2024-02-05 20:22:13,L,elephant,1
chair6-bird2,2024-02-05 20:22:14,I,chair,1
keyboard7-knife1,2024-02-05 20:22:14,N,knife,1
bird8-elephant1,2024-02-05 20:22:14,D,bird,1
cat7-truck2,2024-02-05 20:22:15,G,car,1
keyboard8-dog3,2024-02-05 20:22:15,M,keyboard,1
cat5-bear2,2024-02-05 20:22:16,H,cat,1
elephant8-knife2,2024-02-05 20:22:16,M,keyboard,1
bicycle5-oven3,2024-02-05 20:22:16,O,oven,1
airplane9-keyboard2,2024-02-05 20:22:17,M,keyboard,1
cat8-bear1,2024-02-05 20:22:17,H,cat,1
car5-cat1,2024-02-05 20:22:18,G,car,1
truck8-cat2,2024-02-05 20:22:18,P,truck,1
knife6-oven3,2024-02-05 20:22:19,M,keyboard,1
oven6-oven3,2024-02-05 20:22:19,O,oven,1
dog10-dog1,2024-02-05 20:22:19,K,dog,1
airplane4-bear3,2024-02-05 20:22:20,B,bear,1
keyboard5-keyboard1,2024-02-05 20:22:20,M,keyboard,1
truck4-oven2,2024-02-05 20:22:21,P,truck,1
truck2-bottle3,2024-02-05 20:22:21,P,truck,1
oven7-oven1,2024-02-05 20:22:21,O,oven,1
keyboard3-bicycle2,2024-02-05 20:22:22,C,bicycle,1
boat3-airplane2,2024-02-05 20:22:22,E,boat,1
dog2-dog3,2024-02-05 20:22:23,K,dog,1
chair9-bicycle3,2024-02-05 20:22:23,I,chair,1
cat10-airplane3,2024-02-05 20:22:23,D,bird,1
knife1-airplane1,2024-02-05 20:22:24,M,keyboard,1
truck3-bear3,2024-02-05 20:22:24,K,dog,1
truck6-dog2,2024-02-05 20:22:25,P,truck,1
boat2-bear3,2024-02-05 20:22:25,B,bear,1
keyboard7-oven2,2024-02-05 20:22:25,M,keyboard,1
bottle7-bear1,2024-02-05 20:22:26,B,bear,1
oven3-cat2,2024-02-05 20:22:26,O,oven,1
clock10-knife3,2024-02-05 20:22:27,N,knife,1
airplane2-dog1,2024-02-05 20:22:27,B,bear,1
dog9-boat1,2024-02-05 20:22:27,K,dog,1
knife8-bicycle1,2024-02-05 20:22:28,C,bicycle,1
cat1-bird1,2024-02-05 20:22:28,H,cat,1
truck7-boat1,2024-02-05 20:22:29,P,truck,1
oven5-bottle3,2024-02-05 20:22:29,O,oven,1
airplane8-oven2,2024-02-05 20:22:29,M,keyboard,1
oven3-bottle3,2024-02-05 20:22:30,F,bottle,1
bird2-knife1,2024-02-05 20:22:30,N,knife,1
boat7-clock3,2024-02-05 20:22:31,J,clock,1
dog8-keyboard3,2024-02-05 20:22:31,G,car,1
airplane10-boat3,2024-02-05 20:22:31,A,airplane,1
bicycle3-bird1,2024-02-05 20:22:32,C,bicycle,1
bird6-boat2,2024-02-05 20:22:32,D,bird,1
bird2-dog2,2024-02-05 20:22:33,D,bird,1
knife5-oven2,2024-02-05 20:22:33,M,keyboard,1
bottle10-truck3,2024-02-05 20:22:34,F,bottle,1
chair1-airplane2,2024-02-05 20:22:34,I,chair,1
chair9-chair3,2024-02-05 20:22:34,I,chair,1
truck4-bear1,2024-02-05 20:22:35,B,bear,1
boat3-dog3,2024-02-05 20:22:35,B,bear,1
dog6-bicycle1,2024-02-05 20:22:36,K,dog,1
knife10-dog1,2024-02-05 20:22:36,B,bear,1
cat9-truck1,2024-02-05 20:22:36,H,cat,1
cat3-truck3,2024-02-05 20:22:37,G,car,1
bird5-bicycle1,2024-02-05 20:22:37,D,bird,1
cat5-keyboard3,2024-02-05 20:22:38,H,cat,1
chair3-dog2,2024-02-05 20:22:38,I,chair,1
keyboard4-truck3,2024-02-05 20:22:38,G,car,1
car3-bottle3,2024-02-05 20:22:39,F,bottle,1
knife4-boat1,2024-02-05 20:22:39,E,boat,1
knife2-cat3,2024-02-05 20:22:40,N,knife,1
airplane2-bird3,2024-02-05 20:22:40,D,bird,1
airplane3-cat1,2024-02-05 20:22:40,B,bear,1
car7-bear1,2024-02-05 20:22:41,B,bear,1
elephant6-cat2,2024-02-05 20:22:41,B,bear,1
chair1-cat3,2024-02-05 20:22:42,I,chair,1
bottle8-bird1,2024-02-05 20:22:42,F,bottle,1
keyboard1-car3,2024-02-05 20:22:42,G,car,1
elephant8-cat1,2024-02-05 20:22:43,H,cat,1
bird9-elephant2,2024-02-05 20:22:43,D,bird,1
truck9-bottle2,2024-02-05 20:22:44,F,bottle,1
truck8-elephant1,2024-02-05 20:22:44,P,truck,1
dog1-car2,2024-02-05 20:22:44,G,car,1
knife7-elephant2,2024-02-05 20:22:45,L,elephant,1
oven8-cat3,2024-02-05 20:22:45,O,oven,1
clock5-clock2,2024-02-05 20:22:46,J,clock,1
truck9-airplane2,2024-02-05 20:22:46,P,truck,1
bottle3-bicycle3,2024-02-05 20:22:47,F,bottle,1
clock4-bird3,2024-02-05 20:22:47,J,clock,1
car9-bicycle2,2024-02-05 20:22:47,G,car,1
cat9-bird3,2024-02-05 20:22:48,H,cat,1
car3-elephant3,2024-02-05 20:22:48,G,car,1
boat8-dog3,2024-02-05 20:22:49,K,dog,1
chair8-bicycle3,2024-02-05 20:22:49,I,chair,1
oven4-dog1,2024-02-05 20:22:49,M,keyboard,1
bird5-bird1,2024-02-05 20:22:50,D,bird,1
bear6-bottle3,2024-02-05 20:22:50,F,bottle,1
car2-chair1,2024-02-05 20:22:51,G,car,1
clock7-keyboard2,2024-02-05 20:22:51,J,clock,1
bear8-elephant2,2024-02-05 20:22:51,B,bear,1
