image,timestamp,response,pred_label,pred_conf
oven4-knife2,2024-02-05 20:31:06,O,oven,1
airplane10-airplane1,2024-02-05 20:31:07,A,airplane,1
elephant2-elephant3,2024-02-05 20:31:08,L,elephant,1
dog1-cat3,2024-02-05 20:31:09,K,dog,1
chair7-bottle1,2024-02-05 20:31:10,I,chair,1
boat8-dog3,2024-02-05 20:31:11,H,cat,1
airplane3-chair3,2024-02-05 20:31:12,I,chair,1
bird3-knife3,2024-02-05 20:31:12,L,elephant,1
bottle7-elephant2,2024-02-05 20:31:13,L,elephant,1
chair5-keyboard2,2024-02-05 20:31:14,M,keyboard,1
bird2-bird2,2024-02-05 20:31:15,D,bird,1
cat4-airplane1,2024-02-05 20:31:16,M,keyboard,1
bear4-cat3,2024-02-05 20:31:17,B,bear,1
bicycle4-knife3,2024-02-05 20:31:18,C,bicycle,1
bear7-clock1,2024-02-05 20:31:19,J,clock,1
cat7-dog3,2024-02-05 20:31:20,H,cat,1
chair10-clock1,2024-02-05 20:31:21,I,chair,1
car2-cat3,2024-02-05 20:31:22,G,car,1
car5-bear3,2024-02-05 20:31:22,K,dog,1
oven9-keyboard1,2024-02-05 20:31:23,M,keyboard,1
elephant6-truck3,2024-02-05 20:31:24,G,car,1
bicycle2-dog1,2024-02-05 20:31:25,K,dog,1
airplane10-car3,2024-02-05 20:31:26,G,car,1
oven8-keyboard3,2024-02-05 20:31:27,M,keyboard,1
bottle3-bottle3,2024-02-05 20:31:28,F,bottle,1
bear1-airplane3,2024-02-05 20:31:29,B,bear,1
bicycle7-clock3,2024-02-05 20:31:30,J,clock,1
truck6-bottle3,2024-02-05 20:31:31,F,bottle,1
bottle9-truck1,2024-02-05 20:31:31,F,bottle,1
airplane8-bird1,2024-02-05 20:31:32,M,keyboard,1
knife2-bear2,2024-02-05 20:31:33,K,dog,1
knife1-truck2,2024-02-05 20:31:34,G,car,1
car10-bottle3,2024-02-05 20:31:35,G,car,1
knife6-truck1,2024-02-05 20:31:36,G,car,1
cat6-chair3,2024-02-05 20:31:37,I,chair,1
airplane6-keyboard3,2024-02-05 20:31:38,M,keyboard,1
bear6-boat3,2024-02-05 20:31:39,C,bicycle,1
clock6-truck3,2024-02-05 20:31:40,I,chair,1
bicycle7-oven1,2024-02-05 20:31:40,C,bicycle,1
dog1-chair1,2024-02-05 20:31:41,I,chair,1
boat7-elephant3,2024-02-05 20:31:42,L,elephant,1
knife1-oven1,2024-02-05 20:31:43,M,keyboard,1
bird5-cat2,2024-02-05 20:31:44,D,bird,1
car1-keyboard2,2024-02-05 20:31:45,M,keyboard,1
clock3-bicycle2,2024-02-05 20:31:46,J,clock,1
cat5-bicycle3,2024-02-05 20:31:47,H,cat,1
oven2-oven3,2024-02-05 20:31:48,O,oven,1
elephant2-truck2,2024-02-05 20:31:49,G,car,1
boat7-bottle1,2024-02-05 20:31:49,F,bottle,1
airplane2-bottle1,2024-02-05 20:31:50,F,bottle,1
clock4-knife1,2024-02-05 20:31:51,J,clock,1
oven9-knife3,2024-02-05 20:31:52,M,keyboard,1
airplane1-bicycle2,2024-02-05 20:31:53,I,chair,1
bottle9-bicycle1,2024-02-05 20:31:54,F,bottle,1
bird10-cat1,2024-02-05 20:31:55,D,bird,1
boat2-keyboard1,2024-02-05 20:31:56,M,keyboard,1
clock10-bird3,2024-02-05 20:31:57,J,clock,1
car3-oven3,2024-02-05 20:31:58,G,car,1
bear8-bicycle3,2024-02-05 20:31:58,B,bear,1
airplane6-bottle2,2024-02-05 20:31:59,F,bottle,1
clock8-knife1,2024-02-05 20:32:00,J,clock,1
bear4-truck3,2024-02-05 20:32:01,M,keyboard,1
knife4-boat1,2024-02-05 20:32:02,E,boat,1
elephant9-airplane2,2024-02-05 20:32:03,L,elephant,1
truck1-car3,2024-02-05 20:32:04,P,truck,1
truck2-bottle3,2024-02-05 20:32:05,P,truck,1
keyboard5-dog3,2024-02-05 20:32:06,H,cat,1
oven2-dog3,2024-02-05 20:32:07,H,cat,1
airplane2-bear1,2024-02-05 20:32:08,B,bear,1
bicycle9-chair1,2024-02-05 20:32:08,I,chair,1
bear8-airplane1,2024-02-05 20:32:09,B,bear,1
bird1-airplane2,2024-02-05 20:32:10,D,bird,1
bird6-boat2,2024-02-05 20:32:11,G,car,1
bear2-cat2,2024-02-05 20:32:12,B,bear,1
bottle8-dog2,2024-02-05 20:32:13,F,bottle,1
keyboard7-oven2,2024-02-05 20:32:14,M,keyboard,1
boat9-dog2,2024-02-05 20:32:15,H,cat,1
knife10-dog1,2024-02-05 20:32:16,H,cat,1
oven6-chair3,2024-02-05 20:32:16,I,chair,1
keyboard6-bear2,2024-02-05 20:32:17,M,keyboard,1
boat7-oven3,2024-02-05 20:32:18,M,keyboard,1
elephant3-knife1,2024-02-05 20:32:19,M,keyboard,1
car6-bottle1,2024-02-05 20:32:20,F,bottle,1
bird7-oven3,2024-02-05 20:32:21,M,keyboard,1
car4-bird1,2024-02-05 20:32:22,G,car,1
car1-chair3,2024-02-05 20:32:23,I,chair,1
cat9-bird3,2024-02-05 20:32:24,H,cat,1
airplane7-car1,2024-02-05 20:32:25,G,car,1
elephant5-elephant1,2024-02-05 20:32:25,L,elephant,1
clock3-bear3,2024-02-05 20:32:26,J,clock,1
dog1-boat3,2024-02-05 20:32:27,G,car,1
elephant5-bicycle3,2024-02-05 20:32:28,L,elephant,1
bottle4-dog2,2024-02-05 20:32:29,F,bottle,1
clock3-car2,2024-02-05 20:32:30,J,clock,1
truck2-bird2,2024-02-05 20:32:31,P,truck,1
bicycle5-elephant1,2024-02-05 20:32:32,C,bicycle,1
truck6-bicycle1,2024-02-05 20:32:33,G,car,1
airplane4-bottle1,2024-02-05 20:32:34,F,bottle,1
oven4-car1,2024-02-05 20:32:34,G,car,1
truck1-dog1,2024-02-05 20:32:35,P,truck,1
airplane8-bicycle3,2024-02-05 20:32:36,C,bicycle,1
airplane4-elephant1,2024-02-05 20:32:37,M,keyboard,1
airplane7-truck1,2024-02-05 20:32:38,G,car,1
bird5-keyboard2,2024-02-05 20:32:39,M,keyboard,1
cat3-bear2,2024-02-05 20:32:40,H,cat,1
cat7-knife2,2024-02-05 20:32:41,H,cat,1
elephant1-airplane2,2024-02-05 20:32:42,L,elephant,1
boat1-bird3,2024-02-05 20:32:42,D,bird,1
knife10-elephant3,2024-02-05 20:32:43,L,elephant,1
oven5-dog3,2024-02-05 20:32:44,J,clock,1
knife1-keyboard3,2024-02-05 20:32:45,M,keyboard,1
bicycle2-bottle1,2024-02-05 20:32:46,F,bottle,1
boat10-truck1,2024-02-05 20:32:47,G,car,1
bird10-bicycle1,2024-02-05 20:32:48,D,bird,1
bear6-car2,2024-02-05 20:32:49,G,car,1
bottle6-bottle3,2024-02-05 20:32:50,F,bottle,1
clock8-airplane2,2024-02-05 20:32:51,J,clock,1
clock10-truck2,2024-02-05 20:32:51,G,car,1
chair7-bird1,2024-02-05 20:32:52,I,chair,1
bottle2-chair3,2024-02-05 20:32:53,I,chair,1
clock10-boat2,2024-02-05 20:32:54,J,clock,1
truck3-bird2,2024-02-05 20:32:55,P,truck,1
dog8-keyboard3,2024-02-05 20:32:56,M,keyboard,1
clock6-car2,2024-02-05 20:32:57,J,clock,1
bottle8-bird1,2024-02-05 20:32:58,F,bottle,1
clock8-chair2,2024-02-05 20:32:59,J,clock,1
dog10-keyboard2,2024-02-05 20:33:00,M,keyboard,1
bottle1-chair2,2024-02-05 20:33:00,I,chair,1
bottle6-bicycle3,2024-02-05 20:33:01,F,bottle,1
keyboard7-clock3,2024-02-05 20:33:02,J,clock,1
cat10-keyboard1,2024-02-05 20:33:03,M,keyboard,1
cat10-bottle1,2024-02-05 20:33:04,F,bottle,1
chair9-elephant1,2024-02-05 20:33:05,M,keyboard,1
car3-airplane3,2024-02-05 20:33:06,G,car,1
airplane4-boat3,2024-02-05 20:33:07,A,airplane,1
clock4-boat3,2024-02-05 20:33:08,J,clock,1
bottle9-keyboard1,2024-02-05 20:33:09,F,bottle,1
dog9-airplane3,2024-02-05 20:33:09,K,dog,1
airplane5-bicycle1,2024-02-05 20:33:10,A,airplane,1
airplane1-clock1,2024-02-05 20:33:11,J,clock,1
chair1-airplane2,2024-02-05 20:33:12,I,chair,1
clock10-knife3,2024-02-05 20:33:13,J,clock,1
truck7-keyboard3,2024-02-05 20:33:14,M,keyboard,1
oven10-bear1,2024-02-05 20:33:15,M,keyboard,1
truck10-airplane1,2024-02-05 20:33:16,P,truck,1
elephant4-clock3,2024-02-05 20:33:17,J,clock,1
keyboard5-bicycle1,2024-02-05 20:33:17,C,bicycle,1
bottle1-keyboard3,2024-02-05 20:33:18,M,keyboard,1
boat8-truck2,2024-02-05 20:33:19,G,car,1
knife10-chair1,2024-02-05 20:33:20,I,chair,1
bicycle8-chair2,2024-02-05 20:33:21,C,bicycle,1
bird6-oven1,2024-02-05 20:33:22,D,bird,1
oven3-airplane1,2024-02-05 20:33:23,M,keyboard,1
bear7-truck1,2024-02-05 20:33:24,G,car,1
boat3-clock3,2024-02-05 20:33:25,J,clock,1
keyboard5-keyboard1,2024-02-05 20:33:26,M,keyboard,1
bicycle7-elephant2,2024-02-05 20:33:26,C,bicycle,1
chair8-airplane1,2024-02-05 20:33:27,I,chair,1
cat7-truck2,2024-02-05 20:33:28,G,car,1
bird4-bicycle2,2024-02-05 20:33:29,I,chair,1
chair3-bicycle3,2024-02-05 20:33:30,I,chair,1
knife6-bird1,2024-02-05 20:33:31,N,knife,1
oven2-bicycle1,2024-02-05 20:33:32,G,car,1
airplane9-car2,2024-02-05 20:33:33,G,car,1
bird3-oven1,2024-02-05 20:33:34,M,keyboard,1
airplane8-clock2,2024-02-05 20:33:35,M,keyboard,1
truck2-bicycle2,2024-02-05 20:33:35,G,car,1
knife6-boat3,2024-02-05 20:33:36,E,boat,1
cat2-bottle3,2024-02-05 20:33:37,H,cat,1
car7-keyboard3,2024-02-05 20:33:38,G,car,1
dog8-bottle2,2024-02-05 20:33:39,F,bottle,1
keyboard10-car1,2024-02-05 20:33:40,G,car,1
bicycle9-bear1,2024-02-05 20:33:41,C,bicycle,1
knife10-bear3,2024-02-05 20:33:42,B,bear,1
car7-dog3,2024-02-05 20:33:43,H,cat,1
knife2-bicycle3,2024-02-05 20:33:44,M,keyboard,1
bird7-bottle1,2024-02-05 20:33:44,F,bottle,1
elephant5-car1,2024-02-05 20:33:45,G,car,1
elephant7-clock2,2024-02-05 20:33:46,J,clock,1
car6-truck3,2024-02-05 20:33:47,G,car,1
cat8-bicycle3,2024-02-05 20:33:48,H,cat,1
knife1-clock2,2024-02-05 20:33:49,M,keyboard,1
cat3-elephant2,2024-02-05 20:33:50,H,cat,1
chair3-car3,2024-02-05 20:33:51,G,car,1
bird8-knife2,2024-02-05 20:33:52,D,bird,1
knife1-dog1,2024-02-05 20:33:53,H,cat,1
boat9-chair2,2024-02-05 20:33:53,I,chair,1
clock3-cat1,2024-02-05 20:33:54,J,clock,1
oven1-dog3,2024-02-05 20:33:55,H,cat,1
truck3-bear3,2024-02-05 20:33:56,K,dog,1
bottle6-bird1,2024-02-05 20:33:57,F,bottle,1
oven6-truck1,2024-02-05 20:33:58,G,car,1
bicycle6-dog2,2024-02-05 20:33:59,C,bicycle,1
chair10-bird3,2024-02-05 20:34:00,I,chair,1
chair10-bicycle1,2024-02-05 20:34:01,I,chair,1
oven8-cat3,2024-02-05 20:34:02,O,oven,1
bottle7-clock1,2024-02-05 20:34:02,J,clock,1
airplane1-chair2,2024-02-05 20:34:03,I,chair,1
car5-cat1,2024-02-05 20:34:04,G,car,1
airplane5-bear2,2024-02-05 20:34:05,D,bird,1
bottle7-bear1,2024-02-05 20:34:06,B,bear,1
truck7-boat1,2024-02-05 20:34:07,G,car,1
bottle10-clock2,2024-02-05 20:34:08,J,clock,1
bear1-bicycle3,2024-02-05 20:34:09,B,bear,1
dog4-elephant2,2024-02-05 20:34:10,H,cat,1
oven9-clock2,2024-02-05 20:34:10,J,clock,1
knife7-bird3,2024-02-05 20:34:11,B,bear,1
bottle5-chair1,2024-02-05 20:34:12,I,chair,1
keyboard1-bird2,2024-02-05 20:34:13,M,keyboard,1
car8-chair1,2024-02-05 20:34:14,I,chair,1
car2-chair1,2024-02-05 20:34:15,I,chair,1
boat1-elephant3,2024-02-05 20:34:16,L,elephant,1
dog8-oven3,2024-02-05 20:34:17,M,keyboard,1
cat2-cat1,2024-02-05 20:34:18,H,cat,1
cat7-airplane2,2024-02-05 20:34:19,D,bird,1
elephant9-bicycle2,2024-02-05 20:34:19,G,car,1
airplane7-clock3,2024-02-05 20:34:20,J,clock,1
keyboard9-bird1,2024-02-05 20:34:21,E,boat,1
bird1-bicycle2,2024-02-05 20:34:22,D,bird,1
bicycle1-boat3,2024-02-05 20:34:23,C,bicycle,1
dog8-chair3,2024-02-05 20:34:24,I,chair,1
car5-bottle1,2024-02-05 20:34:25,G,car,1
knife3-clock2,2024-02-05 20:34:26,J,clock,1
oven9-oven1,2024-02-05 20:34:27,O,oven,1
