image,timestamp,response,pred_label,pred_conf
knife4-airplane3,2024-02-05 21:03:05,M,keyboard,1
clock6-knife2,2024-02-05 21:03:05,J,clock,1
airplane3-chair3,2024-02-05 21:03:06,I,chair,1
car3-elephant3,2024-02-05 21:03:06,G,car,1
oven9-bird3,2024-02-05 21:03:06,O,oven,1
chair7-bottle1,2024-02-05 21:03:06,F,bottle,1
knife9-elephant2,2024-02-05 21:03:06,B,bear,1
bear5-bicycle3,2024-02-05 21:03:06,B,bear,1
boat3-clock3,2024-02-05 21:03:06,J,clock,1
knife7-elephant2,2024-02-05 21:03:06,B,bear,1
keyboard7-knife1,2024-02-05 21:03:07,N,knife,1
boat4-dog2,2024-02-05 21:03:07,B,bear,1
car1-chair3,2024-02-05 21:03:07,I,chair,1
bicycle4-car2,2024-02-05 21:03:07,C,bicycle,1
truck4-bottle2,2024-02-05 21:03:07,F,bottle,1
bicycle9-airplane2,2024-02-05 21:03:07,C,bicycle,1
oven8-chair1,2024-02-05 21:03:07,I,chair,1
airplane9-keyboard2,2024-02-05 21:03:07,M,keyboard,1
bottle9-truck1,2024-02-05 21:03:08,F,bottle,1
dog8-dog3,2024-02-05 21:03:08,K,dog,1
bicycle7-truck3,2024-02-05 21:03:08,C,bicycle,1
elephant9-airplane2,2024-02-05 21:03:08,L,elephant,1
bicycle1-airplane2,2024-02-05 21:03:08,C,bicycle,1
cat9-bicycle1,2024-02-05 21:03:08,C,bicycle,1
truck9-chair3,2024-02-05 21:03:08,I,chair,1
clock9-airplane1,2024-02-05 21:03:08,J,clock,1
car7-bear1,2024-02-05 21:03:09,B,bear,1
truck3-cat1,2024-02-05 21:03:09,B,bear,1
oven10-airplane2,2024-02-05 21:03:09,J,clock,1
bear7-oven3,2024-02-05 21:03:09,M,keyboard,1
bicycle4-bottle1,2024-02-05 21:03:09,C,bicycle,1
bicycle8-truck1,2024-02-05 21:03:09,C,bicycle,1
truck5-cat3,2024-02-05 21:03:09,P,truck,1
knife7-boat3,2024-02-05 21:03:09,D,bird,1
car10-dog1,2024-02-05 21:03:10,B,bear,1
keyboard7-dog1,2024-02-05 21:03:10,B,bear,1
truck7-bear2,2024-02-05 21:03:10,P,truck,1
