image,timestamp,response,pred_label,pred_conf
airplane10-oven2,2024-02-05 21:06:18,A,airplane,1
cat1-airplane1,2024-02-05 21:06:18,H,cat,1
knife7-boat3,2024-02-05 21:06:18,E,boat,1
cat5-bicycle3,2024-02-05 21:06:19,H,cat,1
chair9-bottle3,2024-02-05 21:06:19,F,bottle,1
airplane2-bicycle1,2024-02-05 21:06:19,C,bicycle,1
knife3-knife1,2024-02-05 21:06:19,D,bird,1
boat5-airplane1,2024-02-05 21:06:19,K,dog,1
elephant9-dog3,2024-02-05 21:06:19,B,bear,1
boat7-chair1,2024-02-05 21:06:19,C,bicycle,1
cat10-airplane3,2024-02-05 21:06:19,D,bird,1
airplane5-boat3,2024-02-05 21:06:20,A,airplane,1
car3-truck1,2024-02-05 21:06:20,G,car,1
elephant7-keyboard3,2024-02-05 21:06:20,K,dog,1
keyboard8-truck3,2024-02-05 21:06:20,D,bird,1
boat6-airplane2,2024-02-05 21:06:20,E,boat,1
keyboard4-knife2,2024-02-05 21:06:20,F,bottle,1
bird3-cat1,2024-02-05 21:06:20,D,bird,1
clock8-boat1,2024-02-05 21:06:20,J,clock,1
oven10-oven3,2024-02-05 21:06:21,E,boat,1
knife1-airplane1,2024-02-05 21:06:21,D,bird,1
oven7-elephant1,2024-02-05 21:06:21,E,boat,1
oven9-oven1,2024-02-05 21:06:21,E,boat,1
boat9-clock1,2024-02-05 21:06:21,E,boat,1
knife5-knife3,2024-02-05 21:06:21,F,bottle,1
truck3-oven2,2024-02-05 21:06:21,D,bird,1
cat5-dog3,2024-02-05 21:06:22,H,cat,1
oven3-bottle3,2024-02-05 21:06:22,F,bottle,1
dog8-oven3,2024-02-05 21:06:22,K,dog,1
bicycle3-truck3,2024-02-05 21:06:22,P,truck,1
keyboard1-bear2,2024-02-05 21:06:22,B,bear,1
knife5-clock1,2024-02-05 21:06:22,D,bird,1
car7-bird3,2024-02-05 21:06:22,G,car,1
bear7-clock1,2024-02-05 21:06:22,D,bird,1
oven7-car3,2024-02-05 21:06:23,G,car,1
boat6-cat1,2024-02-05 21:06:23,D,bird,1
keyboard4-bird1,2024-02-05 21:06:23,D,bird,1
airplane6-bear3,2024-02-05 21:06:23,B,bear,1
clock1-truck3,2024-02-05 21:06:23,E,boat,1
airplane5-chair3,2024-02-05 21:06:23,I,chair,1
elephant4-boat3,2024-02-05 21:06:23,L,elephant,1
airplane9-clock1,2024-02-05 21:06:24,J,clock,1
elephant6-truck3,2024-02-05 21:06:24,C,bicycle,1
car4-bottle1,2024-02-05 21:06:24,E,boat,1
boat10-boat3,2024-02-05 21:06:24,E,boat,1
bear2-dog1,2024-02-05 21:06:24,B,bear,1
elephant8-elephant1,2024-02-05 21:06:24,L,elephant,1
bicycle1-oven1,2024-02-05 21:06:24,C,bicycle,1
airplane3-dog1,2024-02-05 21:06:24,B,bear,1
knife8-truck3,2024-02-05 21:06:25,K,dog,1
chair7-clock3,2024-02-05 21:06:25,E,boat,1
airplane4-bottle1,2024-02-05 21:06:25,F,bottle,1
truck10-airplane1,2024-02-05 21:06:25,D,bird,1
cat9-bicycle1,2024-02-05 21:06:25,C,bicycle,1
bear5-bottle1,2024-02-05 21:06:25,B,bear,1
bird5-cat2,2024-02-05 21:06:25,D,bird,1
airplane6-knife1,2024-02-05 21:06:25,D,bird,1
car1-chair3,2024-02-05 21:06:26,I,chair,1
