image,timestamp,response,pred_label,pred_conf
boat8-bottle1,2024-02-05 21:09:31,F,bottle,1
bird7-bird2,2024-02-05 21:09:32,D,bird,1
cat4-cat3,2024-02-05 21:09:32,H,cat,1
bicycle8-chair2,2024-02-05 21:09:32,C,bicycle,1
boat1-bicycle2,2024-02-05 21:09:32,C,bicycle,1
truck7-elephant2,2024-02-05 21:09:32,P,truck,1
bird3-cat1,2024-02-05 21:09:33,D,bird,1
elephant1-boat2,2024-02-05 21:09:33,L,elephant,1
chair4-bear2,2024-02-05 21:09:33,I,chair,1
knife1-elephant1,2024-02-05 21:09:33,D,bird,1
oven7-elephant1,2024-02-05 21:09:33,I,chair,1
bicycle4-chair2,2024-02-05 21:09:34,I,chair,1
truck10-car3,2024-02-05 21:09:34,P,truck,1
chair7-bottle1,2024-02-05 21:09:34,F,bottle,1
bottle3-bottle3,2024-02-05 21:09:34,F,bottle,1
bottle4-oven2,2024-02-05 21:09:34,F,bottle,1
airplane9-knife3,2024-02-05 21:09:35,M,keyboard,1
bear1-bird2,2024-02-05 21:09:35,B,bear,1
clock6-knife2,2024-02-05 21:09:35,J,clock,1
clock1-boat3,2024-02-05 21:09:35,J,clock,1
cat5-knife2,2024-02-05 21:09:35,H,cat,1
truck9-elephant1,2024-02-05 21:09:35,P,truck,1
keyboard6-dog2,2024-02-05 21:09:36,K,dog,1
cat4-car2,2024-02-05 21:09:36,M,keyboard,1
knife9-bicycle1,2024-02-05 21:09:36,C,bicycle,1
truck9-truck3,2024-02-05 21:09:36,P,truck,1
truck2-oven3,2024-02-05 21:09:36,O,oven,1
bicycle6-airplane2,2024-02-05 21:09:37,C,bicycle,1
airplane4-knife1,2024-02-05 21:09:37,M,keyboard,1
truck7-bear2,2024-02-05 21:09:37,P,truck,1
car8-airplane3,2024-02-05 21:09:37,G,car,1
bear1-bear3,2024-02-05 21:09:37,B,bear,1
bottle2-car2,2024-02-05 21:09:38,G,car,1
chair1-airplane2,2024-02-05 21:09:38,I,chair,1
elephant5-truck1,2024-02-05 21:09:38,L,elephant,1
oven8-cat3,2024-02-05 21:09:38,O,oven,1
truck3-cat1,2024-02-05 21:09:38,K,dog,1
bottle2-knife3,2024-02-05 21:09:38,F,bottle,1
dog3-clock1,2024-02-05 21:09:39,J,clock,1
bird1-elephant2,2024-02-05 21:09:39,D,bird,1
car10-chair1,2024-02-05 21:09:39,G,car,1
bicycle8-boat1,2024-02-05 21:09:39,C,bicycle,1
oven9-chair1,2024-02-05 21:09:39,I,chair,1
bottle4-dog2,2024-02-05 21:09:40,F,bottle,1
car4-oven2,2024-02-05 21:09:40,G,car,1
knife5-bicycle2,2024-02-05 21:09:40,M,keyboard,1
dog5-elephant1,2024-02-05 21:09:40,K,dog,1
bottle5-boat1,2024-02-05 21:09:40,F,bottle,1
bottle8-bicycle1,2024-02-05 21:09:41,F,bottle,1
keyboard1-airplane2,2024-02-05 21:09:41,M,keyboard,1
car9-truck3,2024-02-05 21:09:41,G,car,1
keyboard5-keyboard1,2024-02-05 21:09:41,M,keyboard,1
bottle6-bottle3,2024-02-05 21:09:41,F,bottle,1
bicycle5-dog2,2024-02-05 21:09:41,C,bicycle,1
oven4-truck3,2024-02-05 21:09:42,A,airplane,1
car5-truck3,2024-02-05 21:09:42,G,car,1
airplane9-keyboard2,2024-02-05 21:09:42,M,keyboard,1
bear6-clock1,2024-02-05 21:09:42,J,clock,1
boat1-chair3,2024-02-05 21:09:42,I,chair,1
bicycle8-clock3,2024-02-05 21:09:43,J,clock,1
keyboard6-car2,2024-02-05 21:09:43,G,car,1
bird7-oven3,2024-02-05 21:09:43,D,bird,1
keyboard6-bottle2,2024-02-05 21:09:43,F,bottle,1
chair10-oven1,2024-02-05 21:09:43,I,chair,1
chair10-dog1,2024-02-05 21:09:44,I,chair,1
bird10-cat1,2024-02-05 21:09:44,D,bird,1
oven9-oven1,2024-02-05 21:09:44,O,oven,1
bird2-car3,2024-02-05 21:09:44,G,car,1
car10-car1,2024-02-05 21:09:44,G,car,1
oven6-truck1,2024-02-05 21:09:45,M,keyboard,1
bear2-airplane1,2024-02-05 21:09:45,B,bear,1
keyboard8-oven1,2024-02-05 21:09:45,M,keyboard,1
bicycle9-keyboard3,2024-02-05 21:09:45,O,oven,1
chair6-dog1,2024-02-05 21:09:45,I,chair,1
airplane4-bicycle2,2024-02-05 21:09:45,D,bird,1
bottle5-oven2,2024-02-05 21:09:46,F,bottle,1
airplane5-bottle3,2024-02-05 21:09:46,F,bottle,1
bear6-bear1,2024-02-05 21:09:46,K,dog,1
truck1-bear1,2024-02-05 21:09:46,P,truck,1
airplane10-truck1,2024-02-05 21:09:46,A,airplane,1
bird7-boat1,2024-02-05 21:09:47,D,bird,1
bicycle1-bicycle3,2024-02-05 21:09:47,C,bicycle,1
bear6-chair1,2024-02-05 21:09:47,I,chair,1
bear7-bicycle2,2024-02-05 21:09:47,B,bear,1
truck7-boat1,2024-02-05 21:09:47,P,truck,1
knife9-bottle2,2024-02-05 21:09:48,F,bottle,1
oven10-bear1,2024-02-05 21:09:48,O,oven,1
knife3-bear2,2024-02-05 21:09:48,B,bear,1
bear3-bird3,2024-02-05 21:09:48,H,cat,1
clock6-bottle1,2024-02-05 21:09:48,J,clock,1
boat7-truck2,2024-02-05 21:09:48,M,keyboard,1
airplane3-oven1,2024-02-05 21:09:49,A,airplane,1
bicycle5-oven3,2024-02-05 21:09:49,O,oven,1
truck9-bottle2,2024-02-05 21:09:49,F,bottle,1
bicycle5-bottle3,2024-02-05 21:09:49,C,bicycle,1
chair8-elephant1,2024-02-05 21:09:49,I,chair,1
knife10-oven3,2024-02-05 21:09:50,M,keyboard,1
airplane9-airplane2,2024-02-05 21:09:50,A,airplane,1
keyboard8-cat3,2024-02-05 21:09:50,M,keyboard,1
cat4-keyboard2,2024-02-05 21:09:50,M,keyboard,1
keyboard9-chair2,2024-02-05 21:09:50,I,chair,1
dog4-clock1,2024-02-05 21:09:51,J,clock,1
keyboard7-truck2,2024-02-05 21:09:51,G,car,1
cat9-cat3,2024-02-05 21:09:51,H,cat,1
car2-cat3,2024-02-05 21:09:51,G,car,1
chair8-bear1,2024-02-05 21:09:51,I,chair,1
bird1-knife3,2024-02-05 21:09:52,D,bird,1
elephant7-airplane3,2024-02-05 21:09:52,L,elephant,1
bird6-truck2,2024-02-05 21:09:52,G,car,1
bicycle6-bicycle3,2024-02-05 21:09:52,C,bicycle,1
cat6-keyboard3,2024-02-05 21:09:52,M,keyboard,1
truck5-car1,2024-02-05 21:09:52,P,truck,1
boat8-elephant1,2024-02-05 21:09:53,L,elephant,1
cat7-knife2,2024-02-05 21:09:53,N,knife,1
bicycle9-knife3,2024-02-05 21:09:53,C,bicycle,1
airplane4-bottle1,2024-02-05 21:09:53,F,bottle,1
knife1-dog1,2024-02-05 21:09:53,B,bear,1
bottle8-dog2,2024-02-05 21:09:54,F,bottle,1
keyboard9-cat1,2024-02-05 21:09:54,H,cat,1
airplane6-chair3,2024-02-05 21:09:54,I,chair,1
bear6-boat3,2024-02-05 21:09:54,B,bear,1
dog7-bird3,2024-02-05 21:09:54,K,dog,1
knife10-dog1,2024-02-05 21:09:55,K,dog,1
elephant9-airplane2,2024-02-05 21:09:55,L,elephant,1
dog3-dog1,2024-02-05 21:09:55,K,dog,1
cat10-bear1,2024-02-05 21:09:55,B,bear,1
dog6-truck2,2024-02-05 21:09:55,G,car,1
bird1-bear1,2024-02-05 21:09:55,D,bird,1
bottle3-airplane2,2024-02-05 21:09:56,F,bottle,1
bear9-dog1,2024-02-05 21:09:56,L,elephant,1
car2-chair1,2024-02-05 21:09:56,G,car,1
oven7-clock2,2024-02-05 21:09:56,J,clock,1
knife2-bear2,2024-02-05 21:09:56,K,dog,1
elephant2-airplane3,2024-02-05 21:09:57,L,elephant,1
truck7-chair2,2024-02-05 21:09:57,P,truck,1
chair1-bear1,2024-02-05 21:09:57,B,bear,1
bicycle5-cat1,2024-02-05 21:09:57,C,bicycle,1
knife1-keyboard3,2024-02-05 21:09:57,M,keyboard,1
knife10-knife1,2024-02-05 21:09:58,M,keyboard,1
knife9-bird1,2024-02-05 21:09:58,D,bird,1
bear5-bird1,2024-02-05 21:09:58,B,bear,1
boat2-bird1,2024-02-05 21:09:58,E,boat,1
keyboard7-car3,2024-02-05 21:09:58,G,car,1
boat9-bear3,2024-02-05 21:09:58,D,bird,1
chair6-truck2,2024-02-05 21:09:59,I,chair,1
chair1-clock2,2024-02-05 21:09:59,J,clock,1
truck7-truck2,2024-02-05 21:09:59,P,truck,1
