image,timestamp,response,pred_label,pred_conf
keyboard4-oven2,2024-02-05 21:20:16,I. chair.,chair,1
car8-cat1,2024-02-05 21:20:18,K. dog.,dog,1
dog3-truck2,2024-02-05 21:20:20,G. car.,car,1
knife4-keyboard1,2024-02-05 21:20:22,F. bottle.,bottle,1
oven3-knife1,2024-02-05 21:20:24,F. bottle.,bottle,1
elephant10-keyboard1,2024-02-05 21:20:27,F. bottle.,bottle,1
oven9-boat2,2024-02-05 21:20:29,O. oven.,oven,1
cat1-oven1,2024-02-05 21:20:31,H. cat.,cat,1
boat1-elephant3,2024-02-05 21:20:33,L. elephant.,elephant,1
knife5-cat2,2024-02-05 21:20:35,B. bear.,bear,1
airplane4-airplane1,2024-02-05 21:20:37,A. airplane.,airplane,1
airplane2-bear1,2024-02-05 21:20:39,B. bear.,bear,1
boat8-oven1,2024-02-05 21:20:41,G. car.,car,1
bear1-airplane3,2024-02-05 21:20:43,B. bear.,bear,1
oven3-car2,2024-02-05 21:20:45,G. car.,car,1
keyboard9-bear2,2024-02-05 21:20:47,B. bear.,bear,1
bear4-truck3,2024-02-05 21:20:49,I. chair.,chair,1
dog6-clock1,2024-02-05 21:20:51,J. clock.,clock,1
chair8-bear1,2024-02-05 21:20:53,I. chair.,chair,1
truck8-keyboard2,2024-02-05 21:20:55,M. keyboard.,keyboard,1
oven5-elephant1,2024-02-05 21:20:57,L. elephant.,elephant,1
bird7-car2,2024-02-05 21:21:00,G. car.,car,1
bear1-chair2,2024-02-05 21:21:01,I. chair.,chair,1
keyboard3-bird3,2024-02-05 21:21:03,D) bird.,bird,1
oven10-oven3,2024-02-05 21:21:05,O. oven.,oven,1
bicycle4-car2,2024-02-05 21:21:08,G. car.,car,1
airplane10-car3,2024-02-05 21:21:10,A. airplane.,airplane,1
bird2-car3,2024-02-05 21:21:12,G. car.,car,1
oven7-cat1,2024-02-05 21:21:14,I. chair.,chair,1
bicycle9-chair1,2024-02-05 21:21:16,I. chair.,chair,1
oven1-cat1,2024-02-05 21:21:18,H. cat.,cat,1
airplane10-oven2,2024-02-05 21:21:20,A. airplane.,airplane,1
knife1-oven1,2024-02-05 21:21:22,I. chair.,chair,1
airplane7-cat3,2024-02-05 21:21:24,B. bear.,bear,1
elephant9-chair2,2024-02-05 21:21:26,I. chair.,chair,1
knife1-airplane1,2024-02-05 21:21:28,M. keyboard.,keyboard,1
elephant1-bottle1,2024-02-05 21:21:30,F. bottle.,bottle,1
dog6-bird1,2024-02-05 21:21:32,K. dog.,dog,1
knife1-dog1,2024-02-05 21:21:34,B. bear.,bear,1
elephant4-bicycle2,2024-02-05 21:21:36,I. chair.,chair,1
dog5-oven1,2024-02-05 21:21:38,I. chair.,chair,1
dog2-cat1,2024-02-05 21:21:40,K. dog.,dog,1
elephant2-keyboard3,2024-02-05 21:21:42,F. bottle.,bottle,1
