image,timestamp,response,pred_label,pred_conf
cat9-bicycle1,2024-02-05 21:30:44,G,car,1
truck8-cat2,2024-02-05 21:30:49,P,truck,1
boat1-elephant3,2024-02-05 21:30:53,L,elephant,1
bird2-knife1,2024-02-05 21:30:58,B,bear,1
clock10-airplane1,2024-02-05 21:31:02,J,clock,1
elephant1-dog2,2024-02-05 21:31:07,L,elephant,1
bottle8-dog2,2024-02-05 21:31:11,F,bottle,1
chair1-elephant1,2024-02-05 21:31:16,L,elephant,1
bird5-chair1,2024-02-05 21:31:20,I,chair,1
oven9-keyboard1,2024-02-05 21:31:25,M,keyboard,1
airplane5-oven3,2024-02-05 21:31:29,M,keyboard,1
oven2-oven3,2024-02-05 21:31:34,O,oven,1
elephant7-bottle3,2024-02-05 21:31:38,L,elephant,1
truck7-bear2,2024-02-05 21:31:43,P,truck,1
bicycle6-bicycle3,2024-02-05 21:31:47,C,bicycle,1
car1-dog2,2024-02-05 21:31:52,D,bird,1
keyboard4-cat2,2024-02-05 21:31:56,H,cat,1
bicycle10-dog3,2024-02-05 21:32:01,C,bicycle,1
boat8-bird2,2024-02-05 21:32:05,E,boat,1
knife6-bicycle1,2024-02-05 21:32:10,G,car,1
bird1-chair2,2024-02-05 21:32:15,I,chair,1
bicycle7-oven1,2024-02-05 21:32:19,C,bicycle,1
oven7-clock2,2024-02-05 21:32:24,F,bottle,1
car5-cat1,2024-02-05 21:32:28,G,car,1
elephant3-oven1,2024-02-05 21:32:32,L,elephant,1
boat3-airplane2,2024-02-05 21:32:37,E,boat,1
keyboard6-chair1,2024-02-05 21:32:41,I,chair,1
bicycle6-cat1,2024-02-05 21:32:45,H,cat,1
boat6-bear1,2024-02-05 21:32:50,K,dog,1
keyboard8-truck3,2024-02-05 21:32:55,G,car,1
airplane5-bottle3,2024-02-05 21:32:59,F,bottle,1
boat9-chair2,2024-02-05 21:33:03,I,chair,1
knife6-truck1,2024-02-05 21:33:08,F,bottle,1
oven8-keyboard3,2024-02-05 21:33:13,M,keyboard,1
boat9-boat3,2024-02-05 21:33:17,E,boat,1
bird9-elephant2,2024-02-05 21:33:22,D,bird,1
knife7-elephant2,2024-02-05 21:33:26,L,elephant,1
bicycle8-truck1,2024-02-05 21:33:30,C,bicycle,1
