image,timestamp,response,pred_label,pred_conf
oven6-chair3,2024-02-05 22:28:26,truck,truck,1
bird3-cat1,2024-02-05 22:28:27,bear,bear,1
car3-oven3,2024-02-05 22:28:28,car,car,1
boat6-truck3,2024-02-05 22:28:29,car,car,1
dog1-cat3,2024-02-05 22:28:30,dog,dog,1
oven7-elephant1,2024-02-05 22:28:31,elephant,elephant,1
cat5-bottle1,2024-02-05 22:28:32,bear,bear,1
car6-bear1,2024-02-05 22:28:33,bear,bear,1
keyboard9-bird1,2024-02-05 22:28:33,keyboard,keyboard,1
chair1-airplane2,2024-02-05 22:28:34,chair,chair,1
bicycle5-keyboard3,2024-02-05 22:28:35,car,car,1
chair9-keyboard2,2024-02-05 22:28:36,M,keyboard,1
dog4-elephant2,2024-02-05 22:28:37,dog,dog,1
dog7-chair2,2024-02-05 22:28:38,elephant,elephant,1
oven2-bird2,2024-02-05 22:28:38,oven,oven,1
cat10-airplane3,2024-02-05 22:28:39,truck,truck,1
bear3-car2,2024-02-05 22:28:40,car,car,1
airplane7-boat2,2024-02-05 22:28:41,airplane,airplane,1
dog2-cat1,2024-02-05 22:28:42,dog,dog,1
airplane7-bottle3,2024-02-05 22:28:43,airplane,airplane,1
cat6-keyboard3,2024-02-05 22:28:44,truck,truck,1
oven6-elephant2,2024-02-05 22:28:45,elephant,elephant,1
dog10-elephant1,2024-02-05 22:28:45,dog,dog,1
chair10-bottle3,2024-02-05 22:28:46,chair,chair,1
dog9-chair2,2024-02-05 22:28:47,chair,chair,1
cat6-bear1,2024-02-05 22:28:48,cat,cat,1
dog7-knife3,2024-02-05 22:28:49,dog,dog,1
cat9-dog2,2024-02-05 22:28:50,cat,cat,1
cat1-chair2,2024-02-05 22:28:51,chair,chair,1
bird10-elephant2,2024-02-05 22:28:51,elephant,elephant,1
oven3-airplane1,2024-02-05 22:28:52,truck,truck,1
truck4-boat3,2024-02-05 22:28:53,truck,truck,1
car3-airplane3,2024-02-05 22:28:54,car,car,1
oven2-bicycle1,2024-02-05 22:28:55,oven,oven,1
clock6-chair3,2024-02-05 22:28:56,chair,chair,1
knife9-chair1,2024-02-05 22:28:57,chair,chair,1
car7-clock1,2024-02-05 22:28:58,car,car,1
oven3-clock3,2024-02-05 22:28:58,clock,clock,1
oven4-elephant3,2024-02-05 22:28:59,oven,oven,1
elephant2-cat1,2024-02-05 22:29:00,bear,bear,1
knife6-knife1,2024-02-05 22:29:01,truck,truck,1
bottle1-keyboard3,2024-02-05 22:29:02,truck,truck,1
knife2-bottle2,2024-02-05 22:29:03,truck,truck,1
bicycle8-chair2,2024-02-05 22:29:04,bicycle,bicycle,1
keyboard8-dog3,2024-02-05 22:29:04,keyboard,keyboard,1
boat8-bottle1,2024-02-05 22:29:05,truck,truck,1
clock1-elephant2,2024-02-05 22:29:06,elephant,elephant,1
airplane6-bear3,2024-02-05 22:29:07,truck,truck,1
chair6-dog1,2024-02-05 22:29:08,chair,chair,1
bear4-knife1,2024-02-05 22:29:09,bear,bear,1
bird10-bird2,2024-02-05 22:29:10,truck,truck,1
elephant3-cat2,2024-02-05 22:29:11,elephant,elephant,1
dog3-truck2,2024-02-05 22:29:11,car,car,1
chair6-elephant2,2024-02-05 22:29:12,elephant,elephant,1
bird9-bear3,2024-02-05 22:29:13,bird,bird,1
bird9-dog2,2024-02-05 22:29:14,bird,bird,1
clock2-elephant2,2024-02-05 22:29:15,clock,clock,1
keyboard3-elephant2,2024-02-05 22:29:16,truck,truck,1
cat4-knife1,2024-02-05 22:29:17,truck,truck,1
bear1-clock2,2024-02-05 22:29:18,bear,bear,1
truck10-truck3,2024-02-05 22:29:18,P,truck,1
oven2-boat3,2024-02-05 22:29:19,truck,truck,1
bicycle6-cat1,2024-02-05 22:29:20,truck,truck,1
dog6-elephant2,2024-02-05 22:29:21,elephant,elephant,1
boat9-airplane2,2024-02-05 22:29:22,boat,boat,1
clock9-airplane1,2024-02-05 22:29:23,clock,clock,1
bicycle8-bear2,2024-02-05 22:29:24,bicycle,bicycle,1
cat9-bird3,2024-02-05 22:29:24,cat,cat,1
dog9-car1,2024-02-05 22:29:25,car,car,1
dog1-knife3,2024-02-05 22:29:26,dog,dog,1
bottle3-knife3,2024-02-05 22:29:27,bottle,bottle,1
keyboard3-car2,2024-02-05 22:29:28,car,car,1
oven7-keyboard1,2024-02-05 22:29:29,truck,truck,1
elephant9-dog3,2024-02-05 22:29:30,elephant,elephant,1
boat3-car3,2024-02-05 22:29:31,truck,truck,1
bear7-oven3,2024-02-05 22:29:31,truck,truck,1
cat2-car3,2024-02-05 22:29:32,truck,truck,1
dog1-boat3,2024-02-05 22:29:33,truck,truck,1
airplane3-clock1,2024-02-05 22:29:34,clock,clock,1
truck6-cat2,2024-02-05 22:29:35,boat,boat,1
keyboard4-bird1,2024-02-05 22:29:36,truck,truck,1
dog4-bottle2,2024-02-05 22:29:37,truck,truck,1
cat5-bicycle3,2024-02-05 22:29:37,cat,cat,1
airplane8-clock2,2024-02-05 22:29:38,truck,truck,1
truck7-bear2,2024-02-05 22:29:39,truck,truck,1
chair9-bottle3,2024-02-05 22:29:40,chair,chair,1
cat1-dog1,2024-02-05 22:29:41,cat,cat,1
dog3-clock1,2024-02-05 22:29:42,dog,dog,1
clock7-bottle2,2024-02-05 22:29:43,clock,clock,1
bird10-chair1,2024-02-05 22:29:43,chair,chair,1
knife3-keyboard3,2024-02-05 22:29:44,truck,truck,1
dog6-clock1,2024-02-05 22:29:45,dog,dog,1
cat10-keyboard1,2024-02-05 22:29:46,truck,truck,1
bottle7-keyboard2,2024-02-05 22:29:47,M,keyboard,1
cat1-cat3,2024-02-05 22:29:48,cat,cat,1
oven3-cat2,2024-02-05 22:29:48,truck,truck,1
bear8-bear1,2024-02-05 22:29:49,bear,bear,1
bicycle1-oven1,2024-02-05 22:29:50,bicycle,bicycle,1
chair6-truck2,2024-02-05 22:29:51,car,car,1
knife9-boat1,2024-02-05 22:29:52,boat,boat,1
oven6-truck1,2024-02-05 22:29:53,car,car,1
dog4-clock1,2024-02-05 22:29:54,dog,dog,1
car4-bicycle3,2024-02-05 22:29:55,car,car,1
clock10-truck2,2024-02-05 22:29:55,M,keyboard,1
clock8-truck2,2024-02-05 22:29:56,clock,clock,1
bear8-elephant2,2024-02-05 22:29:57,bear,bear,1
chair7-clock3,2024-02-05 22:29:58,chair,chair,1
bottle8-knife1,2024-02-05 22:29:59,truck,truck,1
truck1-cat1,2024-02-05 22:30:00,truck,truck,1
clock10-knife3,2024-02-05 22:30:01,truck,truck,1
elephant2-clock1,2024-02-05 22:30:01,elephant,elephant,1
bottle3-bottle3,2024-02-05 22:30:02,bottle,bottle,1
chair3-bicycle3,2024-02-05 22:30:03,chair,chair,1
elephant8-cat1,2024-02-05 22:30:04,bear,bear,1
bear2-elephant1,2024-02-05 22:30:05,bear,bear,1
truck10-bicycle1,2024-02-05 22:30:06,truck,truck,1
bottle3-boat3,2024-02-05 22:30:07,bottle,bottle,1
chair10-bicycle1,2024-02-05 22:30:07,chair,chair,1
bear10-chair2,2024-02-05 22:30:08,chair,chair,1
airplane6-bottle2,2024-02-05 22:30:09,truck,truck,1
boat3-dog3,2024-02-05 22:30:10,truck,truck,1
bottle6-airplane1,2024-02-05 22:30:11,truck,truck,1
boat8-bird2,2024-02-05 22:30:12,boat,boat,1
dog3-bear3,2024-02-05 22:30:13,dog,dog,1
clock9-bird2,2024-02-05 22:30:13,clock,clock,1
bird8-knife2,2024-02-05 22:30:14,bird,bird,1
bicycle1-dog3,2024-02-05 22:30:15,bicycle,bicycle,1
car4-bottle1,2024-02-05 22:30:16,car,car,1
truck1-bird1,2024-02-05 22:30:17,truck,truck,1
bottle1-cat3,2024-02-05 22:30:18,bear,bear,1
oven5-bicycle1,2024-02-05 22:30:19,oven,oven,1
elephant1-dog2,2024-02-05 22:30:19,elephant,elephant,1
chair8-elephant1,2024-02-05 22:30:20,chair,chair,1
chair4-oven2,2024-02-05 22:30:21,chair,chair,1
bottle8-bird1,2024-02-05 22:30:22,bear,bear,1
bear7-dog3,2024-02-05 22:30:23,bear,bear,1
boat2-oven3,2024-02-05 22:30:24,truck,truck,1
elephant5-bottle2,2024-02-05 22:30:25,elephant,elephant,1
cat10-bird2,2024-02-05 22:30:26,cat,cat,1
dog9-airplane3,2024-02-05 22:30:26,dog,dog,1
bottle8-elephant3,2024-02-05 22:30:27,O,oven,1
bottle9-cat2,2024-02-05 22:30:28,truck,truck,1
clock10-dog3,2024-02-05 22:30:29,clock,clock,1
keyboard2-bicycle3,2024-02-05 22:30:30,truck,truck,1
