image,timestamp,response,pred_label,pred_conf
bird9-bicycle3,2024-02-05 22:49:38,D.,bird,1
dog8-chair3,2024-02-05 22:49:45,K.,dog,1
elephant5-car1,2024-02-05 22:49:52,G.,car,1
bird5-car2,2024-02-05 22:49:52,D.,bird,1
cat6-clock3,2024-02-05 22:49:58,H.,cat,1
cat1-boat1,2024-02-05 22:50:05,H.,cat,1
keyboard8-airplane2,2024-02-05 22:50:05,M,keyboard,1
chair6-bird2,2024-02-05 22:50:06,H.,cat,1
bottle1-bear1,2024-02-05 22:50:13,B.,bear,1
knife4-cat2,2024-02-05 22:50:13,B.,bear,1
bear3-dog3,2024-02-05 22:50:19,K.,dog,1
elephant8-airplane3,2024-02-05 22:50:19,L.,elephant,1
clock3-cat1,2024-02-05 22:50:26,J,clock,1
boat1-elephant3,2024-02-05 22:50:26,L,elephant,1
boat1-car2,2024-02-05 22:50:28,G.,car,1
oven9-chair1,2024-02-05 22:50:28,H.,cat,1
boat3-clock3,2024-02-05 22:50:34,J,clock,1
keyboard9-boat2,2024-02-05 22:50:34,A.,airplane,1
car10-dog1,2024-02-05 22:50:35,G.,car,1
car4-boat1,2024-02-05 22:50:35,G.,car,1
keyboard2-bicycle3,2024-02-05 22:50:36,N,knife,1
elephant1-car3,2024-02-05 22:50:36,G.,car,1
keyboard4-bird1,2024-02-05 22:50:36,A.,airplane,1
clock5-clock2,2024-02-05 22:50:37,J,clock,1
car7-oven2,2024-02-05 22:50:44,G.,car,1
oven4-elephant3,2024-02-05 22:50:44,O.,oven,1
chair10-dog1,2024-02-05 22:50:50,I.,chair,1
bear8-truck3,2024-02-05 22:50:50,B.,bear,1
elephant4-boat3,2024-02-05 22:50:51,L.,elephant,1
keyboard7-clock3,2024-02-05 22:50:52,J,clock,1
dog5-boat3,2024-02-05 22:50:52,A.,airplane,1
knife6-bird1,2024-02-05 22:50:52,N,knife,1
car8-boat3,2024-02-05 22:50:53,G.,car,1
knife7-bottle3,2024-02-05 22:50:53,F,bottle,1
car4-bird1,2024-02-05 22:50:53,G.,car,1
keyboard7-truck2,2024-02-05 22:50:54,G.,car,1
boat1-bird3,2024-02-05 22:50:54,D.,bird,1
airplane9-clock1,2024-02-05 22:50:54,J,clock,1
oven3-boat3,2024-02-05 22:50:55,B.,bear,1
clock8-oven3,2024-02-05 22:50:59,J,clock,1
bicycle5-dog2,2024-02-05 22:51:00,C,bicycle,1
chair1-chair1,2024-02-05 22:51:07,I.,chair,1
bear9-boat2,2024-02-05 22:51:08,B.,bear,1
bicycle7-bicycle2,2024-02-05 22:51:08,C.,bicycle,1
truck8-elephant1,2024-02-05 22:51:09,P.,truck,1
bird3-bear3,2024-02-05 22:51:15,B.,bear,1
knife6-boat3,2024-02-05 22:51:15,E.,boat,1
bear2-elephant1,2024-02-05 22:51:16,B.,bear,1
keyboard3-car2,2024-02-05 22:51:16,C.,bicycle,1
truck1-car3,2024-02-05 22:51:17,P.,truck,1
bear1-elephant1,2024-02-05 22:51:17,B.,bear,1
boat9-airplane2,2024-02-05 22:51:24,E.,boat,1
truck2-bottle3,2024-02-05 22:51:24,P,truck,1
elephant9-bicycle2,2024-02-05 22:51:25,L.,elephant,1
dog4-oven1,2024-02-05 22:51:25,H.,cat,1
bear7-bicycle2,2024-02-05 22:51:25,C.,bicycle,1
car7-car1,2024-02-05 22:51:25,G.,car,1
keyboard3-bicycle2,2024-02-05 22:51:26,C.,bicycle,1
boat1-truck3,2024-02-05 22:51:26,G.,car,1
chair9-elephant1,2024-02-05 22:51:28,I.,chair,1
clock1-clock2,2024-02-05 22:51:28,J,clock,1
keyboard5-dog3,2024-02-05 22:51:35,K.,dog,1
elephant5-elephant1,2024-02-05 22:51:41,L: elephantnM: keyboardnN: knifenO: ovennP: trucknA: airplanenB: bearnC: bicyclenD: birdnE: boatnF: bottlenG: carnH: catnI: chairnJ: clocknK: dognL: elephantnM: keyboardnN: knifenO: ovennP: trucknA: airplanenB: bearnC: bicyclenD: birdnE: boatnF: bottlenG: carnH: catnI: chairnJ: clocknL: elephantnM: keyboardnN: knifenO: ovennP: trucknA: airplanenB: bearnC: bicyclenD: birdnE: boatnF: bottlenG: carnH: catnI: chairnJ: clocknL: elephantnM: keyboardnN: knifenO: ovennP: truckn,elephant,1
knife4-boat1,2024-02-05 22:51:41,A.,airplane,1
keyboard5-knife2,2024-02-05 22:51:41,A.,airplane,1
chair4-cat2,2024-02-05 22:51:45,I.,chair,1
truck9-airplane2,2024-02-05 22:51:46,P.,truck,1
car6-elephant3,2024-02-05 22:51:46,B.,bear,1
chair5-cat3,2024-02-05 22:51:47,I.,chair,1
cat4-bird2,2024-02-05 22:51:47,H.,cat,1
elephant9-elephant3,2024-02-05 22:51:49,L.,elephant,1
clock6-bicycle1,2024-02-05 22:51:55,J.,clock,1
bear1-clock2,2024-02-05 22:51:56,B.,bear,1
airplane4-airplane1,2024-02-05 22:51:57,A.,airplane,1
bottle8-dog2,2024-02-05 22:51:58,F,bottle,1
bicycle10-clock2,2024-02-05 22:52:03,C.,bicycle,1
bottle4-car3,2024-02-05 22:52:04,F,bottle,1
bottle3-knife3,2024-02-05 22:52:04,F,bottle,1
bear8-bicycle3,2024-02-05 22:52:05,B.,bear,1
bicycle6-car2,2024-02-05 22:52:06,C.,bicycle,1
dog10-airplane1,2024-02-05 22:52:07,K.,dog,1
keyboard6-knife2,2024-02-05 22:52:07,M,keyboard,1
car10-car1,2024-02-05 22:52:08,G.,car,1
car5-oven2,2024-02-05 22:52:14,G.,car,1
cat8-bird2,2024-02-05 22:52:21,H.,cat,1
clock3-car2,2024-02-05 22:52:21,J,clock,1
bicycle6-bicycle3,2024-02-05 22:52:21,C.,bicycle,1
oven10-cat2,2024-02-05 22:52:22,O.,oven,1
bear2-oven1,2024-02-05 22:52:22,B.,bear,1
truck5-dog3,2024-02-05 22:52:23,P.,truck,1
keyboard7-bottle1,2024-02-05 22:52:23,F,bottle,1
bird5-dog2,2024-02-05 22:52:24,D.,bird,1
truck10-elephant3,2024-02-05 22:52:24,P,truck,1
bicycle10-airplane2,2024-02-05 22:52:24,C.,bicycle,1
bicycle5-car3,2024-02-05 22:52:25,C.,bicycle,1
bottle8-bicycle1,2024-02-05 22:52:26,F,bottle,1
airplane5-bottle3,2024-02-05 22:52:32,A.,airplane,1
bird5-truck2,2024-02-05 22:52:33,P.,truck,1
cat6-oven1,2024-02-05 22:52:39,H.,cat,1
airplane5-bicycle1,2024-02-05 22:52:39,A.,airplane,1
bird7-knife2,2024-02-05 22:52:40,D.,bird,1
bottle1-keyboard3,2024-02-05 22:52:40,H.,cat,1
knife7-chair2,2024-02-05 22:52:47,I.,chair,1
oven4-dog1,2024-02-05 22:52:47,B.,bear,1
airplane4-boat3,2024-02-05 22:52:47,A.,airplane,1
boat4-dog2,2024-02-05 22:52:47,H.,cat,1
elephant9-clock3,2024-02-05 22:52:47,J,clock,1
bottle9-truck1,2024-02-05 22:52:48,F,bottle,1
car6-bear1,2024-02-05 22:52:54,B.,bear,1
keyboard7-bear2,2024-02-05 22:52:54,B.,bear,1
clock10-clock3,2024-02-05 22:53:01,JnThe clock in the image is an analog clock with a digital display. It may be an alarm clock or a digital clock with a digital display. It may also be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital display. It may be a digital clock with a digital,None,1
knife10-keyboard3,2024-02-05 22:53:01,N,knife,1
keyboard9-keyboard2,2024-02-05 22:53:01,M,keyboard,1
elephant2-cat1,2024-02-05 22:53:02,B.,bear,1
bear6-bird2,2024-02-05 22:53:03,B.,bear,1
cat7-knife2,2024-02-05 22:53:04,H.,cat,1
bottle2-car2,2024-02-05 22:53:05,F,bottle,1
bicycle2-bottle1,2024-02-05 22:53:05,C.,bicycle,1
bicycle4-bicycle3,2024-02-05 22:53:05,C.,bicycle,1
bear3-cat1,2024-02-05 22:53:07,B.,bear,1
car2-chair1,2024-02-05 22:53:07,G.,car,1
bird4-bicycle2,2024-02-05 22:53:08,C.,bicycle,1
car5-knife2,2024-02-05 22:53:09,G.,car,1
clock5-elephant2,2024-02-05 22:53:10,J,clock,1
truck6-cat2,2024-02-05 22:53:10,E.,boat,1
oven2-dog3,2024-02-05 22:53:16,H.,cat,1
keyboard9-bicycle2,2024-02-05 22:53:16,C.,bicycle,1
clock5-airplane1,2024-02-05 22:53:17,J,clock,1
chair8-clock3,2024-02-05 22:53:18,I.,chair,1
oven3-cat2,2024-02-05 22:53:19,B.,bear,1
bicycle7-elephant2,2024-02-05 22:53:20,"A: airplane, B: bear, C: bicycle, D: bird, E: boat, G: car, H: cat, I: chair, J: clock, K: dog, L: elephant, M: keyboard, N: knife, O: oven, P: truck",airplane,1
bird10-bicycle1,2024-02-05 22:53:22,D.,bird,1
dog2-bicycle2,2024-02-05 22:53:22,C.,bicycle,1
airplane4-knife1,2024-02-05 22:53:22,H.,cat,1
dog7-chair2,2024-02-05 22:53:23,B.,bear,1
knife2-truck2,2024-02-05 22:53:28,G.,car,1
elephant7-car3,2024-02-05 22:53:28,L.,elephant,1
bottle7-truck2,2024-02-05 22:53:29,G.,car,1
bicycle5-oven3,2024-02-05 22:53:29,O.,oven,1
cat10-bird2,2024-02-05 22:53:35,H.,cat,1
dog3-elephant2,2024-02-05 22:53:35,K.,dog,1
keyboard3-elephant2,2024-02-05 22:53:36,B.,bear,1
bird5-bicycle1,2024-02-05 22:53:36,D.,bird,1
elephant8-oven3,2024-02-05 22:53:37,L.,elephant,1
keyboard2-knife1,2024-02-05 22:53:37,B.,bear,1
bear8-airplane1,2024-02-05 22:53:37,B.,bear,1
oven5-airplane1,2024-02-05 22:53:37,O.,oven,1
elephant9-boat3,2024-02-05 22:53:39,L.,elephant,1
oven1-boat3,2024-02-05 22:53:39,A.,airplane,1
bicycle8-bird2,2024-02-05 22:53:41,A: airplane. B: bear. C: bicycle. D: bird. E: boat. F: bottle. G: car. H: cat. I: chair. J: clock. K: dog. L: elephant. M: keyboard. N: knife. O: oven. P: truck.,airplane,1
car7-boat3,2024-02-05 22:53:41,G.,car,1
oven3-bear2,2024-02-05 22:53:42,H.,cat,1
car4-elephant3,2024-02-05 22:53:42,G.,car,1
chair5-boat3,2024-02-05 22:53:42,I.,chair,1
keyboard4-knife2,2024-02-05 22:53:43,B.,bear,1
elephant6-oven1,2024-02-05 22:53:44,L.,elephant,1
boat3-airplane2,2024-02-05 22:53:44,E.,boat,1
chair8-bear1,2024-02-05 22:53:44,I.,chair,1
dog1-dog2,2024-02-05 22:53:45,K.,dog,1
clock3-bird1,2024-02-05 22:53:52,J,clock,1
bear9-keyboard3,2024-02-05 22:53:52,M,keyboard,1
cat10-airplane3,2024-02-05 22:53:52,B.,bear,1
