image,timestamp,response,pred_label,pred_conf
bottle9-elephant2,2024-02-05 23:22:17,L,elephant,1
elephant9-clock3,2024-02-05 23:22:21,L,elephant,1
car1-dog2,2024-02-05 23:22:24,D,bird,1
bicycle9-knife3,2024-02-05 23:22:27,C,bicycle,1
bear3-cat1,2024-02-05 23:22:31,B,bear,1
dog2-cat1,2024-02-05 23:22:34,K,dog,1
oven5-keyboard2,2024-02-05 23:22:38,M,keyboard,1
boat9-boat3,2024-02-05 23:22:41,E,boat,1
bottle9-oven2,2024-02-05 23:22:44,F,bottle,1
knife6-knife1,2024-02-05 23:22:48,N,knife,1
oven8-keyboard3,2024-02-05 23:22:51,M,keyboard,1
car2-knife3,2024-02-05 23:22:54,G,car,1
chair3-bottle3,2024-02-05 23:22:57,I,chair,1
bicycle2-car2,2024-02-05 23:23:01,G,car,1
bottle10-boat3,2024-02-05 23:23:04,F,bottle,1
bird4-dog3,2024-02-05 23:23:07,D,bird,1
chair4-truck2,2024-02-05 23:23:11,I,chair,1
bicycle7-cat1,2024-02-05 23:23:14,C,bicycle,1
bear3-chair2,2024-02-05 23:23:17,I,chair,1
chair7-knife2,2024-02-05 23:23:21,I,chair,1
boat5-clock3,2024-02-05 23:23:24,J,clock,1
boat10-boat3,2024-02-05 23:23:27,E,boat,1
oven7-car3,2024-02-05 23:23:31,G,car,1
dog8-dog3,2024-02-05 23:23:34,K,dog,1
chair1-dog1,2024-02-05 23:23:37,I,chair,1
bicycle9-keyboard3,2024-02-05 23:23:41,M,keyboard,1
bird8-elephant1,2024-02-05 23:23:44,D,bird,1
dog2-dog3,2024-02-05 23:23:58,K,dog,1
elephant10-knife3,2024-02-05 23:24:01,F,bottle,1
bicycle8-clock3,2024-02-05 23:24:04,C,bicycle,1
airplane5-bicycle1,2024-02-05 23:24:07,A,airplane,1
bear8-truck3,2024-02-05 23:24:11,B,bear,1
airplane6-bottle2,2024-02-05 23:24:14,F,bottle,1
keyboard1-car3,2024-02-05 23:24:18,G,car,1
elephant6-truck3,2024-02-05 23:24:21,L,elephant,1
knife4-airplane3,2024-02-05 23:24:24,A,airplane,1
keyboard2-bottle1,2024-02-05 23:24:28,F,bottle,1
chair5-keyboard2,2024-02-05 23:24:31,M,keyboard,1
car1-oven3,2024-02-05 23:24:34,M,keyboard,1
bottle7-airplane3,2024-02-05 23:24:38,F,bottle,1
clock7-bear2,2024-02-05 23:24:41,J,clock,1
bicycle7-clock3,2024-02-05 23:24:44,C,bicycle,1
oven9-bird3,2024-02-05 23:24:57,O,oven,1
boat4-dog2,2024-02-05 23:25:01,B,bear,1
truck8-elephant1,2024-02-05 23:25:04,P,truck,1
bottle3-bottle3,2024-02-05 23:25:08,F,bottle,1
airplane9-truck1,2024-02-05 23:25:11,A,airplane,1
bear10-elephant1,2024-02-05 23:25:14,L,elephant,1
truck10-airplane1,2024-02-05 23:25:18,P,truck,1
clock8-knife1,2024-02-05 23:25:21,J,clock,1
cat5-bear2,2024-02-05 23:25:25,H,cat,1
chair1-elephant1,2024-02-05 23:25:28,L,elephant,1
bicycle5-car3,2024-02-05 23:25:32,C,bicycle,1
airplane8-truck3,2024-02-05 23:25:35,M,keyboard,1
elephant9-elephant3,2024-02-05 23:25:38,L,elephant,1
truck6-knife2,2024-02-05 23:26:38,P,truck,1
cat4-bird2,2024-02-05 23:26:41,H,cat,1
keyboard10-car1,2024-02-05 23:26:45,G,car,1
dog1-car2,2024-02-05 23:26:48,G,car,1
chair10-cat1,2024-02-05 23:26:51,B,bear,1
bottle5-bird3,2024-02-05 23:26:54,F,bottle,1
truck4-bear1,2024-02-05 23:26:58,P,truck,1
chair6-dog1,2024-02-05 23:27:01,I,chair,1
bicycle6-airplane2,2024-02-05 23:27:05,A,airplane,1
car1-clock2,2024-02-05 23:27:08,G,car,1
car2-chair1,2024-02-05 23:27:11,I,chair,1
keyboard4-bottle2,2024-02-05 23:27:15,F,bottle,1
dog6-bird1,2024-02-05 23:27:18,K,dog,1
bottle4-airplane1,2024-02-05 23:27:22,F,bottle,1
elephant3-truck1,2024-02-05 23:27:25,L,elephant,1
bird5-bear3,2024-02-05 23:27:28,D,bird,1
bear4-knife1,2024-02-05 23:27:32,B,bear,1
chair7-airplane1,2024-02-05 23:27:35,I,chair,1
dog1-dog2,2024-02-05 23:27:39,K,dog,1
bird1-airplane2,2024-02-05 23:27:42,D,bird,1
oven6-bicycle1,2024-02-05 23:27:46,P,truck,1
bear6-chair1,2024-02-05 23:27:59,I,chair,1
keyboard5-bird3,2024-02-05 23:28:02,M,keyboard,1
oven6-truck1,2024-02-05 23:28:06,O,oven,1
airplane9-clock1,2024-02-05 23:28:09,J,clock,1
bear2-bird3,2024-02-05 23:28:13,B,bear,1
bear9-boat2,2024-02-05 23:28:16,B,bear,1
bottle5-clock3,2024-02-05 23:28:24,F,bottle,1
clock10-clock3,2024-02-05 23:28:28,J,clock,1
clock9-chair3,2024-02-05 23:28:31,I,chair,1
airplane1-elephant1,2024-02-05 23:28:35,L,elephant,1
dog4-oven1,2024-02-05 23:28:38,K,dog,1
chair8-clock3,2024-02-05 23:28:41,I,chair,1
boat2-keyboard1,2024-02-05 23:28:45,M,keyboard,1
dog1-boat3,2024-02-05 23:28:48,P,truck,1
keyboard1-elephant3,2024-02-05 23:28:52,M,keyboard,1
bicycle1-bicycle3,2024-02-05 23:28:58,C,bicycle,1
elephant5-car1,2024-02-05 23:29:01,G,car,1
car5-oven2,2024-02-05 23:29:04,G,car,1
cat7-dog3,2024-02-05 23:29:08,H,cat,1
bottle4-car3,2024-02-05 23:29:11,F,bottle,1
car7-clock1,2024-02-05 23:29:15,G,car,1
keyboard1-dog3,2024-02-05 23:29:18,M,keyboard,1
keyboard8-cat3,2024-02-05 23:29:21,M,keyboard,1
knife7-chair2,2024-02-05 23:29:25,I,chair,1
elephant3-oven1,2024-02-05 23:29:28,L,elephant,1
bird2-dog2,2024-02-05 23:29:31,D,bird,1
bird9-bear3,2024-02-05 23:29:35,D,bird,1
cat3-elephant2,2024-02-06 00:24:20,L,elephant,1
knife7-elephant2,2024-02-06 00:24:27,L,elephant,1
bottle7-elephant2,2024-02-06 00:24:33,L,elephant,1
clock1-boat3,2024-02-06 00:24:38,C,bicycle,1
knife2-dog1,2024-02-06 00:24:44,K,dog,1
airplane1-clock1,2024-02-06 00:24:50,A,airplane,1
bear8-airplane1,2024-02-06 00:24:56,B,bear,1
bicycle2-bicycle1,2024-02-06 00:25:02,C,bicycle,1
bicycle1-oven1,2024-02-06 00:25:08,C,bicycle,1
truck4-boat3,2024-02-06 00:25:14,P,truck,1
clock2-bicycle1,2024-02-06 00:25:24,J,clock,1
car8-airplane3,2024-02-06 00:25:30,G,car,1
chair5-truck3,2024-02-06 00:25:36,G,car,1
dog3-elephant2,2024-02-06 00:25:42,K,dog,1
bird4-airplane1,2024-02-06 00:25:47,A,airplane,1
dog3-bear3,2024-02-06 00:25:53,K,dog,1
