image,timestamp,response,pred_label,pred_conf
clock3-cat1,2024-02-09 11:58:13,J.,clock,1
dog7-car2,2024-02-09 11:58:17,G.,car,1
car3-dog2,2024-02-09 11:58:20,G,car,1
bear7-truck1,2024-02-09 11:58:23,B,bear,1
dog7-chair2,2024-02-09 11:58:26,I.,chair,1
chair8-knife2,2024-02-09 11:58:29,H,cat,1
bear9-dog1,2024-02-09 11:58:33,B,bear,1
chair9-bird3,2024-02-09 11:58:36,I.,chair,1
truck5-keyboard1,2024-02-09 11:58:39,P,truck,1
elephant10-elephant1,2024-02-09 11:58:39,BLOCKED,None,1
bicycle2-bottle1,2024-02-09 11:58:43,C,bicycle,1
dog10-oven2,2024-02-09 11:58:46,K,dog,1
airplane8-truck3,2024-02-09 11:58:49,P,truck,1
clock3-bear3,2024-02-09 11:58:54,J,clock,1
knife4-car2,2024-02-09 11:58:58,G,car,1
chair5-truck3,2024-02-09 11:59:01,I.,chair,1
oven10-bicycle1,2024-02-09 11:59:05,O.,oven,1
clock5-oven1,2024-02-09 11:59:08,J.,clock,1
chair1-elephant1,2024-02-09 11:59:11,L,elephant,1
cat1-oven1,2024-02-09 11:59:16,H,cat,1
knife4-bear1,2024-02-09 11:59:19,B,bear,1
bird2-clock3,2024-02-09 11:59:23,K,dog,1
bird9-bear3,2024-02-09 11:59:26,D.,bird,1
dog3-bird2,2024-02-09 11:59:29,K,dog,1
keyboard7-bear2,2024-02-09 11:59:34,B,bear,1
airplane9-airplane2,2024-02-09 11:59:38,A.,airplane,1
bird10-bicycle1,2024-02-09 11:59:51,D.,bird,1
chair4-truck2,2024-02-09 11:59:54,G,car,1
chair7-truck3,2024-02-09 11:59:57,I.,chair,1
bird3-knife3,2024-02-09 12:00:00,D.,bird,1
car7-elephant3,2024-02-09 12:00:03,G.,car,1
cat2-truck3,2024-02-09 12:00:06,H,cat,1
bicycle1-bicycle3,2024-02-09 12:00:11,C,bicycle,1
keyboard5-knife2,2024-02-09 12:00:14,M.,keyboard,1
keyboard7-dog1,2024-02-09 12:00:18,H,cat,1
boat3-airplane2,2024-02-09 12:07:26,P,truck,1
car3-truck1,2024-02-09 12:07:30,G,car,1
bird3-dog1,2024-02-09 12:07:34,H,cat,1
bottle7-elephant2,2024-02-09 12:07:38,L.,elephant,1
keyboard1-elephant3,2024-02-09 12:07:43,L.,elephant,1
chair1-bear1,2024-02-09 12:07:46,B,bear,1
oven10-airplane2,2024-02-09 12:07:49,O.,oven,1
airplane7-cat3,2024-02-09 12:07:52,H,cat,1
bird10-elephant2,2024-02-09 12:07:55,L,elephant,1
truck6-bottle3,2024-02-09 12:07:58,P,truck,1
oven6-chair3,2024-02-09 12:08:02,I.,chair,1
car9-bicycle2,2024-02-09 12:08:07,G,car,1
knife8-car2,2024-02-09 12:08:11,G,car,1
keyboard2-bottle1,2024-02-09 12:08:14,F,bottle,1
cat6-oven1,2024-02-09 12:08:17,H,cat,1
knife3-clock2,2024-02-09 12:08:18,BLOCKED,None,1
dog6-elephant2,2024-02-09 12:08:21,L,elephant,1
cat3-oven2,2024-02-09 12:08:24,G,car,1
bear5-oven3,2024-02-09 12:08:29,L,elephant,1
keyboard8-chair2,2024-02-09 12:08:32,I.,chair,1
bicycle1-bird1,2024-02-09 12:08:35,C,bicycle,1
boat4-bicycle3,2024-02-09 12:08:39,P,truck,1
elephant8-clock2,2024-02-09 12:08:42,L,elephant,1
chair1-dog1,2024-02-09 12:08:47,H,cat,1
bicycle9-bottle1,2024-02-09 12:08:50,C.,bicycle,1
chair2-keyboard2,2024-02-09 12:08:53,M.,keyboard,1
knife6-boat3,2024-02-09 12:08:56,P,truck,1
cat2-cat1,2024-02-09 12:09:01,H,cat,1
bottle9-bicycle1,2024-02-09 12:09:04,F,bottle,1
clock10-truck2,2024-02-09 12:09:07,P,truck,1
keyboard6-car2,2024-02-09 12:09:11,G,car,1
