image,timestamp,response,pred_label,pred_conf
oven9-bear2,2024-02-24 12:53:21,B. bear,bear,1
car8-truck3,2024-02-24 12:53:21,G. car,car,1
knife4-boat1,2024-02-24 12:53:21,A. airplane,airplane,1
oven4-elephant3,2024-02-24 12:53:22,F. bottle,bottle,1
bicycle8-truck1,2024-02-24 12:53:22,C. bicycle,bicycle,1
bottle4-car3,2024-02-24 12:53:22,F. bottle,bottle,1
bird3-dog1,2024-02-24 12:53:22,D. bird,bird,1
oven3-bottle3,2024-02-24 12:53:23,F. bottle,bottle,1
boat5-knife2,2024-02-24 12:53:23,A. airplane,airplane,1
knife2-elephant2,2024-02-24 12:53:23,D. bird,bird,1
car2-cat3,2024-02-24 12:53:24,G. car,car,1
elephant2-airplane3,2024-02-24 12:53:24,B. bear,bear,1
keyboard9-bicycle2,2024-02-24 12:53:24,A. airplane,airplane,1
airplane9-clock1,2024-02-24 12:53:24,J. clock,clock,1
keyboard6-dog2,2024-02-24 12:53:25,B. bear,bear,1
elephant4-car3,2024-02-24 12:53:25,L. elephant,elephant,1
bird3-bird2,2024-02-24 12:53:25,D. bird,bird,1
dog10-car3,2024-02-24 12:53:26,B. bear,bear,1
keyboard7-bottle1,2024-02-24 12:53:26,F. bottle,bottle,1
boat9-cat3,2024-02-24 12:53:26,E. boat,boat,1
bear5-airplane3,2024-02-24 12:53:26,B. bear,bear,1
car4-cat3,2024-02-24 12:53:27,A. airplane,airplane,1
oven3-car2,2024-02-24 12:53:27,A. airplane,airplane,1
knife6-chair3,2024-02-24 12:53:27,I. chair,chair,1
bicycle5-keyboard3,2024-02-24 12:53:27,F. bottle,bottle,1
boat7-truck2,2024-02-24 12:53:28,D. bird,bird,1
chair8-bicycle3,2024-02-24 12:53:28,I. chair,chair,1
bear5-bird1,2024-02-24 12:53:28,B. bear,bear,1
keyboard8-truck3,2024-02-24 12:53:29,I. chair,chair,1
truck9-airplane2,2024-02-24 12:53:29,P. truck,truck,1
bear10-chair2,2024-02-24 12:53:29,I. chair,chair,1
dog2-knife3,2024-02-24 12:53:29,B. bear,bear,1
keyboard1-car3,2024-02-24 12:53:30,G. car,car,1
clock8-keyboard1,2024-02-24 12:53:30,J. clock,clock,1
dog1-chair1,2024-02-24 12:53:30,I. chair,chair,1
knife1-airplane1,2024-02-24 12:53:30,A. airplane,airplane,1
car3-truck1,2024-02-24 12:53:31,G. car,car,1
knife1-car3,2024-02-24 12:53:31,G. car,car,1
truck6-bicycle1,2024-02-24 12:53:31,E. boat,boat,1
keyboard3-bicycle2,2024-02-24 12:53:31,A. airplane,airplane,1
bicycle7-clock3,2024-02-24 12:53:32,C. bicycle,bicycle,1
bicycle1-oven1,2024-02-24 12:53:32,C. bicycle,bicycle,1
clock8-truck2,2024-02-24 12:53:32,J. clock,clock,1
car8-cat1,2024-02-24 12:53:33,B. bear,bear,1
elephant8-knife2,2024-02-24 12:53:33,B. bear,bear,1
knife5-cat2,2024-02-24 12:53:33,B. bear,bear,1
clock4-airplane1,2024-02-24 12:53:33,J. clock,clock,1
chair7-car2,2024-02-24 12:53:34,I. chair,chair,1
truck10-elephant3,2024-02-24 12:53:34,P. truck,truck,1
clock6-truck3,2024-02-24 12:53:34,A. airplane,airplane,1
bird1-truck1,2024-02-24 12:53:35,A. airplane,airplane,1
bicycle7-cat1,2024-02-24 12:53:35,C. bicycle,bicycle,1
bird3-bottle2,2024-02-24 12:53:35,F. bottle,bottle,1
knife1-bird2,2024-02-24 12:53:36,D. bird,bird,1
dog9-bear3,2024-02-24 12:53:36,B. bear,bear,1
bear6-bird2,2024-02-24 12:53:36,B. bear,bear,1
dog6-elephant2,2024-02-24 12:53:36,H. cat,cat,1
bottle2-car2,2024-02-24 12:53:37,F. bottle,bottle,1
bicycle3-oven3,2024-02-24 12:53:37,M. keyboard,keyboard,1
bicycle6-bicycle3,2024-02-24 12:53:37,C. bicycle,bicycle,1
oven1-cat1,2024-02-24 12:53:37,H. cat,cat,1
chair1-dog1,2024-02-24 12:53:38,B. bear,bear,1
knife9-airplane2,2024-02-24 12:53:38,A. airplane,airplane,1
oven6-bear2,2024-02-24 12:53:38,H. cat,cat,1
dog1-bear1,2024-02-24 12:53:39,H. cat,cat,1
bird7-bird2,2024-02-24 12:53:39,D. bird,bird,1
clock4-boat3,2024-02-24 12:53:39,J. clock,clock,1
clock1-elephant2,2024-02-24 12:53:39,D. bird,bird,1
chair10-clock1,2024-02-24 12:53:40,J. clock,clock,1
car3-bird2,2024-02-24 12:53:40,G. car,car,1
car10-chair1,2024-02-24 12:53:40,G. car,car,1
elephant3-cat2,2024-02-24 12:53:40,L. elephant,elephant,1
clock10-knife3,2024-02-24 12:53:41,M. keyboard,keyboard,1
bear3-dog3,2024-02-24 12:53:41,H. cat,cat,1
knife8-bicycle1,2024-02-24 12:53:41,A. airplane,airplane,1
truck10-airplane1,2024-02-24 12:53:42,P. truck,truck,1
chair7-bottle1,2024-02-24 12:53:42,I. chair,chair,1
knife5-truck3,2024-02-24 12:53:42,A. airplane,airplane,1
knife8-boat1,2024-02-24 12:53:42,A. airplane,airplane,1
bear8-bicycle3,2024-02-24 12:53:43,B. bear,bear,1
bottle1-clock1,2024-02-24 12:53:43,J. clock,clock,1
clock1-bear1,2024-02-24 12:53:43,B. bear,bear,1
car7-bear1,2024-02-24 12:53:43,B. bear,bear,1
knife7-chair2,2024-02-24 12:53:44,I. chair,chair,1
car3-bottle3,2024-02-24 12:53:44,G. car,car,1
cat4-clock2,2024-02-24 12:53:44,H. cat,cat,1
bird5-cat2,2024-02-24 12:53:44,D. bird,bird,1
clock1-car1,2024-02-24 12:53:45,G. car,car,1
knife3-knife1,2024-02-24 12:53:45,F. bottle,bottle,1
car9-bicycle2,2024-02-24 12:53:45,G. car,car,1
bear5-chair1,2024-02-24 12:53:45,I. chair,chair,1
dog4-cat3,2024-02-24 12:53:46,H. cat,cat,1
clock3-bird1,2024-02-24 12:53:46,J. clock,clock,1
oven1-clock3,2024-02-24 12:53:46,J. clock,clock,1
airplane3-airplane2,2024-02-24 12:53:47,A. airplane,airplane,1
boat2-bear3,2024-02-24 12:53:47,B. bear,bear,1
bear6-car2,2024-02-24 12:53:47,A. airplane,airplane,1
truck3-knife2,2024-02-24 12:53:47,E. boat,boat,1
bottle6-bird1,2024-02-24 12:53:48,F. bottle,bottle,1
knife1-truck2,2024-02-24 12:53:48,A. airplane,airplane,1
chair8-clock3,2024-02-24 12:53:48,I. chair,chair,1
bicycle9-knife3,2024-02-24 12:53:49,I. chair,chair,1
bird8-boat3,2024-02-24 12:53:49,D. bird,bird,1
clock2-bicycle1,2024-02-24 12:53:49,J. clock,clock,1
bird6-car3,2024-02-24 12:53:49,G. car,car,1
knife8-bottle3,2024-02-24 12:53:50,F. bottle,bottle,1
airplane4-knife1,2024-02-24 12:53:50,F. bottle,bottle,1
dog3-keyboard1,2024-02-24 12:53:50,K. dog,dog,1
bear6-bear1,2024-02-24 12:53:50,B. bear,bear,1
elephant5-bear2,2024-02-24 12:53:51,L. elephant,elephant,1
keyboard5-keyboard1,2024-02-24 12:53:51,M. keyboard,keyboard,1
dog10-elephant1,2024-02-24 12:53:51,H. cat,cat,1
boat5-bicycle3,2024-02-24 12:53:52,C. bicycle,bicycle,1
bicycle1-boat3,2024-02-24 12:53:52,C. bicycle,bicycle,1
bicycle10-airplane2,2024-02-24 12:53:52,C. bicycle,bicycle,1
dog3-knife3,2024-02-24 12:53:53,K. dog,dog,1
elephant9-boat3,2024-02-24 12:53:53,L. elephant,elephant,1
bird10-clock1,2024-02-24 12:53:53,J. clock,clock,1
cat10-oven2,2024-02-24 12:53:54,M. keyboard,keyboard,1
cat1-cat3,2024-02-24 12:53:54,H. cat,cat,1
oven8-keyboard3,2024-02-24 12:53:54,M. keyboard,keyboard,1
bottle6-bottle3,2024-02-24 12:53:55,F. bottle,bottle,1
bicycle4-keyboard3,2024-02-24 12:53:55,M. keyboard,keyboard,1
keyboard10-oven3,2024-02-24 12:53:55,A. airplane,airplane,1
cat2-cat1,2024-02-24 12:53:55,H. cat,cat,1
bottle3-chair3,2024-02-24 12:53:56,F. bottle,bottle,1
cat7-knife2,2024-02-24 12:53:56,H. cat,cat,1
bottle7-truck2,2024-02-24 12:53:56,F. bottle,bottle,1
chair9-elephant1,2024-02-24 12:53:57,L. elephant,elephant,1
bicycle6-boat2,2024-02-24 12:53:57,C. bicycle,bicycle,1
cat10-clock1,2024-02-24 12:53:57,J. clock,clock,1
truck5-truck1,2024-02-24 12:53:58,P. truck,truck,1
elephant2-elephant3,2024-02-24 12:53:58,L. elephant,elephant,1
bottle7-elephant2,2024-02-24 12:53:58,B. bear,bear,1
dog8-bear3,2024-02-24 12:53:58,K. dog,dog,1
chair5-bicycle1,2024-02-24 12:53:59,I. chair,chair,1
bear1-bicycle3,2024-02-24 12:53:59,B. bear,bear,1
bear10-keyboard3,2024-02-24 12:53:59,M. keyboard,keyboard,1
airplane10-dog3,2024-02-24 12:53:59,B. bear,bear,1
boat2-oven3,2024-02-24 12:54:00,A. airplane,airplane,1
bottle1-dog2,2024-02-24 12:54:00,B. bear,bear,1
dog1-airplane3,2024-02-24 12:54:00,B. bear,bear,1
airplane4-cat3,2024-02-24 12:54:01,D. bird,bird,1
bottle5-elephant1,2024-02-24 12:54:01,F. bottle,bottle,1
clock3-dog2,2024-02-24 12:54:01,J. clock,clock,1
bear2-elephant1,2024-02-24 12:54:01,B. bear,bear,1
bear5-boat2,2024-02-24 12:54:02,B. bear,bear,1
bicycle2-keyboard2,2024-02-24 12:54:02,M. keyboard,keyboard,1
bottle8-knife1,2024-02-24 12:54:02,F. bottle,bottle,1
elephant1-bear2,2024-02-24 12:54:03,L. elephant,elephant,1
keyboard4-clock2,2024-02-24 12:54:03,A. airplane,airplane,1
boat5-boat3,2024-02-24 12:54:03,E. boat,boat,1
dog3-clock1,2024-02-24 12:54:03,B. bear,bear,1
knife6-bottle3,2024-02-24 12:54:04,F. bottle,bottle,1
boat9-bear3,2024-02-24 12:54:04,B. bear,bear,1
knife1-keyboard3,2024-02-24 12:54:04,M. keyboard,keyboard,1
elephant8-clock2,2024-02-24 12:54:05,J. clock,clock,1
airplane10-truck1,2024-02-24 12:54:05,A. airplane,airplane,1
knife9-chair1,2024-02-24 12:54:05,I. chair,chair,1
knife10-oven3,2024-02-24 12:54:05,A. airplane,airplane,1
keyboard9-bear2,2024-02-24 12:54:06,B. bear,bear,1
airplane4-elephant1,2024-02-24 12:54:06,D. bird,bird,1
bird7-car2,2024-02-24 12:54:06,D. bird,bird,1
cat5-keyboard3,2024-02-24 12:54:06,H. cat,cat,1
dog9-boat1,2024-02-24 12:54:07,B. bear,bear,1
bicycle10-elephant2,2024-02-24 12:54:07,C. bicycle,bicycle,1
car4-elephant3,2024-02-24 12:54:07,B. bear,bear,1
bottle10-clock2,2024-02-24 12:54:08,F. bottle,bottle,1
keyboard5-dog3,2024-02-24 12:54:08,B. bear,bear,1
bird9-dog2,2024-02-24 12:54:08,D. bird,bird,1
truck7-boat1,2024-02-24 12:54:08,A. airplane,airplane,1
dog2-bicycle2,2024-02-24 12:54:09,B. bear,bear,1
dog6-bird1,2024-02-24 12:54:09,K. dog,dog,1
car10-keyboard2,2024-02-24 12:54:09,M. keyboard,keyboard,1
cat10-keyboard1,2024-02-24 12:54:10,F. bottle,bottle,1
clock6-car2,2024-02-24 12:54:10,J. clock,clock,1
car1-car2,2024-02-24 12:54:10,G. car,car,1
keyboard4-cat2,2024-02-24 12:54:10,A. airplane,airplane,1
clock10-oven2,2024-02-24 12:54:11,F. bottle,bottle,1
keyboard7-chair3,2024-02-24 12:54:11,A. airplane,airplane,1
bottle3-boat3,2024-02-24 12:54:11,F. bottle,bottle,1
bird3-boat3,2024-02-24 12:54:12,A. airplane,airplane,1
car6-bear1,2024-02-24 12:54:12,H. cat,cat,1
bottle2-chair3,2024-02-24 12:54:12,I. chair,chair,1
keyboard7-dog1,2024-02-24 12:54:12,B. bear,bear,1
bottle5-chair1,2024-02-24 12:54:13,I. chair,chair,1
knife4-clock3,2024-02-24 12:54:13,J. clock,clock,1
car10-elephant2,2024-02-24 12:54:13,G. car,car,1
car9-clock2,2024-02-24 12:54:13,G. car,car,1
keyboard6-elephant1,2024-02-24 12:54:14,D. bird,bird,1
clock7-dog2,2024-02-24 12:54:14,J. clock,clock,1
dog4-airplane3,2024-02-24 12:54:14,K. dog,dog,1
keyboard1-airplane2,2024-02-24 12:54:14,A. airplane,airplane,1
dog10-clock1,2024-02-24 12:54:15,K. dog,dog,1
bird1-chair2,2024-02-24 12:54:15,I. chair,chair,1
knife10-bear3,2024-02-24 12:54:15,B. bear,bear,1
keyboard2-bottle1,2024-02-24 12:54:16,F. bottle,bottle,1
truck3-bear3,2024-02-24 12:54:16,B. bear,bear,1
oven9-oven1,2024-02-24 12:54:16,O. oven,oven,1
chair1-clock2,2024-02-24 12:54:17,I. chair,chair,1
keyboard3-boat1,2024-02-24 12:54:17,A. airplane,airplane,1
bicycle6-dog2,2024-02-24 12:54:17,C. bicycle,bicycle,1
bottle8-bottle3,2024-02-24 12:54:18,F. bottle,bottle,1
elephant9-clock3,2024-02-24 12:54:18,J. clock,clock,1
elephant6-bottle2,2024-02-24 12:54:18,F. bottle,bottle,1
clock9-cat1,2024-02-24 12:54:18,B. bear,bear,1
chair9-bicycle3,2024-02-24 12:54:19,I. chair,chair,1
knife10-knife1,2024-02-24 12:54:19,D. bird,bird,1
oven3-cat2,2024-02-24 12:54:19,A. airplane,airplane,1
chair7-bird1,2024-02-24 12:54:20,I. chair,chair,1
oven2-bottle1,2024-02-24 12:54:20,F. bottle,bottle,1
cat1-dog1,2024-02-24 12:54:20,H. cat,cat,1
chair2-bear2,2024-02-24 12:54:20,I. chair,chair,1
elephant10-elephant1,2024-02-24 12:54:21,L. elephant,elephant,1
bird5-dog2,2024-02-24 12:54:21,D. bird,bird,1
dog9-bicycle3,2024-02-24 12:54:21,B. bear,bear,1
bird5-oven3,2024-02-24 12:54:22,A. airplane,airplane,1
dog10-airplane1,2024-02-24 12:54:22,B. bear,bear,1
knife1-elephant1,2024-02-24 12:54:22,D. bird,bird,1
airplane9-knife3,2024-02-24 12:54:22,A. airplane,airplane,1
truck3-dog3,2024-02-24 12:54:23,H. cat,cat,1
oven1-dog3,2024-02-24 12:54:23,B. bear,bear,1
clock10-dog3,2024-02-24 12:54:23,B. bear,bear,1
airplane10-knife3,2024-02-24 12:54:24,N. knife,knife,1
clock8-airplane2,2024-02-24 12:54:24,J. clock,clock,1
bear10-bottle1,2024-02-24 12:54:24,F. bottle,bottle,1
elephant4-bicycle2,2024-02-24 12:54:24,A. airplane,airplane,1
airplane3-cat1,2024-02-24 12:54:25,H. cat,cat,1
