image,timestamp,response,pred_label,pred_conf
elephant6-bird1,2024-02-25 11:28:26,L,elephant,1
airplane9-boat1,2024-02-25 11:28:26,A,airplane,1
car7-clock1,2024-02-25 11:28:27,G,car,1
clock5-chair3,2024-02-25 11:28:27,J,clock,1
car7-keyboard3,2024-02-25 11:28:27,G,car,1
knife9-elephant2,2024-02-25 11:28:28,L,elephant,1
bottle7-truck2,2024-02-25 11:28:28,P,truck,1
keyboard6-boat2,2024-02-25 11:28:28,M,keyboard,1
oven1-bird3,2024-02-25 11:28:29,D,bird,1
airplane7-bird3,2024-02-25 11:28:29,D,bird,1
knife4-boat1,2024-02-25 11:28:30,E. boat,boat,1
car9-bicycle2,2024-02-25 11:28:30,G,car,1
chair1-bear1,2024-02-25 11:28:30,I,chair,1
boat9-bird1,2024-02-25 11:28:30,E,boat,1
bear8-bear1,2024-02-25 11:28:31,B,bear,1
clock10-bottle1,2024-02-25 11:28:31,J,clock,1
boat9-keyboard2,2024-02-25 11:28:32,M,keyboard,1
bicycle6-cat1,2024-02-25 11:28:32,H,cat,1
car6-bicycle3,2024-02-25 11:28:32,G,car,1
bottle4-airplane1,2024-02-25 11:28:32,F,bottle,1
keyboard7-knife1,2024-02-25 11:28:33,N,knife,1
knife2-car3,2024-02-25 11:28:33,G,car,1
bear8-elephant2,2024-02-25 11:28:33,L,elephant,1
keyboard4-keyboard2,2024-02-25 11:28:34,M,keyboard,1
airplane6-bear3,2024-02-25 11:28:34,D,bird,1
chair3-airplane2,2024-02-25 11:28:34,I,chair,1
clock5-keyboard1,2024-02-25 11:28:35,J,clock,1
elephant2-bird1,2024-02-25 11:28:35,L,elephant,1
cat3-bear2,2024-02-25 11:28:35,H,cat,1
boat3-keyboard2,2024-02-25 11:28:36,M,keyboard,1
oven3-clock3,2024-02-25 11:28:36,J,clock,1
boat3-airplane2,2024-02-25 11:28:37,E. boat,boat,1
bear1-chair2,2024-02-25 11:28:37,I,chair,1
elephant1-dog2,2024-02-25 11:28:37,L,elephant,1
bear1-bird2,2024-02-25 11:28:38,B,bear,1
elephant4-boat3,2024-02-25 11:28:38,L,elephant,1
dog8-chair3,2024-02-25 11:28:38,L,elephant,1
keyboard3-clock3,2024-02-25 11:28:39,J,clock,1
oven7-keyboard1,2024-02-25 11:28:39,M,keyboard,1
oven9-oven1,2024-02-25 11:28:39,O,oven,1
car8-dog1,2024-02-25 11:28:40,H,cat,1
truck2-boat3,2024-02-25 11:28:40,P,truck,1
bear10-oven1,2024-02-25 11:28:40,B,bear,1
chair9-bear1,2024-02-25 11:28:40,I,chair,1
cat7-boat3,2024-02-25 11:28:41,H,cat,1
bear3-airplane1,2024-02-25 11:28:41,L,elephant,1
bear5-bird1,2024-02-25 11:28:41,B,bear,1
oven7-clock2,2024-02-25 11:28:42,J,clock,1
knife10-bear3,2024-02-25 11:28:42,B,bear,1
cat7-clock3,2024-02-25 11:28:42,H,cat,1
dog4-clock1,2024-02-25 11:28:43,J,clock,1
knife5-dog1,2024-02-25 11:28:43,H,cat,1
bottle5-clock3,2024-02-25 11:28:43,F,bottle,1
elephant2-keyboard3,2024-02-25 11:28:44,M,keyboard,1
elephant1-keyboard3,2024-02-25 11:28:44,M,keyboard,1
bird1-keyboard3,2024-02-25 11:28:44,D,bird,1
bear5-chair1,2024-02-25 11:28:45,I,chair,1
chair8-bicycle3,2024-02-25 11:28:45,I,chair,1
car7-bear1,2024-02-25 11:28:45,B,bear,1
chair5-cat3,2024-02-25 11:28:46,I,chair,1
boat7-clock3,2024-02-25 11:28:46,J,clock,1
boat9-bear3,2024-02-25 11:28:46,D,bird,1
airplane4-bird3,2024-02-25 11:28:47,A,airplane,1
chair6-bird2,2024-02-25 11:28:47,I,chair,1
cat9-truck1,2024-02-25 11:28:47,H,cat,1
car1-clock2,2024-02-25 11:28:48,G,car,1
truck8-dog3,2024-02-25 11:28:48,P,truck,1
bird2-bird2,2024-02-25 11:28:48,D,bird,1
elephant6-bottle2,2024-02-25 11:28:49,F,bottle,1
truck8-elephant1,2024-02-25 11:28:49,P,truck,1
clock10-clock3,2024-02-25 11:28:49,J,clock,1
bird5-keyboard2,2024-02-25 11:28:50,D,bird,1
oven9-knife3,2024-02-25 11:28:50,O,oven,1
chair10-clock1,2024-02-25 11:28:50,I,chair,1
keyboard10-oven3,2024-02-25 11:28:51,O,oven,1
boat4-car3,2024-02-25 11:28:51,G,car,1
keyboard3-bird3,2024-02-25 11:28:51,M,keyboard,1
